"EPA Registration Number","Active Ingredient(s)","Product Name","Company","To kill SARS-CoV-2 (COVID-19), follow disinfection directions for the following virus(es)","Contact Time (in minutes)","Formulation Type","Surface Types","Use Sites","Emerging Viral Pathogen Claim?","Date Added to List N"
"58300-25","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","Stericide","ConSeal International Inc","Use this product according to the directions for use for sterilization","20","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","05/14/2020"
"69470-37","Sodium dichloroisocyanurate","Clearon Bleach Tablets","Clearon Corporation","Canine parvovirus","10","Solid","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","05/14/2020"
"4822-592","Lactic acid","Hygeia","S.C. Johnson & Son Inc","Rotavirus","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Yes","05/14/2020"
"1839-174","Quaternary ammonium","Stepan Towelette","Stepan Company","Norovirus","10","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","05/14/2020"
"1043-129","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Vesta-Syde SQ64 Ready-to-Use Disinfectant","Steris Corporation","Feline calicivirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional","Yes","05/07/2020"
"71654-5","Glycolic acid","Glyclean Hard Surface Cleaner","The Chemours Company FC LLC","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN)","Residential","Yes","05/07/2020"
"70271-34","Quaternary ammonium","KIK Antibacterial Multipurpose Cleaner I","KIK International LLC","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","05/07/2020"
"71355-2","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Kickstart","CID Lines NV","Avian reovirus","10","Dilutable","Hard Nonporous (HN)","Institutional","Yes","05/07/2020"
"4822-530","Quaternary ammonium","Fantastik® All-Purpose Cleaner","S.C. Johnson & Son Inc","Rhinovirus","3","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Yes","05/07/2020"
"67619-42","Hypochlorous acid","Galaxy","Clorox Professional Products Company","Canine parvovirus; Rhinovirus","5","Ready-to-use; Electrostatic spray (Clorox® Total 360® system)","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","05/07/2020"
"6836-245","Quaternary ammonium","CSP-46","Lonza LLC","Feline calicivirus; Norovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","05/07/2020"
"6836-379","Quaternary ammonium","Nugen NR Disinfecant Wipes","Lonza LLC","Norovirus","5","Wipe","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Yes","05/07/2020"
"6836-372","Quaternary ammonium","Nugen 2m Disinfectant Wipes","Lonza LLC","Rotavirus","1.5 (90 seconds)","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","05/07/2020"
"8383-12","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Peridox","Contec Inc","Norovirus; Rhinovirus","2","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","05/07/2020"
"1677-158","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid); Octanoic acid","Vortexx","Ecolab Inc","Reovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional","Yes","05/07/2020"
"1677-209","Hydrogen peroxide; Peroxyoctanoic acid; Octanoic acid","Octave FS","Ecolab Inc","Feline calicivirus","10","Dilutable","Hard Nonporous (HN)","Institutional","Yes","05/07/2020"
"4822-613","Quaternary ammonium","Scrubbing Bubbles® Disinfectant Bathroom Grime Fighter","S.C. Johnson & Son Inc","Rotavirus","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Residential","Yes","05/07/2020"
"5813-93","Glycolic acid","Show","The Clorox Company","Rhinovirus","10","Impregnated materials","Hard Nonporous (HN)","Residential","Yes","05/07/2020"
"64240-44","Sodium hypochlorite","Soft Scrub with Bleach","Combat Insect Control Systems","Rhinovirus","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","05/07/2020"
"72977-3","Silver ion; Citric acid","Axen® 30","ETI H2O Inc","Adenovirus","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","05/07/2020"
"1043-127","Phenolic","LpH® IIIse Phenolic Disinfectant","Steris Corporation","Adenovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare","Yes","04/30/2020"
"92378-2","Quaternary ammonium","Atmosphere","Atmosphere Global LLC","Norovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/30/2020"
"10897-108","Sodium hypochlorite","Hasa Bleach 6%","Hasa Inc","Rhinovirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Residential","Yes","04/30/2020"
"88049-2","Sodium hypochlorite","2.2% Sodium Hypochlorite Solution","Ameriplus Inc","Rhinovirus","30","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Yes","04/30/2020"
"92449-1","Hypochlorous acid","Annihilyte-1","Annihilare Medical Systems Inc","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/30/2020"
"95337-1","Citric acid","Arm & Hammer Essentials™ Disinfecting Wipes","CR Brands Inc","Rhinovirus","5","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Yes","04/30/2020"
"34810-25","Thymol","Ready to Use Thymol","Wexford Labs Inc","Feline calicivirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/30/2020"
"8383-3","Phenolic","Sporicidin (Brand) Disinfectant Solution (Spray)","Contec Inc","Norovirus","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/30/2020"
"87508-3","Sodium chlorite","Performacide","Odorstart LLC","Poliovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/30/2020"
"93672-2","Hydrogen peroxide","NeoSan Labs Part B","Neosan Labs Inc","Norovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/30/2020"
"93672-1","Quaternary ammonium","NeoSan Labs Part A","Neosan Labs Inc","Norovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/30/2020"
"1677-256","Quaternary ammonium","FSC 35K","Ecolab Inc","Feline calicivirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/30/2020"
"1839-213","Quaternary ammonium","SC-AHD-128","Stepan Company","Norovirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/30/2020"
"1839-211","Quaternary ammonium","SC-AHD-64","Stepan Company","Feline calicivirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"5185-505","Hydrogen chloride","The Works® Basic Disinfectant Toilet Bowl Cleaner","Bio-Lab Inc","Rotavirus; Poliovirus","10","Dilutable","Hard Nonporous (HN)","Institutional; Residential","Yes","04/23/2020"
"74436-1","Quaternary ammonium","EasyDECON Part 1","EFT Holdings Inc","Hepatitis A virus; Rhinovirus; Feline calicivirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"74436-2","Hydrogen Peroxide","EasyDECON Part 2","EFT Holdings Inc","Hepatitis A virus; Rhinovirus; Feline calicivirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"66570-2","Sodium dichloroisocyanurate","EfferSan™","Activon Inc","Feline calicivirus","5","Solid","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"87492-1","Chlorine dioxide","Electro-Biocide","Strategic Resource Optimization Inc","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"11525-30","Quaternary ammonium; Ethanol (Ethyl alcohol)","Disinfectant Spray ""G""","Aerosols Danville Inc","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"4822-614","Hydrochloric acid","Scrubbing Bubbles® Power Stain Destroyer Non-Bleach Toilet Bowl Disinfectant","S.C. Johnson & Son Inc","Rotavirus","10","Ready-to-use","Hard Nonporous (HN)","Residential","Yes","04/23/2020"
"70627-79","Hydrogen peroxide","Oxivir™ HC Disinfectant Cleaner","Diversey Inc","Feline calicivirus; Rhinovirus; Adenovirus; Rotavirus; Poliovirus","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","04/23/2020"
"70627-80","Hydrogen peroxide","Oxivir™ HC Wipes","Diversey Inc","Feline calicivirus; Rhinovirus; Adenovirus; Rotavirus; Poliovirus","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","04/23/2020"
"4822-617","Sodium hypochlorite","Scrubbing Bubbles® Bubbly Bleach Gel Toilet Bowl Disinfectant","S.C. Johnson & Son Inc","Rotavirus","10","Ready-to-use","Hard Nonporous (HN)","Residential","Yes","04/23/2020"
"6836-385","Hydrogen peroxide","DS-6640","Lonza LLC","Feline calicivirus","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"6836-388","Hydrogen peroxide","DS6809","Lonza LLC","Feline calicivirus","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"91452-1","Citric acid","LEXX™ Liquid Sanitizer and Cleaner Concentrate","ProNatural Brands LLC","Feline calicivirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"1043-128","Phenolic","Vesphene IIIse Phenolic Disinfectant","Steris Corporation","Adenovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/23/2020"
"88897-1","Quaternary ammonium; Ethanol (Ethyl alcohol); Isopropanol (Isopropyl alcohol)","Panther Disinfectant Towelette","Maxill Inc","Poliovirus","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/23/2020"
"1677-255","Sodium dichloroisocyanurate","XHC-S","Ecolab Inc","Poliovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/23/2020"
"68660-11","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","Proxitane® AHC","Solvay Chemicals LLC","Rhinovirus","10","Dilutable","Hard Nonporous (HN)","Institutional","Yes","04/23/2020"
"34810-31","Phenolic","Wex-cide 128","Wexford Labs Inc","Feline calicivirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"1839-155","Quaternary ammonium","BTC 2125M 20% Solution","Stepan Company","Adenovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"1839-245","Quaternary ammonium","SC-5:256HN","Stepan Company","Norovirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"65402-3","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","VigorOx SP-15 Antimicrobial Agent","PeroxyChem LLC","Norovirus","5","Dilutable","Hard Nonporous (HN)","Institutional","Yes","04/23/2020"
"70271-15","Sodium hypochlorite","2% Sodium Hypochlorite Spray","KIK International Inc","Rhinovirus","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"73232-1","Isopropanol (Isopropyl alcohol); Quaternary ammonium","Alpet D2","Best Sanitizers Inc","Norovirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"34810-36","Citric acid","CleanCide Wipes","Wexford Labs Inc","Rhinovirus; Feline calicivirus","5","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"1839-96","Quaternary ammonium","NP 9.0 (D&F) Detergent/disinfectant","Stepan Company","Feline calicivirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"87518-1","Hypochlorous acid","Hsp2O","HSP USA LLC","Norovirus","1","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/23/2020"
"72372-1","Hydrogen peroxide","B-Cap™ 35 Antimicrobial Agent","PeroxyChem LLC","Use this product for sterilization as instructed in the Bioquell Hydrogen Peroxide Vapor (HPV) User’s Equipment Manual","Consult user manual","Vapor (use in conjunction with VHP generator)","Hard Nonporous (HN); Porous (P)","Institutional","Yes","04/16/2020"
"777-126","Hydrogen peroxide","Angel","Reckitt Benckiser LLC","Rotavirus; Rhinovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/16/2020"
"4822-594","Quaternary ammonium","Scrubbing Bubbles® Bathroom Disinfectant Bathroom Grime Fighter","S.C. Johnson & Son Inc","Rotavirus","5","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Yes","04/16/2020"
"89833-4","Hydrogen peroxide","D7 Part 2","Decon7 Systems LLC","Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/16/2020"
"1677-254","Sodium hypochlorite","XHC-E","Ecolab Inc","Poliovirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/16/2020"
"706-65","Quaternary ammonium","Claire Disinfectant Bathroom Cleaner","Claire Manufacturing Company","Adenovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/16/2020"
"70144-5","Quaternary ammonium; Ethanol (Ethyl alcohol)","Opti-cide Max","Micro-Scientific LLC","Rotavirus","1","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/16/2020"
"3573-77","Sodium hypochlorite","CSP-3002-3","The Proctor & Gamble Company","Norovirus; Poliovirus","1","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/16/2020"
"3573-96","Quaternary ammonium","Malibu Concentrate","The Proctor & Gamble Company","Feline calicivirus; Norovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/16/2020"
"1839-215","Quaternary ammonium","SC-NDC-128","Stepan Company","Rotavirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/16/2020"
"1839-233","Quaternary ammonium","SC-5:64N","Stepan Company","Simian rotavirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/16/2020"
"6836-233","Quaternary ammonium","BARDAC 205M-50","Lonza LLC","Norovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/16/2020"
"70627-35","Quaternary ammonium","Envy Foaming Disinfectant Cleaner","Diversey Inc","Poliovirus","3","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","04/16/2020"
"1839-225","Quaternary ammonium","SC-RTU-TB","Stepan Company","Rhinovirus","3","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/16/2020"
"1839-212","Quaternary ammonium","SC-AHD-256","Stepan Company","Feline calicivirus; Norovirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/16/2020"
"5741-28","Sodium hypochlorite","Tulmult","Spartan Chemical Company Inc","Feline calicivirus; Norovirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/16/2020"
"70144-2","Quaternary ammonium; Isopropanol (Isopropyl alcohol)","Opti-Cide 3® Wipes","Micro-Scientific LLC","Rotavirus; Rhinovirus","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/09/2020"
"1677-259","Dodecylbenzenesulfonic acid; Lactic acid","CW32A-RTU","Ecolab Inc","Norovirus","0.5 (30 seconds)","Ready-to-use","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Yes","04/09/2020"
"1677-260","Dodecylbenzenesulfonic acid; Lactic acid","S&S Sanitizer","Ecolab Inc","Norovirus","0.5 (30 seconds)","Dilutable","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Yes","04/09/2020"
"91899-2","Hydrogen peroxide","MDF-200 Part B","Span-World LLC","Feline calicivirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","04/09/2020"
"91899-1","Quaternary ammonium","MDF-200 Part A","Span-World LLC","Feline calicivirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Yes","04/09/2020"
"34810-35","Citric acid","Cleancide","Wexford Labs Inc","Feline calicivirus","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/09/2020"
"9804-1","Chlorine dioxide","Oxine","Bio-Cide International Inc","Canine parvovirus","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/09/2020"
"58779-4","Hydrogen peroxide","Vaprox Hydrogen Peroxide Sterilant","Steris Corporation","Use this product for sterilization as instructed in the Vaporized Hydrogen Peroxide (VHP®) User’s Equipment Manual","Consult user manual","Vapor (use in conjunction with VHP generator)","Hard Nonporous (HN); Porous (P); Food Contact No Rinse (FCNR)","Institutional","Yes","04/09/2020"
"58232-2","Sodium hypochlorite","Sodium Hypochlorite 8.25%","Hasa Inc","Rhinovirus","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/09/2020"
"4822-593","L-Lactic Acid","Windex Disinfectant Cleaner","S.C. Johnson & Son Inc","Rhinovirus","5","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Yes","04/09/2020"
"66251-2","Citric acid; Thymol","SBT 2 to 1 Concentrate","Melaleuca Inc","Rhinovirus; Poliovirus","10","Dilutable","Hard Nonporous (HN)","Residential","Yes","04/09/2020"
"71700-2","Chlorine dioxide; Quaternary ammonium","SNiPER","Global Environmental Restoration Inc","Canine parvovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/09/2020"
"9150-2","Chlorine dioxide","Anthium Dioxcide","International Dioxcide Inc","Canine parvovirus","15","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/09/2020"
"66171-103","Peroxyacetic acid (Peracetic acid); Hydrogen peroxide","Peraside A Peroxyacetic Acid-Based Sanitizer/Disinfectant","Preserve International","Murine norovirus","2","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/09/2020"
"3573-54","Citric acid","Comet Disinfecting Bathroom Cleaner","The Proctor & Gamble Company","Feline calicivirus; Norovirus","10","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Yes","04/09/2020"
"39967-138","Potassium peroxymonosulfate; Sodium chloride","Rely+On Multipurpose Disinfectant Cleaner","Lanxess Corporation","Hepatitis A virus; Feline calicivirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/09/2020"
"1839-246","Quaternary ammonium","SC-5:128HN","Stepan Company","Rotavirus; Feline calicivirus","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/09/2020"
"1839-86","Quaternary ammonium","BTC 2125M 10% Solution","Stepan Company","Adenovirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/09/2020"
"1839-166","Quaternary ammonium","BTC 885 NDC-128","Stepan Company","Rotavirus","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Yes","04/09/2020"
"8383-13","Hydrogen peroxide; Peroxyacetic acid (Peracetic acid)","PeridoxRTU ™","Contec Inc","Feline calicivirus","2","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/09/2020"
"84683-3","Thymol","Benefect Botanical Daily Cleaner Disinfectant Spray","Cleanwell LLC","Rhinovirus","10","Ready-to-use","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Yes","04/02/2020"
"88897-2","Quaternary ammonium; Ethanol (Ethyl alcohol); Isopropanol (Isopropyl alcohol)","Panther Disinfectant","Maxill Inc","Adenovirus; Feline calicivirus","3","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional","Yes","04/02/2020"
"42048-4","L-Lactic Acid","Sani-Cide EX3 (10X) RTU","Celeste Industries Corp","Feline calicivirus","10","Ready-to-use","Hard Nonporous (HN)","Institutional","Yes","04/02/2020"
"66171-7","Quaternary ammonium; Glutaraldehyde","Synergize","Preserve International","Feline calicivirus","10","Dilutable","Hard Nonporous (HN)","Institutional","Yes","04/02/2020"
