#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación,,,,,,
24,284,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23540,ATP-PENSA-PRI.09,"A partir de contenidos matemáticos en educación primaria, identificar sus características (profundidad, secuencia, complejidad).",Conocimiento,55.920,0.170,-0.113,-0.102,0.170,-0.191,2017,Ancla,,,,,,
25,227,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23541,ATP-PENSA-PRI.10,"A partir de enunciados sobre la utilidad de contenidos de varias asignaturas, identificar los que corresponden al estudio del pensamiento matemático en primaria.",Comprensión,72.980,0.221,-0.223,-0.136,0.221,-0.130,2017,Ancla,,,,,,
26,357,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23541,ATP-PENSA-PRI.10,"A partir de enunciados sobre la utilidad de contenidos de varias asignaturas, identificar los que corresponden al estudio del pensamiento matemático en primaria.",Comprensión,68.580,0.278,-0.132,-0.305,-0.110,0.278,2017,Ancla,,,,,,
27,8,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23542,ATP-PENSA-PRI.11,"A partir de contenidos de varias asignaturas, identificar los que corresponden al pensamiento matemático.",Conocimiento,65.800,0.198,0.198,-0.108,-0.099,-0.229,2017,Ancla,,,,,,
28,10,1,RS,1. Dominio pedagógico,1.2 Conocimiento del plan y programas de estudio,1.2.2 Contenidos,23542,ATP-PENSA-PRI.11,"A partir de contenidos de varias asignaturas, identificar los que corresponden al pensamiento matemático.",Conocimiento,43.000,0.156,-0.157,-0.156,0.156,-0.124,2017,Ancla,,,,,,
29,14,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.1 Enfoque,23543,ATP-PENSA-PRI.12,"A partir de una situación didáctica, identificar el principio del enfoque didáctico de las matemáticas que se trabaja",Comprensión,24.780,0.276,-0.171,-0.211,0.276,-0.023,2017,Ancla,,,,,,
30,264,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.1 Enfoque,23543,ATP-PENSA-PRI.12,"A partir de una situación didáctica, identificar el principio del enfoque didáctico de las matemáticas que se trabaja",Comprensión,62.480,0.168,-0.142,0.168,-0.075,-0.266,2017,Ancla,,,,,,
31,176,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.1 Enfoque,23544,ATP-PENSA-PRI.13,"A partir de enunciados sobre las interacciones en el aula, identificar el que favorece el aprendizaje de las matemáticas",Comprensión,74.420,0.242,-0.254,-0.167,-0.154,0.242,2017,Ancla,,,,,,
32,353,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.1 Enfoque,23544,ATP-PENSA-PRI.13,"A partir de enunciados sobre las interacciones en el aula, identificar el que favorece el aprendizaje de las matemáticas",Comprensión,85.730,0.260,0.260,-0.121,-0.071,-0.291,2017,Ancla,,,,,,
33,20,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,23545,ATP-PENSA-PRI.14,"A partir de una situación donde se describe la dificultad de una tarea matemática desarrollada por un alumno, identificar la estrategia para atenderla",Aplicación,44.080,0.282,0.282,-0.323,-0.193,-0.065,2017,Ancla,,,,,,
34,606,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,23545,ATP-PENSA-PRI.14,"A partir de una situación donde se describe la dificultad de una tarea matemática desarrollada por un alumno, identificar la estrategia para atenderla",Aplicación,,,,,,,Nuevo ,Nuevo ,,,,,,
35,653,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,23545,ATP-PENSA-PRI.14,"A partir de una situación donde se describe la dificultad de una tarea matemática desarrollada por un alumno, identificar la estrategia para atenderla",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo,,,,,,
36,474,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,52005,ATP-PENSA-PRI.15.A,"A partir de características de las prácticas docentes, identificar aquella que favorece el aprendizaje al trabajar contenidos matemáticos en Educación Primaria",Conocimiento,,,,,,,Nuevo ,Nuevo ,,,,,,
37,496,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,52005,ATP-PENSA-PRI.15.A,"A partir de características de las prácticas docentes, identificar aquella que favorece el aprendizaje al trabajar contenidos matemáticos en Educación Primaria",Conocimiento,,,,,,,Nuevo ,Nuevo ,,,,,,
38,522,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,52005,ATP-PENSA-PRI.15.A,"A partir de características de las prácticas docentes, identificar aquella que favorece el aprendizaje al trabajar contenidos matemáticos en Educación Primaria",Conocimiento,,,,,,,Piloto Fijo,Piloto Fijo,,,,,,
39,364,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.3 Dispositivos didácticos,23547,ATP-PENSA-PRI.16,"A partir del desarrollo de un contenido de matemáticas que involucre a las TIC, identificar la estrategia adecuada para atenderlo",Aplicación,49.370,0.201,0.201,-0.194,-0.030,-0.198,2017,Ancla,,,,,,
40,435,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.3 Dispositivos didácticos,23547,ATP-PENSA-PRI.16,"A partir del desarrollo de un contenido de matemáticas que involucre a las TIC, identificar la estrategia adecuada para atenderlo",Aplicación,29.080,0.233,-0.024,0.233,-0.337,-0.083,2017,Ancla,,,,,,
41,23,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.3 Dispositivos didácticos,23548,ATP-PENSA-PRI.17,"A partir de situaciones de aula en las que se utilicen las TIC, identificar la que desarrolla un aprendizaje matemático",Comprensión,65.260,0.263,-0.187,-0.192,0.263,-0.226,2017,Ancla,,,,,,
42,208,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.3 Dispositivos didácticos,23548,ATP-PENSA-PRI.17,"A partir de situaciones de aula en las que se utilicen las TIC, identificar la que desarrolla un aprendizaje matemático",Comprensión,57.720,0.187,-0.012,0.187,-0.172,-0.207,2017,Ancla,,,,,,
43,141,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.1 Sentido de la asesoría,23549,ATP-PENSA-PRI.18,"A partir de acciones de asesoría para mejorar una práctica docente, identificar la que contribuye a que todos los alumnos aprendan matemáticas",Comprensión,63.380,0.288,0.288,-0.196,-0.119,-0.263,2017,Ancla,,,,,,
44,223,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.1 Sentido de la asesoría,23549,ATP-PENSA-PRI.18,"A partir de acciones de asesoría para mejorar una práctica docente, identificar la que contribuye a que todos los alumnos aprendan matemáticas",Comprensión,85.730,0.269,0.269,-0.201,-0.074,-0.252,2017,Ancla,,,,,,
45,26,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.1 Sentido de la asesoría,23550,ATP-PENSA-PRI.19,"A partir de descripciones de asesorías, identificar la que corresponde a una asesoría situada en el aula.",Conocimiento,39.950,0.243,-0.249,-0.093,-0.117,0.243,2017,Ancla,,,,,,
46,436,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.1 Sentido de la asesoría,23550,ATP-PENSA-PRI.19,"A partir de descripciones de asesorías, identificar la que corresponde a una asesoría situada en el aula.",Conocimiento,56.190,0.228,-0.075,0.228,-0.009,-0.305,2017,Ancla,,,,,,
47,418,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.1 Sentido de la asesoría,23551,ATP-PENSA-PRI.20,"A partir de acciones de gestión escolar, identificar la que favorece la asesoría sobre el aprendizaje de las matemáticas",Comprensión,79.980,0.307,-0.111,-0.330,0.307,-0.130,2017,Ancla,,,,,,
48,178,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.1 Sentido de la asesoría,23551,ATP-PENSA-PRI.20,"A partir de acciones de gestión escolar, identificar la que favorece la asesoría sobre el aprendizaje de las matemáticas",Comprensión,82.372,0.183,0.183,-0.087,-0.220,-0.113,2016,Específico,,,,,,
49,257,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.2 Atención a los factores de riesgo,23552,ATP-PENSA-PRI.21,"A partir de una descripción de clase donde el docente no logre el aprendizaje matemático de los alumnos, identificar la asesoría requerida",Aplicación,70.200,0.175,-0.096,-0.204,-0.122,0.175,2017,Ancla,,,,,,
50,270,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.2 Atención a los factores de riesgo,23552,ATP-PENSA-PRI.21,"A partir de una descripción de clase donde el docente no logre el aprendizaje matemático de los alumnos, identificar la asesoría requerida",Aplicación,52.231,0.254,-0.202,-0.136,0.254,-0.195,2016,Específico,,,,,,
51,51,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.2 Atención a los factores de riesgo,23553,ATP-PENSA-PRI.22,"A partir de acciones efectuadas por el colectivo escolar, identificar la que previene el rezago educativo o la deserción escolar asociados al aprendizaje de las matemáticas",Aplicación,64.000,0.188,-0.097,0.188,-0.185,-0.159,2017,Ancla,,,,,,
52,608,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.2 Atención a los factores de riesgo,23553,ATP-PENSA-PRI.22,"A partir de acciones efectuadas por el colectivo escolar, identificar la que previene el rezago educativo o la deserción escolar asociados al aprendizaje de las matemáticas",Aplicación,,,,,,,Nuevo ,Nuevo ,,,,,,
53,655,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.2 Atención a los factores de riesgo,23553,ATP-PENSA-PRI.22,"A partir de acciones efectuadas por el colectivo escolar, identificar la que previene el rezago educativo o la deserción escolar asociados al aprendizaje de las matemáticas",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo,,,,,,
54,590,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.1 Diagnóstico,52012,ATP-PENSA-PRI.23.A,"A partir de la descripción de una situación de aula relacionada con el aprendizaje matemático, identificar el procedimiento para realizar el diagnóstico de grupo o de la práctica docente",Aplicación,,,,,,,Nuevo ,Nuevo ,,,,,,
55,610,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.1 Diagnóstico,52012,ATP-PENSA-PRI.23.A,"A partir de la descripción de una situación de aula relacionada con el aprendizaje matemático, identificar el procedimiento para realizar el diagnóstico de grupo o de la práctica docente",Aplicación,,,,,,,Nuevo ,Nuevo ,,,,,,
56,547,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.1 Diagnóstico,52012,ATP-PENSA-PRI.23.A,"A partir de la descripción de una situación de aula relacionada con el aprendizaje matemático, identificar el procedimiento para realizar el diagnóstico de grupo o de la práctica docente",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo,,,,,,
57,60,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.2 Plan de acción,23555,ATP-PENSA-PRI.24,"A partir de las acciones de un proyecto para mejorar los resultados de un diagnóstico, ordenarlas de acuerdo con su proceso de elaboración",Comprensión,77.470,0.179,-0.211,0.179,-0.099,-0.113,2017,Ancla,,,,,,
58,188,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.2 Plan de acción,23555,ATP-PENSA-PRI.24,"A partir de las acciones de un proyecto para mejorar los resultados de un diagnóstico, ordenarlas de acuerdo con su proceso de elaboración",Comprensión,76.750,0.281,0.281,-0.183,-0.259,-0.133,2017,Ancla,,,,,,
59,88,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.2 Plan de acción,23556,ATP-PENSA-PRI.25,"A partir de una situación de diagnóstico grupal respecto a un contenido matemático específico, seleccionar el plan de acción para lograr los aprendizajes esperados",Aplicación,86.980,0.192,-0.156,-0.135,0.192,-0.167,2017,Ancla,,,,,,
60,189,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.2 Plan de acción,23556,ATP-PENSA-PRI.25,"A partir de una situación de diagnóstico grupal respecto a un contenido matemático específico, seleccionar el plan de acción para lograr los aprendizajes esperados",Aplicación,67.590,0.312,0.312,-0.282,-0.152,-0.179,2017,Ancla,,,,,,
61,306,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.3 Seguimiento,23557,ATP-PENSA-PRI.26,"A partir de las condiciones del contexto escolar, identificar los elementos necesarios para elaborar un plan de asesoría que fortalezca el pensamiento matemático",Comprensión,72.710,0.287,-0.221,-0.222,0.287,-0.135,2017,Ancla,,,,,,
62,222,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.3 Seguimiento,23557,ATP-PENSA-PRI.26,"A partir de las condiciones del contexto escolar, identificar los elementos necesarios para elaborar un plan de asesoría que fortalezca el pensamiento matemático",Comprensión,76.605,0.166,0.166,-0.126,-0.199,-0.064,2016,Específico,,,,,,
63,483,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.3 Seguimiento,23557,ATP-PENSA-PRI.26,"A partir de las condiciones del contexto escolar, identificar los elementos necesarios para elaborar un plan de asesoría que fortalezca el pensamiento matemático",Comprensión,,,,,,,Piloto Variable,Piloto Variable,,,,,,
64,229,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.3 Seguimiento,23558,ATP-PENSA-PRI.27,"A partir de acciones de seguimiento, identificar las que mejoran los aprendizajes del pensamiento matemático.",Comprensión,51.260,0.226,0.226,-0.191,-0.195,-0.105,2017,Ancla,,,,,,
65,514,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.3 Seguimiento,23558,ATP-PENSA-PRI.27,"A partir de acciones de seguimiento, identificar las que mejoran los aprendizajes del pensamiento matemático.",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
66,613,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.3 Seguimiento,23558,ATP-PENSA-PRI.27,"A partir de acciones de seguimiento, identificar las que mejoran los aprendizajes del pensamiento matemático.",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo,,,,,,
67,371,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.1 Proceso de enseñanza y aprendizaje,23559,ATP-PENSA-PRI.28,"A partir de estrategias de asesoría, identificar la que promueve la reflexión del docente sobre el estudio de las matemáticas",Comprensión,79.260,0.273,-0.161,-0.133,0.273,-0.262,2017,Ancla,,,,,,
68,390,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.1 Proceso de enseñanza y aprendizaje,23559,ATP-PENSA-PRI.28,"A partir de estrategias de asesoría, identificar la que promueve la reflexión del docente sobre el estudio de las matemáticas",Comprensión,56.370,0.249,-0.098,-0.285,0.249,-0.122,2017,Ancla,,,,,,
69,512,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.1 Proceso de enseñanza y aprendizaje,23559,ATP-PENSA-PRI.28,"A partir de estrategias de asesoría, identificar la que promueve la reflexión del docente sobre el estudio de las matemáticas",Comprensión,,,,,,,Piloto Variable,Piloto Variable,,,,,,
70,256,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.1 Proceso de enseñanza y aprendizaje,23560,ATP-PENSA-PRI.29,"A partir de la observación de una clase de Matemáticas en la que el docente organiza a los alumnos de manera individual, identificar las acciones de asesoría que promueven la reflexión docente",Aplicación,66.880,0.207,0.207,-0.177,-0.095,-0.196,2017,Ancla,,,,,,
71,565,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.1 Proceso de enseñanza y aprendizaje,23560,ATP-PENSA-PRI.29,"A partir de la observación de una clase de Matemáticas en la que el docente organiza a los alumnos de manera individual, identificar las acciones de asesoría que promueven la reflexión docente",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo,,,,,,
72,169,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.2 Situaciones de aprendizaje,23561,ATP-PENSA-PRI.30,"A partir de una situación en la que se muestran las necesidades educativas de un grupo de alumnos, identificar la estrategia del asesor que las atiende",Aplicación,52.960,0.242,-0.194,-0.114,-0.237,0.242,2017,Ancla,,,,,,
73,242,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.2 Situaciones de aprendizaje,23561,ATP-PENSA-PRI.30,"A partir de una situación en la que se muestran las necesidades educativas de un grupo de alumnos, identificar la estrategia del asesor que las atiende",Aplicación,70.560,0.169,-0.149,-0.127,-0.176,0.169,2017,Ancla,,,,,,
74,238,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.2 Situaciones de aprendizaje,23562,ATP-PENSA-PRI.31,"A partir de un caso de asesoría sobre una actividad matemática, identificar los elementos que permiten atender las necesidades educativas de los alumnos",Comprensión,53.410,0.215,0.215,-0.154,-0.172,-0.211,2017,Ancla,,,,,,
75,442,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.2 Situaciones de aprendizaje,23562,ATP-PENSA-PRI.31,"A partir de un caso de asesoría sobre una actividad matemática, identificar los elementos que permiten atender las necesidades educativas de los alumnos",Comprensión,79.350,0.190,-0.193,-0.142,0.190,-0.129,2017,Ancla,,,,,,
76,28,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.3 Promoción de nuevos aprendizajes,23563,ATP-PENSA-PRI.32,"A partir de una actividad matemática que muestre la producción oral o escrita de los alumnos, identificar la asesoría que permita su análisis",Comprensión,59.690,0.174,-0.227,-0.103,-0.077,0.174,2017,Ancla,,,,,,
77,41,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.3 Promoción de nuevos aprendizajes,23563,ATP-PENSA-PRI.32,"A partir de una actividad matemática que muestre la producción oral o escrita de los alumnos, identificar la asesoría que permita su análisis",Comprensión,61.580,0.206,-0.213,-0.143,-0.126,0.206,2017,Ancla,,,,,,
78,309,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.3 Promoción de nuevos aprendizajes,23564,ATP-PENSA-PRI.33,"A partir de una situación didáctica de Matemáticas, identificar la acción del asesor para promover la interacción entre los alumnos",Aplicación,87.340,0.259,-0.261,0.259,-0.063,-0.204,2017,Ancla,,,,,,
79,663,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.3 Promoción de nuevos aprendizajes,23564,ATP-PENSA-PRI.33,"A partir de una situación didáctica de Matemáticas, identificar la acción del asesor para promover la interacción entre los alumnos",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo,,,,,,
80,464,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.4 Atención diferenciada,52013,ATP-PENSA-PRI.34.A,"A partir de la descripción de un desafío docente, identificar la estrategia que el asesor sugiere para que todos los alumnos aprendan matemáticas",Aplicación,,,,,,,Nuevo ,Nuevo ,,,,,,
