#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificaicón
15,678,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24527,SECTOR-PRE.06,"A partir de una situación problemática relacionada con los resultados educativos, identificar la acción que permite evaluarlos periódicamente en las escuelas de su sector",Aplicación,,,,,,,Piloto,Piloto
16,518,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,51790,SECTOR-PRE.07.A,"A partir de acciones de seguimiento o de acompañamiento, identificar las que permiten evaluar periódicamente los resultados educativos de las escuelas de su sector",Comprensión,,,,,,,Piloto focal,Piloto focal
17,526,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,51790,SECTOR-PRE.07.A,"A partir de acciones de seguimiento o de acompañamiento, identificar las que permiten evaluar periódicamente los resultados educativos de las escuelas de su sector",Comprensión,,,,,,,Piloto focal,Piloto focal
18,153,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24529,SECTOR-PRE.08,"A partir de un listado de prácticas de organización o funcionamiento de la escuela, identificar los rasgos de aquéllas que obtienen buenos resultados educativos (metas comunes, trabajo colaborativo, enseñanza centrada en el aprendizaje o altas expectativas sobre el aprendizaje de los alumnos)",Comprensión,87.500,0.371,-0.268,-0.264,-0.208,0.371,2017,Ancla
19,682,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24529,SECTOR-PRE.08,"A partir de un listado de prácticas de organización o funcionamiento de la escuela, identificar los rasgos de aquéllas que obtienen buenos resultados educativos (metas comunes, trabajo colaborativo, enseñanza centrada en el aprendizaje o altas expectativas sobre el aprendizaje de los alumnos)",Comprensión,,,,,,,Piloto focal,Piloto focal
20,683,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24529,SECTOR-PRE.08,"A partir de un listado de prácticas de organización o funcionamiento de la escuela, identificar los rasgos de aquéllas que obtienen buenos resultados educativos (metas comunes, trabajo colaborativo, enseñanza centrada en el aprendizaje o altas expectativas sobre el aprendizaje de los alumnos)",Comprensión,,,,,,,Piloto,Piloto
21,541,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24530,SECTOR-PRE.09,"A partir de una situación escolar en la que se observen prácticas de escuelas con buenos y malos resultados educativos, identificar los rasgos presentes en aquellas que obtienen buenos resultados educativos (metas comunes, enseñanza centrada en el aprendizaje, trabajo colaborativo, altas expectativas sobre el aprendizaje)",Aplicación,,,,,,,Piloto focal,Piloto focal
22,663,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24530,SECTOR-PRE.09,"A partir de una situación escolar en la que se observen prácticas de escuelas con buenos y malos resultados educativos, identificar los rasgos presentes en aquellas que obtienen buenos resultados educativos (metas comunes, enseñanza centrada en el aprendizaje, trabajo colaborativo, altas expectativas sobre el aprendizaje)",Aplicación,,,,,,,Piloto focal,Piloto focal
23,751,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24530,SECTOR-PRE.09,"A partir de una situación escolar en la que se observen prácticas de escuelas con buenos y malos resultados educativos, identificar los rasgos presentes en aquellas que obtienen buenos resultados educativos (metas comunes, enseñanza centrada en el aprendizaje, trabajo colaborativo, altas expectativas sobre el aprendizaje)",Aplicación,,,,,,,Piloto focal,Piloto focal
24,90,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24531,SECTOR-PRE.10,"A partir de un listado de elementos del Programa de estudios 2011, identificar aquellos en los que se distingue el sentido formativo de la educación preescolar",Conocimiento,85.870,0.301,-0.141,-0.248,0.301,-0.197,2017,Ancla
25,364,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24531,SECTOR-PRE.10,"A partir de un listado de elementos del Programa de estudios 2011, identificar aquellos en los que se distingue el sentido formativo de la educación preescolar",Conocimiento,37.500,0.266,-0.259,-0.193,0.266,-0.100,2017,Ancla
26,752,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24531,SECTOR-PRE.10,"A partir de un listado de elementos del Programa de estudios 2011, identificar aquellos en los que se distingue el sentido formativo de la educación preescolar",Conocimiento,,,,,,,Piloto focal,Piloto focal
27,563,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24531,SECTOR-PRE.10,"A partir de un listado de elementos del Programa de estudios 2011, identificar aquellos en los que se distingue el sentido formativo de la educación preescolar",Conocimiento,,,,,,,Piloto,Piloto
28,53,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24532,SECTOR-PRE.11,"A partir de un listado de argumentos sobre prácticas educativas, identificar los que validan el sentido formativo de los propósitos educativos, de los campos formativos, las competencias o los aprendizajes esperados de la educación preescolar",Comprensión,46.740,0.275,0.275,-0.202,-0.244,-0.113,2017,Ancla
29,350,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24532,SECTOR-PRE.11,"A partir de un listado de argumentos sobre prácticas educativas, identificar los que validan el sentido formativo de los propósitos educativos, de los campos formativos, las competencias o los aprendizajes esperados de la educación preescolar",Comprensión,89.130,0.188,-0.166,-0.200,-0.053,0.188,2017,Ancla
30,754,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24532,SECTOR-PRE.11,"A partir de un listado de argumentos sobre prácticas educativas, identificar los que validan el sentido formativo de los propósitos educativos, de los campos formativos, las competencias o los aprendizajes esperados de la educación preescolar",Comprensión,,,,,,,Piloto focal,Piloto focal
31,555,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24532,SECTOR-PRE.11,"A partir de un listado de argumentos sobre prácticas educativas, identificar los que validan el sentido formativo de los propósitos educativos, de los campos formativos, las competencias o los aprendizajes esperados de la educación preescolar",Comprensión,,,,,,,Piloto,Piloto
32,537,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.3 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",51798,SECTOR-PRE.12.A,"A partir de casos de alumnos con discapacidad o aptitudes sobresalientes, identificar las acciones del jefe de sector que aseguren el aprendizaje de los alumnos",Aplicación,,,,,,,Piloto focal,Piloto focal
33,623,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.3 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",51798,SECTOR-PRE.12.A,"A partir de casos de alumnos con discapacidad o aptitudes sobresalientes, identificar las acciones del jefe de sector que aseguren el aprendizaje de los alumnos",Aplicación,,,,,,,Piloto focal,Piloto focal
34,624,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.3 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",51807,SECTOR-PRE.13.A,"A partir de un listado de acciones realizadas por el jefe de sector, identificar las que garanticen los aprendizajes de los niños con discapacidad o aptitudes sobresalientes",Comprensión,,,,,,,Piloto focal,Piloto focal
35,738,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.3 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",51807,SECTOR-PRE.13.A,"A partir de un listado de acciones realizadas por el jefe de sector, identificar las que garanticen los aprendizajes de los niños con discapacidad o aptitudes sobresalientes",Comprensión,,,,,,,Piloto focal,Piloto focal
36,571,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.4 Resultados educativos de las escuelas del sector,24535,SECTOR-PRE.14,"A partir de un listado de acciones, elegir aquéllas que dan seguimiento a los resultados educativos de las escuelas",Comprensión,,,,,,,Piloto focal,Piloto focal
37,758,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.4 Resultados educativos de las escuelas del sector,24535,SECTOR-PRE.14,"A partir de un listado de acciones, elegir aquéllas que dan seguimiento a los resultados educativos de las escuelas",Comprensión,,,,,,,Piloto focal,Piloto focal
38,545,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.4 Resultados educativos de las escuelas del sector,24536,SECTOR-PRE.15,"A partir de un caso de una escuela que presenta bajos resultados educativos, elegir las acciones para su seguimiento",Aplicación,,,,,,,Piloto focal,Piloto focal
39,572,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.4 Resultados educativos de las escuelas del sector,24536,SECTOR-PRE.15,"A partir de un caso de una escuela que presenta bajos resultados educativos, elegir las acciones para su seguimiento",Aplicación,,,,,,,Piloto focal,Piloto focal
40,434,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.5 Prácticas educativas de docentes, directivos, asesores técnicos pedagógicos y supervisores",24537,SECTOR-PRE.16,"A partir de la función supervisora que realiza la jefatura de sector, seleccionar las acciones que fortalecen la práctica educativa de los docentes, directivos, asesores técnico pedagógicos o supervisores",Comprensión,64.670,0.203,-0.260,-0.193,0.203,-0.050,2017,Ancla
41,628,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.5 Prácticas educativas de docentes, directivos, asesores técnicos pedagógicos y supervisores",24537,SECTOR-PRE.16,"A partir de la función supervisora que realiza la jefatura de sector, seleccionar las acciones que fortalecen la práctica educativa de los docentes, directivos, asesores técnico pedagógicos o supervisores",Comprensión,,,,,,,Piloto focal,Piloto focal
42,762,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.5 Prácticas educativas de docentes, directivos, asesores técnicos pedagógicos y supervisores",24537,SECTOR-PRE.16,"A partir de la función supervisora que realiza la jefatura de sector, seleccionar las acciones que fortalecen la práctica educativa de los docentes, directivos, asesores técnico pedagógicos o supervisores",Comprensión,,,,,,,Piloto focal,Piloto focal
43,163,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.5 Prácticas educativas de docentes, directivos, asesores técnicos pedagógicos y supervisores",24538,SECTOR-PRE.17,"A partir de necesidades sobre prácticas educativas (planificación, evaluación, acompañamiento, seguimiento, entre otras), identificar las acciones de la jefatura de sector que fortalecen la práctica educativa de docentes, directivos, asesores técnicos pedagógicos o supervisores",Aplicación,59.240,0.23,-0.152,-0.305,0.230,-0.097,2017,Ancla
44,480,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.5 Prácticas educativas de docentes, directivos, asesores técnicos pedagógicos y supervisores",24538,SECTOR-PRE.17,"A partir de necesidades sobre prácticas educativas (planificación, evaluación, acompañamiento, seguimiento, entre otras), identificar las acciones de la jefatura de sector que fortalecen la práctica educativa de docentes, directivos, asesores técnicos pedagógicos o supervisores",Aplicación,48.370,0.264,-0.222,0.264,-0.290,-0.026,2017,Ancla
45,56,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.6 Seguimiento y fortalecimiento del trabajo educativo,24539,SECTOR-PRE.18,"A partir de un listado de estrategias para las visitas de seguimiento, seleccionar las que fortalecen el trabajo educativo de las escuelas",Comprensión,71.200,0.262,-0.220,-0.260,0.262,-0.093,2017,Ancla
46,216,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.6 Seguimiento y fortalecimiento del trabajo educativo,24539,SECTOR-PRE.18,"A partir de un listado de estrategias para las visitas de seguimiento, seleccionar las que fortalecen el trabajo educativo de las escuelas",Comprensión,68.480,0.189,-0.035,-0.289,-0.104,0.189,2017,Ancla
47,441,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.6 Seguimiento y fortalecimiento del trabajo educativo,24540,SECTOR-PRE.19,"A partir de situaciones planteadas en la ruta de mejora, seleccionar las estrategias de seguimiento para fortalecer el trabajo en las escuelas del sector",Aplicación,67.390,0.24,0.240,-0.257,-0.104,-0.219,2017,Ancla
48,763,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.6 Seguimiento y fortalecimiento del trabajo educativo,24540,SECTOR-PRE.19,"A partir de situaciones planteadas en la ruta de mejora, seleccionar las estrategias de seguimiento para fortalecer el trabajo en las escuelas del sector",Aplicación,,,,,,,Piloto focal,Piloto focal
49,695,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.6 Seguimiento y fortalecimiento del trabajo educativo,24540,SECTOR-PRE.19,"A partir de situaciones planteadas en la ruta de mejora, seleccionar las estrategias de seguimiento para fortalecer el trabajo en las escuelas del sector",Aplicación,,,,,,,Piloto,Piloto
50,542,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.1 Finalidades de la asesoría técnica pedagógica,24541,SECTOR-PRE.20,"A partir de enunciados expresados en textos oficiales, identificar aquellos que definan el objetivo de la asesoría técnico pedagógica que se ofrece a los colectivos escolares",Conocimiento,,,,,,,Piloto focal,Piloto focal
51,554,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.1 Finalidades de la asesoría técnica pedagógica,24541,SECTOR-PRE.20,"A partir de enunciados expresados en textos oficiales, identificar aquellos que definan el objetivo de la asesoría técnico pedagógica que se ofrece a los colectivos escolares",Conocimiento,,,,,,,Piloto focal,Piloto focal
52,577,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.1 Finalidades de la asesoría técnica pedagógica,24541,SECTOR-PRE.20,"A partir de enunciados expresados en textos oficiales, identificar aquellos que definan el objetivo de la asesoría técnico pedagógica que se ofrece a los colectivos escolares",Conocimiento,,,,,,,Piloto,Piloto
53,226,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.1 Finalidades de la asesoría técnica pedagógica,24542,SECTOR-PRE.21,"A partir de un listado de acciones de mejora o fortalecimiento educativo, reconocer aquéllas que cumplan con la finalidad de la asesoría técnico pedagógica que se ofrece a los colectivos escolares",Comprensión,79.890,0.211,0.211,-0.239,-0.087,-0.224,2017,Ancla
54,766,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.1 Finalidades de la asesoría técnica pedagógica,24542,SECTOR-PRE.21,"A partir de un listado de acciones de mejora o fortalecimiento educativo, reconocer aquéllas que cumplan con la finalidad de la asesoría técnico pedagógica que se ofrece a los colectivos escolares",Comprensión,,,,,,,Piloto focal,Piloto focal
55,259,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.2 Asesoría a las escuelas de acuerdo con sus necesidades,24543,SECTOR-PRE.22,"A partir de una situación relacionada con necesidades de formación académica o metodológica expresadas en la ruta de mejora escolar, en el plan de trabajo de la zona escolar o en evaluaciones internas o externas, identificar las acciones de asesoría para atenderlas",Aplicación,86.960,0.214,-0.226,0.214,-0.136,-0.119,2017,Ancla
56,548,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.2 Asesoría a las escuelas de acuerdo con sus necesidades,24543,SECTOR-PRE.22,"A partir de una situación relacionada con necesidades de formación académica o metodológica expresadas en la ruta de mejora escolar, en el plan de trabajo de la zona escolar o en evaluaciones internas o externas, identificar las acciones de asesoría para atenderlas",Aplicación,,,,,,,Piloto focal,Piloto focal
57,701,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.2 Asesoría a las escuelas de acuerdo con sus necesidades,24543,SECTOR-PRE.22,"A partir de una situación relacionada con necesidades de formación académica o metodológica expresadas en la ruta de mejora escolar, en el plan de trabajo de la zona escolar o en evaluaciones internas o externas, identificar las acciones de asesoría para atenderlas",Aplicación,,,,,,,Piloto,Piloto
58,173,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,"1.3.3 Desarrollo profesional de docentes, directivos, asesores técnicos pedagógicos y supervisores",24544,SECTOR-PRE.23,"A partir de la descripción de una necesidad de desarrollo profesional de los actores educativos (docente, directivo, supervisor o asesor técnico pedagógico), identificar las estrategias que fomenten dicho desarrollo",Aplicación,37.900,0.206,0.000,0.206,-0.157,-0.241,2015,Específico
59,261,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,"1.3.3 Desarrollo profesional de docentes, directivos, asesores técnicos pedagógicos y supervisores",24544,SECTOR-PRE.23,"A partir de la descripción de una necesidad de desarrollo profesional de los actores educativos (docente, directivo, supervisor o asesor técnico pedagógico), identificar las estrategias que fomenten dicho desarrollo",Aplicación,83.150,0.239,-0.048,0.239,-0.332,-0.071,2017,Ancla
60,322,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,"1.3.3 Desarrollo profesional de docentes, directivos, asesores técnicos pedagógicos y supervisores",24544,SECTOR-PRE.23,"A partir de la descripción de una necesidad de desarrollo profesional de los actores educativos (docente, directivo, supervisor o asesor técnico pedagógico), identificar las estrategias que fomenten dicho desarrollo",Aplicación,37.500,0.264,-0.136,0.264,-0.374,-0.136,2017,Ancla
61,65,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.4 Finalidad de la tutoría,24545,SECTOR-PRE.24,"A partir de ejemplos de acompañamiento a docentes, seleccionar los que cumplen con las finalidades de la tutoría",Conocimiento,69.020,0.22,-0.190,-0.312,0.220,-0.021,2017,Ancla
62,396,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.4 Finalidad de la tutoría,24545,SECTOR-PRE.24,"A partir de ejemplos de acompañamiento a docentes, seleccionar los que cumplen con las finalidades de la tutoría",Conocimiento,76.630,0.251,-0.199,0.251,-0.221,-0.184,2017,Ancla
63,769,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.4 Finalidad de la tutoría,24545,SECTOR-PRE.24,"A partir de ejemplos de acompañamiento a docentes, seleccionar los que cumplen con las finalidades de la tutoría",Conocimiento,,,,,,,Piloto focal,Piloto focal
64,661,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.4 Finalidad de la tutoría,24545,SECTOR-PRE.24,"A partir de ejemplos de acompañamiento a docentes, seleccionar los que cumplen con las finalidades de la tutoría",Conocimiento,,,,,,,Piloto,Piloto
65,284,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Toma de decisiones para la mejora escolar,24546,SECTOR-PRE.25,"A partir de un listado de acciones de gestión escolar, identificar las que permitan la autonomía de las escuelas",Conocimiento,89.670,0.242,-0.158,0.242,-0.218,-0.170,2017,Ancla
66,587,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Toma de decisiones para la mejora escolar,24546,SECTOR-PRE.25,"A partir de un listado de acciones de gestión escolar, identificar las que permitan la autonomía de las escuelas",Conocimiento,,,,,,,Piloto focal,Piloto focal
67,703,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Toma de decisiones para la mejora escolar,24546,SECTOR-PRE.25,"A partir de un listado de acciones de gestión escolar, identificar las que permitan la autonomía de las escuelas",Conocimiento,,,,,,,Piloto,Piloto
68,83,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Toma de decisiones para la mejora escolar,24547,SECTOR-PRE.26,"A partir de una situación escolar (participación de padres de familia, planeación de la ruta de mejora o que presente resultados educativos), distinguir las acciones de gestión escolar que permiten a docentes y directivos tomar decisiones autónomas orientadas a la mejora de la calidad del servicio educativo",Aplicación,64.130,0.25,0.250,-0.289,-0.287,-0.011,2017,Ancla
69,578,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Toma de decisiones para la mejora escolar,24547,SECTOR-PRE.26,"A partir de una situación escolar (participación de padres de familia, planeación de la ruta de mejora o que presente resultados educativos), distinguir las acciones de gestión escolar que permiten a docentes y directivos tomar decisiones autónomas orientadas a la mejora de la calidad del servicio educativo",Aplicación,,,,,,,Piloto focal,Piloto focal
70,704,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Toma de decisiones para la mejora escolar,24547,SECTOR-PRE.26,"A partir de una situación escolar (participación de padres de familia, planeación de la ruta de mejora o que presente resultados educativos), distinguir las acciones de gestión escolar que permiten a docentes y directivos tomar decisiones autónomas orientadas a la mejora de la calidad del servicio educativo",Aplicación,,,,,,,Piloto,Piloto
71,210,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.2 Promoción de la autonomía de la gestión escolar,24548,SECTOR-PRE.27,"A partir de planteamientos señalados en la normativa vigente sobre gestión escolar (del aprendizaje, evaluación con equidad y autonomía de gestión), seleccionar las acciones que permiten orientar al asesor técnico pedagógico y al supervisor escolar para promover la autogestión de las escuelas",Conocimiento,77.720,0.377,-0.172,0.377,-0.388,-0.152,2017,Ancla
72,391,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.2 Promoción de la autonomía de la gestión escolar,24548,SECTOR-PRE.27,"A partir de planteamientos señalados en la normativa vigente sobre gestión escolar (del aprendizaje, evaluación con equidad y autonomía de gestión), seleccionar las acciones que permiten orientar al asesor técnico pedagógico y al supervisor escolar para promover la autogestión de las escuelas",Conocimiento,58.700,0.328,-0.295,-0.144,0.328,-0.224,2017,Ancla
73,182,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.2 Promoción de la autonomía de la gestión escolar,24549,SECTOR-PRE.28,"A partir de una situación escolar (incumplimiento de algunos rasgos de la normalidad mínima), identificar acciones que permiten al jefe de sector orientar sobre la asesoría y supervisión escolares a fin de promover la autonomía de gestión de las escuelas",Aplicación,48.370,0.165,-0.044,-0.222,-0.146,0.165,2017,Ancla
74,483,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.2 Promoción de la autonomía de la gestión escolar,24549,SECTOR-PRE.28,"A partir de una situación escolar (incumplimiento de algunos rasgos de la normalidad mínima), identificar acciones que permiten al jefe de sector orientar sobre la asesoría y supervisión escolares a fin de promover la autonomía de gestión de las escuelas",Aplicación,83.700,0.357,-0.249,-0.334,-0.113,0.357,2017,Ancla
