No.,Clave Reactivo,Sesión,Tipo Reactivo,Área,Subárea,Tema,ID Especificación,Clave de la Especificación,Definición Operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación,,,,,,,,,,,,,
23,406,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24804,SUPER-ESPE11,"A partir del caso de un alumno diagnosticado con aptitudes sobresalientes, identificar las estrategias de atención que favorezcan su aprendizaje",Conocimiento,60.100,0.216,-0.186,-0.184,-0.206,0.216,2017,Ancla,,,,,,,,,,,,,
24,497,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24804,SUPER-ESPE11,"A partir del caso de un alumno diagnosticado con aptitudes sobresalientes, identificar las estrategias de atención que favorezcan su aprendizaje",Conocimiento,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
25,616,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24804,SUPER-ESPE11,"A partir del caso de un alumno diagnosticado con aptitudes sobresalientes, identificar las estrategias de atención que favorezcan su aprendizaje",Conocimiento,,,,,,,Piloto Variable,Piloto Variable,,,,,,,,,,,,,
26,459,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24805,SUPER-ESPE12,"A partir del caso de un alumno diagnosticado con discapacidad, identificar las estrategias de atención que favorezcan su aprendizaje",Comprensión,78.240,0.173,-0.173,0.173,-0.216,-0.053,2017,Ancla,,,,,,,,,,,,,
27,478,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24805,SUPER-ESPE12,"A partir del caso de un alumno diagnosticado con discapacidad, identificar las estrategias de atención que favorezcan su aprendizaje",Comprensión,62.520,0.267,0.267,-0.181,-0.232,-0.173,2017,Ancla,,,,,,,,,,,,,
28,512,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24806,SUPER-ESPE13,"A partir de un listado de características de las discapacidades, identificar la discapacidad a la que corresponde",Conocimiento,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
29,517,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24806,SUPER-ESPE13,"A partir de un listado de características de las discapacidades, identificar la discapacidad a la que corresponde",Conocimiento,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
30,617,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24806,SUPER-ESPE13,"A partir de un listado de características de las discapacidades, identificar la discapacidad a la que corresponde",Conocimiento,,,,,,,Piloto Variable,Piloto Variable,,,,,,,,,,,,,
31,182,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24807,SUPER-ESPE14,"A partir de las dificultades para trabajar en el aula con una niña, niño o adolescente con alguna de las discapacidades prioritarias que atiende el servicio de educación especial, identificar la acción para resolverla",Aplicación,74.780,0.213,-0.197,-0.128,0.213,-0.175,2017,Ancla,,,,,,,,,,,,,
32,534,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24807,SUPER-ESPE14,"A partir de las dificultades para trabajar en el aula con una niña, niño o adolescente con alguna de las discapacidades prioritarias que atiende el servicio de educación especial, identificar la acción para resolverla",Aplicación,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
33,179,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.1 Rasgos de las escuelas con buenos resultados,24808,SUPER-ESPE15,"A partir de un listado de rasgos educativos, identificar aquellos que favorecen la atención de los alumnos en riesgo de exclusión con necesidades educativas especiales, con o sin discapacidad",Conocimiento,52.160,0.159,-0.192,-0.119,0.159,-0.106,2017,Ancla,,,,,,,,,,,,,
34,394,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.1 Rasgos de las escuelas con buenos resultados,24808,SUPER-ESPE15,"A partir de un listado de rasgos educativos, identificar aquellos que favorecen la atención de los alumnos en riesgo de exclusión con necesidades educativas especiales, con o sin discapacidad",Conocimiento,51.120,0.165,0.165,-0.153,-0.101,-0.169,2017,Ancla,,,,,,,,,,,,,
35,1,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.1 Rasgos de las escuelas con buenos resultados,24809,SUPER-ESPE16,"A partir de la descripción de una problemática sobre el aprendizaje de los alumnos en riesgo de exclusión con necesidades educativas especiales con o sin dispacacidad, identificar las acciones que permiten al supervisor fortalecer los rasgos de las escuelas que obtienen buenos resultados educativos ",Aplicación,59.410,0.334,0.334,-0.334,-0.174,-0.100,2017,Ancla,,,,,,,,,,,,,
36,100,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.1 Rasgos de las escuelas con buenos resultados,24809,SUPER-ESPE16,"A partir de la descripción de una problemática sobre el aprendizaje de los alumnos en riesgo de exclusión con necesidades educativas especiales con o sin dispacacidad, identificar las acciones que permiten al supervisor fortalecer los rasgos de las escuelas que obtienen buenos resultados educativos ",Aplicación,75.820,0.264,-0.109,-0.259,-0.211,0.264,2017,Ancla,,,,,,,,,,,,,
37,687,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.2 Prácticas de enseñanza congruentes con el currículo,51857,SUPER-ESPE17.A,"A partir de un caso de alumnos con discapacidad o aptitudes sobresalientes, identificar la práctica de enseñanza que les permita recibir una educación de calidad",Comprensión,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
38,688,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.2 Prácticas de enseñanza congruentes con el currículo,51857,SUPER-ESPE17.A,"A partir de un caso de alumnos con discapacidad o aptitudes sobresalientes, identificar la práctica de enseñanza que les permita recibir una educación de calidad",Comprensión,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
39,690,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.2 Prácticas de enseñanza congruentes con el currículo,51857,SUPER-ESPE17.A,"A partir de un caso de alumnos con discapacidad o aptitudes sobresalientes, identificar la práctica de enseñanza que les permita recibir una educación de calidad",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo,,,,,,,,,,,,,
40,242,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.2 Prácticas de enseñanza congruentes con el currículo,24811,SUPER-ESPE18,"A partir de un problema de enseñanza relacionado con alumnos con discapacidad o aptitudes sobresalientes, identificar las acciones docentes que son congruentes con el sentido de los campos formativos, las competencias, los aprendizajes esperados, los propósitos educativos, enfoques o contenidos del nivel",Aplicación,69.600,0.180,-0.260,-0.121,-0.061,0.180,2017,Ancla,,,,,,,,,,,,,
41,345,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.2 Prácticas de enseñanza congruentes con el currículo,24811,SUPER-ESPE18,"A partir de un problema de enseñanza relacionado con alumnos con discapacidad o aptitudes sobresalientes, identificar las acciones docentes que son congruentes con el sentido de los campos formativos, las competencias, los aprendizajes esperados, los propósitos educativos, enfoques o contenidos del nivel",Aplicación,59.343,0.150,-0.148,-0.163,0.150,-0.123,2016,Específico,,,,,,,,,,,,,
42,307,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.3 Concepciones de los docentes sobre la enseñanza y el aprendizaje,24812,SUPER-ESPE19,"A partir de enunciados que reflejen la concepción de los docentes acerca de la enseñanza y el aprendizaje, identificar aquellos que favorecen la construcción de aprendizajes esperados en los alumnos en riesgo de exclusión",Conocimiento,62.870,0.319,-0.249,0.319,-0.050,-0.290,2017,Ancla,,,,,,,,,,,,,
43,691,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.3 Concepciones de los docentes sobre la enseñanza y el aprendizaje,24812,SUPER-ESPE19,"A partir de enunciados que reflejen la concepción de los docentes acerca de la enseñanza y el aprendizaje, identificar aquellos que favorecen la construcción de aprendizajes esperados en los alumnos en riesgo de exclusión",Conocimiento,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
44,429,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.3 Concepciones de los docentes sobre la enseñanza y el aprendizaje,24813,SUPER-ESPE20,"A partir de una situación de enseñanza en el aula con alumnos en riesgo de exclusión, identificar el tipo de asesoría académica que requiere el docente para favorecer el trabajo de los contenidos educativos",Comprensión,87.220,0.235,-0.205,-0.200,-0.127,0.235,2017,Ancla,,,,,,,,,,,,,
45,466,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.3 Concepciones de los docentes sobre la enseñanza y el aprendizaje,24813,SUPER-ESPE20,"A partir de una situación de enseñanza en el aula con alumnos en riesgo de exclusión, identificar el tipo de asesoría académica que requiere el docente para favorecer el trabajo de los contenidos educativos",Comprensión,69.780,0.207,-0.197,0.207,-0.195,-0.078,2017,Ancla,,,,,,,,,,,,,
46,40,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,"1.3.4 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",24814,SUPER-ESPE21,"A partir de un listado de prácticas de enseñanza relacionadas con la organización escolar, los espacios físicos, los materiales educativos o el trabajo en clase, identificar las que favorecen la atención de alumnos con NEE con o sin discapacidad",Comprensión,83.770,0.230,-0.093,0.230,-0.214,-0.223,2017,Ancla,,,,,,,,,,,,,
47,259,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,"1.3.4 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",24814,SUPER-ESPE21,"A partir de un listado de prácticas de enseñanza relacionadas con la organización escolar, los espacios físicos, los materiales educativos o el trabajo en clase, identificar las que favorecen la atención de alumnos con NEE con o sin discapacidad",Comprensión,77.200,0.266,-0.149,0.266,-0.110,-0.284,2017,Ancla,,,,,,,,,,,,,
48,536,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,"1.3.4 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",51867,SUPER-ESPE22.A,"A partir de un caso de necesidades educativas especiales por discapacidad relacionadas con la organización escolar, el espacio físico, los materiales educativos o el trabajo en clase, identificar las acciones del supervisor que favorecen la inclusión y la participación",Aplicación,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
49,538,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,"1.3.4 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",51867,SUPER-ESPE22.A,"A partir de un caso de necesidades educativas especiales por discapacidad relacionadas con la organización escolar, el espacio físico, los materiales educativos o el trabajo en clase, identificar las acciones del supervisor que favorecen la inclusión y la participación",Aplicación,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
50,693,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,"1.3.4 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",51867,SUPER-ESPE22.A,"A partir de un caso de necesidades educativas especiales por discapacidad relacionadas con la organización escolar, el espacio físico, los materiales educativos o el trabajo en clase, identificar las acciones del supervisor que favorecen la inclusión y la participación",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo,,,,,,,,,,,,,
51,198,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.1 Responsabilidades y acciones de la supervisión escolar,24816,SUPER-ESPE23,"A partir de una lista de acciones de la asesoría o acompañamiento en las escuelas con alumnos con discapacidad o aptitudes sobresalientes, identificar las que corresponden a las responsabilidades y acciones de la supervisión escolar",Conocimiento,49.050,0.180,0.180,-0.077,-0.200,-0.114,2017,Ancla,,,,,,,,,,,,,
52,515,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.1 Responsabilidades y acciones de la supervisión escolar,24816,SUPER-ESPE23,"A partir de una lista de acciones de la asesoría o acompañamiento en las escuelas con alumnos con discapacidad o aptitudes sobresalientes, identificar las que corresponden a las responsabilidades y acciones de la supervisión escolar",Conocimiento,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
53,571,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.1 Responsabilidades y acciones de la supervisión escolar,24816,SUPER-ESPE23,"A partir de una lista de acciones de la asesoría o acompañamiento en las escuelas con alumnos con discapacidad o aptitudes sobresalientes, identificar las que corresponden a las responsabilidades y acciones de la supervisión escolar",Conocimiento,,,,,,,Piloto Variable,Piloto Variable,,,,,,,,,,,,,
54,423,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.1 Responsabilidades y acciones de la supervisión escolar,24817,SUPER-ESPE24,"A partir de un problema escolar relacionado con prácticas educativas de enseñanza de alumnos con discapacidad o aptitudes sobresalientes, identificar las estrategias de asesoría y acompañamiento que atienden el caso",Aplicación,61.830,0.172,-0.059,0.172,-0.205,-0.124,2017,Ancla,,,,,,,,,,,,,
55,448,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.1 Responsabilidades y acciones de la supervisión escolar,24817,SUPER-ESPE24,"A partir de un problema escolar relacionado con prácticas educativas de enseñanza de alumnos con discapacidad o aptitudes sobresalientes, identificar las estrategias de asesoría y acompañamiento que atienden el caso",Aplicación,64.590,0.217,-0.144,-0.121,-0.280,0.217,2017,Ancla,,,,,,,,,,,,,
56,251,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.2 Finalidades de la asesoría técnica pedagógica,24818,SUPER-ESPE25,"A partir de una serie de enunciados sobre la gestión escolar, identificar los elementos que corresponden a la asesoría académica a la escuela y al personal de educación especial",Conocimiento,74.780,0.155,0.155,-0.187,-0.132,-0.111,2017,Ancla,,,,,,,,,,,,,
57,311,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.2 Finalidades de la asesoría técnica pedagógica,24818,SUPER-ESPE25,"A partir de una serie de enunciados sobre la gestión escolar, identificar los elementos que corresponden a la asesoría académica a la escuela y al personal de educación especial",Conocimiento,51.990,0.225,-0.218,-0.034,0.225,-0.212,2017,Ancla,,,,,,,,,,,,,
58,59,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.2 Finalidades de la asesoría técnica pedagógica,24819,SUPER-ESPE26,"A partir de una situación problemática de alumnos con necesidades educativas especiales, identificar las acciones de asesoría que resuelven el caso",Aplicación,65.110,0.204,-0.182,0.204,-0.168,-0.141,2017,Ancla,,,,,,,,,,,,,
59,279,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.2 Finalidades de la asesoría técnica pedagógica,24819,SUPER-ESPE26,"A partir de una situación problemática de alumnos con necesidades educativas especiales, identificar las acciones de asesoría que resuelven el caso",Aplicación,56.480,0.164,-0.144,-0.124,-0.126,0.164,2017,Ancla,,,,,,,,,,,,,
60,272,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.3 Asesoría a las escuelas de acuerdo con sus necesidades,24820,SUPER-ESPE27,"A partir de un listado de acciones de la ruta de mejora, identificar las que requieren asesoría y acompañamiento para favorecer la inclusión de los alumnos con discapacidad o aptitudes sobresalientes",Conocimiento,66.840,0.173,-0.183,-0.021,-0.161,0.173,2017,Ancla,,,,,,,,,,,,,
61,697,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.3 Asesoría a las escuelas de acuerdo con sus necesidades,24820,SUPER-ESPE27,"A partir de un listado de acciones de la ruta de mejora, identificar las que requieren asesoría y acompañamiento para favorecer la inclusión de los alumnos con discapacidad o aptitudes sobresalientes",Conocimiento,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
62,540,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.3 Asesoría a las escuelas de acuerdo con sus necesidades,24820,SUPER-ESPE27,"A partir de un listado de acciones de la ruta de mejora, identificar las que requieren asesoría y acompañamiento para favorecer la inclusión de los alumnos con discapacidad o aptitudes sobresalientes",Conocimiento,,,,,,,Piloto Variable,Piloto Variable,,,,,,,,,,,,,
63,73,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.3 Asesoría a las escuelas de acuerdo con sus necesidades,24821,SUPER-ESPE28,"A partir de una situación escolar expresada en la ruta de mejora, identificar la estrategia de asesoramiento a directivos, docentes o especialistas para su atención",Aplicación,59.410,0.300,-0.167,0.300,-0.277,-0.134,2017,Ancla,,,,,,,,,,,,,
64,483,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.3 Asesoría a las escuelas de acuerdo con sus necesidades,24821,SUPER-ESPE28,"A partir de una situación escolar expresada en la ruta de mejora, identificar la estrategia de asesoramiento a directivos, docentes o especialistas para su atención",Aplicación,68.050,0.173,-0.170,0.173,-0.261,-0.074,2017,Ancla,,,,,,,,,,,,,
65,269,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.3 Asesoría a las escuelas de acuerdo con sus necesidades,24822,SUPER-ESPE29,"A partir de un listado de condiciones de la población vulnerable, identificar el sentido de la asesoría",Comprensión,68.910,0.228,-0.153,0.228,-0.217,-0.193,2017,Ancla,,,,,,,,,,,,,
66,699,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.3 Asesoría a las escuelas de acuerdo con sus necesidades,24822,SUPER-ESPE29,"A partir de un listado de condiciones de la población vulnerable, identificar el sentido de la asesoría",Comprensión,,,,,,,Nuevo,Nuevo,,,,,,,,,,,,,
67,700,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.3 Asesoría a las escuelas de acuerdo con sus necesidades,24822,SUPER-ESPE29,"A partir de un listado de condiciones de la población vulnerable, identificar el sentido de la asesoría",Comprensión,,,,,,,Piloto Variable,Piloto Variable,,,,,,,,,,,,,
68,484,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.3 Asesoría a las escuelas de acuerdo con sus necesidades,24823,SUPER-ESPE30,"A partir de un ejemplo de resultados de evaluación de una escuela, identificar las acciones de asesoría que permitan incluir a alumnos sobresalientes o con discapacidad",Aplicación,78.070,0.313,-0.160,0.313,-0.330,-0.190,2017,Ancla,,,,,,,,,,,,,
69,485,1,RS,2. Gestión escolar,"2.1 Sistema de asesoría y acompañamiento a las escuelas, y desarrollo profesional",2.1.3 Asesoría a las escuelas de acuerdo con sus necesidades,24823,SUPER-ESPE30,"A partir de un ejemplo de resultados de evaluación de una escuela, identificar las acciones de asesoría que permitan incluir a alumnos sobresalientes o con discapacidad",Aplicación,74.610,0.178,-0.129,-0.136,0.178,-0.158,2017,Ancla,,,,,,,,,,,,,
