No.,Clave Reactivo,Sesión,Tipo de Reactivo,Área,Subárea,Tema,ID Especificación,Clave de la Especificación,Definición Operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación
49,86,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24673,SUB-SEC.14,"A partir de las características de los enfoques didácticos, identificar a la asignatura que corresponde.",Conocimiento,61.71,0.256,0.256,-0.113,-0.299,-0.086,2017,Ancla
50,516,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24673,SUB-SEC.14,"A partir de las características de los enfoques didácticos, identificar a la asignatura que corresponde.",Conocimiento,,,,,,,Piloto Variable,Piloto Variable
51,519,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24674,SUB-SEC.15,"A partir de actividades didácticas, identificar la que cumpla con el enfoque",Comprensión,,,,,,,Nuevo,Nuevo
52,154,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24674,SUB-SEC.15,"A partir de actividades didácticas, identificar la que cumpla con el enfoque",Comprensión,74.49,0.159,-0.148,-0.094,0.159,-0.165,2017,Ancla
53,261,1,RS,1. La escuela y el trabajo en el aula,1.3 El currículo y su relación con el aprendizaje,1.3.2 Organización del currículo,24674,SUB-SEC.15,"A partir de actividades didácticas, identificar la que cumpla con el enfoque",Comprensión,77.32,0.321,-0.288,-0.151,-0.197,0.321,2017,Ancla
54,30,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.1 Organización de la práctica docente,24675,SUB-SEC.16,"A partir de descripciones sobre las formas de organización escolar, diferenciar aquellas que favorezcan el aprendizaje de los alumnos",Comprensión,57.63,0.168,-0.189,0.168,-0.146,-0.067,2017,Ancla
55,399,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.1 Organización de la práctica docente,24675,SUB-SEC.16,"A partir de descripciones sobre las formas de organización escolar, diferenciar aquellas que favorezcan el aprendizaje de los alumnos",Comprensión,58.38,0.217,-0.087,-0.165,0.217,-0.237,2017,Ancla
56,478,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.1 Organización de la práctica docente,24676,SUB-SEC.17,"A partir de situaciones de la organización del trabajo en el aula, reconocer los elementos básicos que corresponden a la educación secundaria",Comprensión,52.56,0.305,-0.157,-0.211,0.305,-0.231,2017,Ancla
57,479,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.1 Organización de la práctica docente,24676,SUB-SEC.17,"A partir de situaciones de la organización del trabajo en el aula, reconocer los elementos básicos que corresponden a la educación secundaria",Comprensión,42.67,0.163,-0.143,-0.104,0.163,-0.138,2017,Ancla
58,346,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.1 Organización de la práctica docente,24677,SUB-SEC.18,"A partir de ejemplos de actividades en el aula, identificar el elemento (trabajo colaborativo, socialización, confrontación grupal, aprendizaje entre pares, etcétera) de la organización del trabajo en el aula que se favorece",Aplicación,57.930,0.154,-0.128,0.154,-0.2,-0.177,2017,Ancla
59,459,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.1 Organización de la práctica docente,24677,SUB-SEC.18,"A partir de ejemplos de actividades en el aula, identificar el elemento (trabajo colaborativo, socialización, confrontación grupal, aprendizaje entre pares, etcétera) de la organización del trabajo en el aula que se favorece",Aplicación,74.390,0.246,-0.229,-0.176,-0.136,0.246,2017,Ancla
60,560,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.1 Organización de la práctica docente,24677,SUB-SEC.18,"A partir de ejemplos de actividades en el aula, identificar el elemento (trabajo colaborativo, socialización, confrontación grupal, aprendizaje entre pares, etcétera) de la organización del trabajo en el aula que se favorece",Aplicación,,,,,,,Piloto Variable,Piloto Variable
61,617,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.2 Barreras para el aprendizaje y la participación,24678,SUB-SEC.19,"A partir de una situación problemática en el contexto escolar, identificar los mecanismos para detectar y atender las dificultades y barreras para el aprendizaje de los alumnos de secundaria",Aplicación,,,,,,,Nuevo,Nuevo
62,231,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.2 Barreras para el aprendizaje y la participación,24678,SUB-SEC.19,"A partir de una situación problemática en el contexto escolar, identificar los mecanismos para detectar y atender las dificultades y barreras para el aprendizaje de los alumnos de secundaria",Aplicación,63.150,0.279,0.279,-0.228,-0.238,-0.094,2017,Ancla
63,315,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.2 Barreras para el aprendizaje y la participación,24678,SUB-SEC.19,"A partir de una situación problemática en el contexto escolar, identificar los mecanismos para detectar y atender las dificultades y barreras para el aprendizaje de los alumnos de secundaria",Aplicación,83.790,0.238,-0.124,-0.173,-0.205,0.238,2017,Ancla
64,575,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.2 Barreras para el aprendizaje y la participación,24679,SUB-SEC.20,"A partir de producciones de los alumnos, diferenciar los mecanismos que detecten dificultades y barreras para el aprendizaje en el aula",Comprensión,,,,,,,Nuevo,Nuevo
65,250,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.2 Barreras para el aprendizaje y la participación,24679,SUB-SEC.20,"A partir de producciones de los alumnos, diferenciar los mecanismos que detecten dificultades y barreras para el aprendizaje en el aula",Comprensión,51.270,0.177,-0.215,0.177,-0.173,-0.009,2017,Ancla
66,420,1,RS,1. La escuela y el trabajo en el aula,1.4 Práctica docente,1.4.2 Barreras para el aprendizaje y la participación,24679,SUB-SEC.20,"A partir de producciones de los alumnos, diferenciar los mecanismos que detecten dificultades y barreras para el aprendizaje en el aula",Comprensión,60.620,0.215,-0.09,0.215,-0.24,-0.139,2017,Ancla
67,133,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.1 Organización del colectivo docente,24680,SUB-SEC.21,"A partir de acciones docentes, identificar las que favorecen la colaboración para la planeación, organización, dirección o evaluación",Comprensión,70.21,0.172,-0.072,0.172,-0.22,-0.114,2017,Ancla
68,485,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.1 Organización del colectivo docente,24680,SUB-SEC.21,"A partir de acciones docentes, identificar las que favorecen la colaboración para la planeación, organización, dirección o evaluación",Comprensión,88.76,0.188,0.188,-0.096,-0.222,-0.096,2017,Ancla
69,660,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.1 Organización del colectivo docente,24681,SUB-SEC.22,"A partir de una problemática relacionada con la falta de colaboración en la planeación, organización, dirección o evaluación, seleccionar la estrategia que contribuya a su atención",Aplicación,,,,,,,Nuevo,Nuevo
70,320,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.1 Organización del colectivo docente,24681,SUB-SEC.22,"A partir de una problemática relacionada con la falta de colaboración en la planeación, organización, dirección o evaluación, seleccionar la estrategia que contribuya a su atención",Aplicación,66.53,0.244,0.244,-0.106,-0.234,-0.168,2017,Ancla
71,693,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.1 Organización del colectivo docente,24681,SUB-SEC.22,"A partir de una problemática relacionada con la falta de colaboración en la planeación, organización, dirección o evaluación, seleccionar la estrategia que contribuya a su atención",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo
72,551,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.2 Acciones para la mejora de la calidad educativa,24682,SUB-SEC.23,"A partir de características de la gestión escolar, identificar las que se refieren a la autonomía de la gestión escolar.",Conocimiento,,,,,,,Nuevo,Nuevo
73,176,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.2 Acciones para la mejora de la calidad educativa,24682,SUB-SEC.23,"A partir de características de la gestión escolar, identificar las que se refieren a la autonomía de la gestión escolar.",Conocimiento,56.49,0.209,-0.19,0.209,-0.176,-0.11,2017,Ancla
74,440,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.2 Acciones para la mejora de la calidad educativa,24682,SUB-SEC.23,"A partir de características de la gestión escolar, identificar las que se refieren a la autonomía de la gestión escolar.",Conocimiento,32.42,0.224,-0.18,0.224,-0.215,-0.034,2017,Ancla
75,552,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.2 Acciones para la mejora de la calidad educativa,24682,SUB-SEC.23,"A partir de características de la gestión escolar, identificar las que se refieren a la autonomía de la gestión escolar.",Conocimiento,,,,,,,Piloto Fijo,Piloto Fijo
76,635,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.2 Acciones para la mejora de la calidad educativa,24683,SUB-SEC.24,"A partir de situaciones de aula, identificar las que apoyan la autonomía de gestión de la escuela",Comprensión,,,,,,,Nuevo,Nuevo
77,661,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.2 Acciones para la mejora de la calidad educativa,24683,SUB-SEC.24,"A partir de situaciones de aula, identificar las que apoyan la autonomía de gestión de la escuela",Comprensión,,,,,,,Nuevo,Nuevo
78,145,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.2 Acciones para la mejora de la calidad educativa,24683,SUB-SEC.24,"A partir de situaciones de aula, identificar las que apoyan la autonomía de gestión de la escuela",Comprensión,55.99,0.24,-0.264,-0.146,0.24,-0.074,2017,Ancla
79,559,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.2 Acciones para la mejora de la calidad educativa,24684,SUB-SEC.25,"A partir de una problemática escolar relacionada con la autonomía de gestión, identificar acciones que la atiendan",Aplicación,,,,,,,Nuevo,Nuevo
80,582,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.2 Acciones para la mejora de la calidad educativa,24684,SUB-SEC.25,"A partir de una problemática escolar relacionada con la autonomía de gestión, identificar acciones que la atiendan",Aplicación,,,,,,,Nuevo,Nuevo
81,586,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión escolar,2.1.2 Acciones para la mejora de la calidad educativa,24684,SUB-SEC.25,"A partir de una problemática escolar relacionada con la autonomía de gestión, identificar acciones que la atiendan",Aplicación,,,,,,,Nuevo,Nuevo
82,33,1,RS,2. Gestión escolar,2.2 Mejora escolar,2.2.1 Aprovechamiento (de resultados) de evaluaciones internas y externas,24685,SUB-SEC.26,"A partir de los resultados de evaluaciones internas o externas, seleccionar los elementos centrales que determinan la mejora escolar",Comprensión,45.500,0.218,-0.168,-0.151,0.218,-0.144,2017,Ancla
83,94,1,RS,2. Gestión escolar,2.2 Mejora escolar,2.2.1 Aprovechamiento (de resultados) de evaluaciones internas y externas,24685,SUB-SEC.26,"A partir de los resultados de evaluaciones internas o externas, seleccionar los elementos centrales que determinan la mejora escolar",Comprensión,88.260,0.220,0.22,-0.222,-0.123,-0.115,2017,Ancla
84,587,1,RS,2. Gestión escolar,2.2 Mejora escolar,2.2.1 Aprovechamiento (de resultados) de evaluaciones internas y externas,24686,SUB-SEC.27,"A partir de resultados de evaluaciones internas o externas, identificar las acciones que impulsen la mejora escolar",Aplicación,,,,,,,Nuevo,Nuevo
85,442,1,RS,2. Gestión escolar,2.2 Mejora escolar,2.2.1 Aprovechamiento (de resultados) de evaluaciones internas y externas,24686,SUB-SEC.27,"A partir de resultados de evaluaciones internas o externas, identificar las acciones que impulsen la mejora escolar",Aplicación,69.870,0.165,0.165,-0.166,-0.163,-0.124,2017,Ancla
86,555,1,RS,2. Gestión escolar,2.2 Mejora escolar,2.2.1 Aprovechamiento (de resultados) de evaluaciones internas y externas,24686,SUB-SEC.27,"A partir de resultados de evaluaciones internas o externas, identificar las acciones que impulsen la mejora escolar",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo
