#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación,Clave de especificación,Definición operacional,Nivel taxonómico,Condición,,
25,156,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24858,SUPER-ADULTOS.08,"A partir de los propósitos o enfoques o aprendizajes esperados, identificar las competencias a desarrollar en un campo de formación de educación básica adaptado a la educación de adultos.",Comprensión,2017,,
26,87,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24858,SUPER-ADULTOS.08,"A partir de los propósitos o enfoques o aprendizajes esperados, identificar las competencias a desarrollar en un campo de formación de educación básica adaptado a la educación de adultos.",Comprensión,2017,,
27,248,1,RS,1. Aspectos de la función,1.2 Componentes del currículo,"1.2.2 Propósitos, competencias y aprendizajes esperados por nivel educativo",24858,SUPER-ADULTOS.08,"A partir de los propósitos o enfoques o aprendizajes esperados, identificar las competencias a desarrollar en un campo de formación de educación básica adaptado a la educación de adultos.",Comprensión,Piloto,,
28,126,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.1 Rasgos de las escuelas con buenos resultados,24859,SUPER-ADULTOS.09,"A partir de un listado de rasgos educativos, identificar aquellos que permiten obtener buenos resultados en los centros educativos.",Conocimiento,2017,,
29,127,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.1 Rasgos de las escuelas con buenos resultados,24859,SUPER-ADULTOS.09,"A partir de un listado de rasgos educativos, identificar aquellos que permiten obtener buenos resultados en los centros educativos.",Conocimiento,2017,,
30,11,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.1 Rasgos de las escuelas con buenos resultados,24860,SUPER-ADULTOS.10,"A partir de la descripción de una problemática escolar, identificar las acciones que permiten al supervisor fortalecer los rasgos de los centros educativos que obtienen buenos resultados.",Comprensión,2017,,
31,157,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.1 Rasgos de las escuelas con buenos resultados,24860,SUPER-ADULTOS.10,"A partir de la descripción de una problemática escolar, identificar las acciones que permiten al supervisor fortalecer los rasgos de los centros educativos que obtienen buenos resultados.",Comprensión,2017,,
32,158,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.2 Prácticas de enseñanza congruentes con el currículo,24861,SUPER-ADULTOS.11,"A partir de actividades escolares, identificar los propósitos educativos, enfoques o contenidos que se favorecen en la educación básica para adultos.",Conocimiento,2017,,
33,3,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.2 Prácticas de enseñanza congruentes con el currículo,24861,SUPER-ADULTOS.11,"A partir de actividades escolares, identificar los propósitos educativos, enfoques o contenidos que se favorecen en la educación básica para adultos.",Conocimiento,2017,,
34,51,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.2 Prácticas de enseñanza congruentes con el currículo,24862,SUPER-ADULTOS.12,"A partir de un problema de enseñanza, identificar las acciones docentes que son congruentes con los propósitos educativos, enfoques y contenidos de la educación básica para adultos.",Aplicación,2017,,
35,60,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.2 Prácticas de enseñanza congruentes con el currículo,24862,SUPER-ADULTOS.12,"A partir de un problema de enseñanza, identificar las acciones docentes que son congruentes con los propósitos educativos, enfoques y contenidos de la educación básica para adultos.",Aplicación,2017,,
36,89,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.2 Prácticas de enseñanza congruentes con el currículo,24862,SUPER-ADULTOS.12,"A partir de un problema de enseñanza, identificar las acciones docentes que son congruentes con los propósitos educativos, enfoques y contenidos de la educación básica para adultos.",Aplicación,2017,,
37,250,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.3 Concepciones de los docentes sobre la enseñanza y el aprendizaje,51919,SUPER-ADULTOS.13.A,"A partir de enunciados que reflejen la concepción de los docentes acerca de la enseñanza y el aprendizaje, identificar aquel que favorece la práctica educativa",Conocimiento,Nuevo,,
38,251,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.3 Concepciones de los docentes sobre la enseñanza y el aprendizaje,51919,SUPER-ADULTOS.13.A,"A partir de enunciados que reflejen la concepción de los docentes acerca de la enseñanza y el aprendizaje, identificar aquel que favorece la práctica educativa",Conocimiento,Nuevo,,
39,253,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.3 Concepciones de los docentes sobre la enseñanza y el aprendizaje,51919,SUPER-ADULTOS.13.A,"A partir de enunciados que reflejen la concepción de los docentes acerca de la enseñanza y el aprendizaje, identificar aquel que favorece la práctica educativa",Conocimiento,Piloto,,
40,256,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.3 Concepciones de los docentes sobre la enseñanza y el aprendizaje,51925,SUPER-ADULTOS.14.A,"A partir de una situación de enseñanza en el aula que manifieste una concepción docente, identificar la asesoría que requiere el docente para favorecer la práctica educativa",Comprensión,Nuevo,,
41,257,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.3 Concepciones de los docentes sobre la enseñanza y el aprendizaje,51925,SUPER-ADULTOS.14.A,"A partir de una situación de enseñanza en el aula que manifieste una concepción docente, identificar la asesoría que requiere el docente para favorecer la práctica educativa",Comprensión,Nuevo,,
42,259,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,1.3.3 Concepciones de los docentes sobre la enseñanza y el aprendizaje,51925,SUPER-ADULTOS.14.A,"A partir de una situación de enseñanza en el aula que manifieste una concepción docente, identificar la asesoría que requiere el docente para favorecer la práctica educativa",Comprensión,Piloto,,
43,10,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,"1.3.4 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",24865,SUPER-ADULTOS.15,"A partir de un listado de prácticas de enseñanza, identificar las que favorecen el aprendizaje de las personas jóvenes y adultas.",Comprensión,2017,,
44,28,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,"1.3.4 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",24865,SUPER-ADULTOS.15,"A partir de un listado de prácticas de enseñanza, identificar las que favorecen el aprendizaje de las personas jóvenes y adultas.",Comprensión,2017,,
45,93,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,"1.3.4 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",24865,SUPER-ADULTOS.15,"A partir de un listado de prácticas de enseñanza, identificar las que favorecen el aprendizaje de las personas jóvenes y adultas.",Comprensión,2017,,
46,159,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,"1.3.4 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",24866,SUPER-ADULTOS.16,"A partir de un caso de rezago educativo en jóvenes y adultos, identificar las acciones que permiten al supervisor colaborar en su atención.",Aplicación,2017,,
47,29,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,"1.3.4 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",24866,SUPER-ADULTOS.16,"A partir de un caso de rezago educativo en jóvenes y adultos, identificar las acciones que permiten al supervisor colaborar en su atención.",Aplicación,2017,,
48,90,1,RS,1. Aspectos de la función,1.3 Prácticas educativas,"1.3.4 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",24866,SUPER-ADULTOS.16,"A partir de un caso de rezago educativo en jóvenes y adultos, identificar las acciones que permiten al supervisor colaborar en su atención.",Aplicación,2017,,
49,5,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Asesoría a las escuelas de acuerdo con sus necesidades,24867,SUPER-ADULTOS.17,"A partir de un listado de acciones de autonomía de gestión, identificar las que favorecen el funcionamiento adecuado del centro educativo.",Comprensión,2017,,
50,39,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Asesoría a las escuelas de acuerdo con sus necesidades,24867,SUPER-ADULTOS.17,"A partir de un listado de acciones de autonomía de gestión, identificar las que favorecen el funcionamiento adecuado del centro educativo.",Comprensión,2017,,
51,161,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Asesoría a las escuelas de acuerdo con sus necesidades,24868,SUPER-ADULTOS.18,"A partir de un ejemplo de resultados de evaluación de un centro educativo, jerarquiza las acciones que favorecen la autonomía de gestión de los centros educativos para adultos.",Aplicación,2017,,
52,44,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Asesoría a las escuelas de acuerdo con sus necesidades,24868,SUPER-ADULTOS.18,"A partir de un ejemplo de resultados de evaluación de un centro educativo, jerarquiza las acciones que favorecen la autonomía de gestión de los centros educativos para adultos.",Aplicación,2017,,
53,263,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Asesoría a las escuelas de acuerdo con sus necesidades,24868,SUPER-ADULTOS.18,"A partir de un ejemplo de resultados de evaluación de un centro educativo, jerarquiza las acciones que favorecen la autonomía de gestión de los centros educativos para adultos",Aplicación,Piloto,,
54,57,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.2 Toma de decisiones para la mejora escolar,24869,SUPER-ADULTOS.19,"A partir de un listado de decisiones orientadas a la mejora de la calidad educativa, identificar las que favorecen a la autonomía de gestión.",Conocimiento,2017,,
55,131,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.2 Toma de decisiones para la mejora escolar,24869,SUPER-ADULTOS.19,"A partir de un listado de decisiones orientadas a la mejora de la calidad educativa, identificar las que favorecen a la autonomía de gestión.",Conocimiento,2017,,
56,264,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.2 Toma de decisiones para la mejora escolar,51933,SUPER-ADULTOS.20.A,"A partir de un listado de acciones de gestión escolar, identificar aquella en la que docentes y directivos toman decisiones autónomas para la mejora de la calidad del servicio educativo",Comprensión,Nuevo,,
57,195,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.2 Toma de decisiones para la mejora escolar,51933,SUPER-ADULTOS.20.A,"A partir de un listado de acciones de gestión escolar, identificar aquella en la que docentes y directivos toman decisiones autónomas para la mejora de la calidad del servicio educativo",Comprensión,Nuevo,,
58,239,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.2 Toma de decisiones para la mejora escolar,51933,SUPER-ADULTOS.20.A,"A partir de un listado de acciones de gestión escolar, identificar aquella en la que docentes y directivos toman decisiones autónomas para la mejora de la calidad del servicio educativo",Comprensión,Nuevo,,
59,267,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.2 Toma de decisiones para la mejora escolar,51933,SUPER-ADULTOS.20.A,"A partir de un listado de acciones de gestión escolar, identificar aquella en la que docentes y directivos toman decisiones autónomas para la mejora de la calidad del servicio educativo",Comprensión,Piloto,,
60,185,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.3 Ruta de mejora escolar,51936,SUPER-ADULTOS.21.A,"A partir de acciones de la Ruta de Mejora Escolar, identificar la que corresponde a la autonomía de gestión",Conocimiento,Nuevo,,
61,197,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.3 Ruta de mejora escolar,51936,SUPER-ADULTOS.21.A,"A partir de acciones de la Ruta de Mejora Escolar, identificar la que corresponde a la autonomía de gestión",Conocimiento,Nuevo,,
62,273,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.3 Ruta de mejora escolar,51936,SUPER-ADULTOS.21.A,"A partir de acciones de la Ruta de Mejora Escolar, identificar la que corresponde a la autonomía de gestión",Conocimiento,Piloto,,
63,1,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.3 Ruta de mejora escolar,24872,SUPER-ADULTOS.22,"A partir de un diagnóstico escolar, identificar las acciones que favorecen la autonomía de gestión de los centros educativos desde la ruta de mejora Escolar.",Aplicación,2017,,
64,162,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.3 Ruta de mejora escolar,24872,SUPER-ADULTOS.22,"A partir de un diagnóstico escolar, identificar las acciones que favorecen la autonomía de gestión de los centros educativos desde la ruta de mejora Escolar.",Aplicación,2017,,
65,134,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.3 Ruta de mejora escolar,24872,SUPER-ADULTOS.22,"A partir de un diagnóstico escolar, identificar las acciones que favorecen la autonomía de gestión de los centros educativos desde la ruta de mejora Escolar.",Aplicación,2017,,
66,277,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.3 Ruta de mejora escolar,24872,SUPER-ADULTOS.22,"A partir de un diagnóstico escolar, identificar las acciones que favorecen la autonomía de gestión de los centros educativos desde la Ruta de Mejora Escolar",Aplicación,Piloto,,
67,278,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,51939,SUPER-ADULTOS.23.A,"A partir de metas comunes que establezca un colectivo escolar, identificar aquella que favorece la autonomía de gestión del centro educativo",Conocimiento,Nuevo,,
68,281,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,51939,SUPER-ADULTOS.23.A,"A partir de metas comunes que establezca un colectivo escolar, identificar aquella que favorece la autonomía de gestión del centro educativo",Conocimiento,Nuevo,,
69,283,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,51939,SUPER-ADULTOS.23.A,"A partir de metas comunes que establezca un colectivo escolar, identificar aquella que favorece la autonomía de gestión del centro educativo",Conocimiento,Piloto,,
70,14,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,24874,SUPER-ADULTOS.24,"A partir de una problemática del centro educativo, identificar las estrategias del colectivo docente planteadas en la ruta de mejora Escolar que favorecen su solución.",Aplicación,2017,,
71,164,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,24874,SUPER-ADULTOS.24,"A partir de una problemática del centro educativo, identificar las estrategias del colectivo docente planteadas en la ruta de mejora Escolar que favorecen su solución.",Aplicación,2017,,
72,111,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,24874,SUPER-ADULTOS.24,"A partir de una problemática del centro educativo, identificar las estrategias del colectivo docente planteadas en la ruta de mejora Escolar que favorecen su solución.",Aplicación,2017,,
73,232,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,24874,SUPER-ADULTOS.24,"A partir de una problemática del centro educativo, identificar las estrategias del colectivo docente planteadas en la Ruta de Mejora Escolar que favorecen su solución",Aplicación,Piloto,,
74,13,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,24875,SUPER-ADULTOS.25,"A partir de un listado de estrategias, identificar aquellas que favorecen el seguimiento al plan de trabajo de un centro educativo.",Comprensión,2017,,
75,165,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,24875,SUPER-ADULTOS.25,"A partir de un listado de estrategias, identificar aquellas que favorecen el seguimiento al plan de trabajo de un centro educativo.",Comprensión,2017,,
76,285,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,24875,SUPER-ADULTOS.25,"A partir de un listado de estrategias, identificar aquellas que favorecen el seguimiento al plan de trabajo de un centro educativo",Comprensión,Piloto,,
77,16,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,24876,SUPER-ADULTOS.26,"A partir de los resultados de la aplicación del plan de trabajo de un centro educativo, identificar las estrategias que favorecen la evaluación de los resultados.",Aplicación,2017,,
78,48,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,24876,SUPER-ADULTOS.26,"A partir de los resultados de la aplicación del plan de trabajo de un centro educativo, identificar las estrategias que favorecen la evaluación de los resultados.",Aplicación,2017,,
79,166,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,24876,SUPER-ADULTOS.26,"A partir de los resultados de la aplicación del plan de trabajo de un centro educativo, identificar las estrategias que favorecen la evaluación de los resultados.",Aplicación,2017,,
80,196,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.4 Metas educativas comunes,24876,SUPER-ADULTOS.26,"A partir de los resultados de la aplicación del plan de trabajo de un centro educativo, identificar las estrategias que favorecen la evaluación de los resultados",Aplicación,Piloto,,
81,112,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.5 Acompañamiento a las acciones de gestión escolar,24877,SUPER-ADULTOS.27,"A partir de un listado de acciones de gestión escolar, identificar las que favorecen el acompañamiento a los directivos.",Comprensión,2017,,
82,167,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.5 Acompañamiento a las acciones de gestión escolar,24877,SUPER-ADULTOS.27,"A partir de un listado de acciones de gestión escolar, identificar las que favorecen el acompañamiento a los directivos.",Comprensión,2017,,
83,194,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.5 Acompañamiento a las acciones de gestión escolar,24877,SUPER-ADULTOS.27,"A partir de un listado de acciones de gestión escolar, identificar las que favorecen el acompañamiento a los directivos",Comprensión,Piloto,,
84,18,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.5 Acompañamiento a las acciones de gestión escolar,24878,SUPER-ADULTOS.28,"A partir de una situación problemática en un centro educativo, reconocer las estrategias de acompañamiento que favorezcan su atención.",Aplicación,2017,,
85,54,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.5 Acompañamiento a las acciones de gestión escolar,24878,SUPER-ADULTOS.28,"A partir de una situación problemática en un centro educativo, reconocer las estrategias de acompañamiento que favorezcan su atención.",Aplicación,2017,,
86,62,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.5 Acompañamiento a las acciones de gestión escolar,24878,SUPER-ADULTOS.28,"A partir de una situación problemática en un centro educativo, reconocer las estrategias de acompañamiento que favorezcan su atención.",Aplicación,2017,,
87,287,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.5 Acompañamiento a las acciones de gestión escolar,24878,SUPER-ADULTOS.28,"A partir de una situación problemática en un centro educativo, reconocer las estrategias de acompañamiento que favorezcan su atención",Aplicación,Piloto,,
88,113,1,RS,2. Gestión escolar,2.2 Planeación del trabajo de la supervisión,2.2.1 Fuentes de información,24879,SUPER-ADULTOS.29,"A partir de un listado de enunciados, identificar los que corresponden a las fuentes de información para elaborar un diagnóstico (entrevista, observación, cuaderno, plantilla).",Conocimiento,2017,,
89,138,1,RS,2. Gestión escolar,2.2 Planeación del trabajo de la supervisión,2.2.1 Fuentes de información,24879,SUPER-ADULTOS.29,"A partir de un listado de enunciados, identificar los que corresponden a las fuentes de información para elaborar un diagnóstico (entrevista, observación, cuaderno, plantilla).",Conocimiento,2017,,
90,288,1,RS,2. Gestión escolar,2.2 Planeación del trabajo de la supervisión,2.2.1 Fuentes de información,24879,SUPER-ADULTOS.29,"A partir de un listado de enunciados, identificar los que corresponden a las fuentes de información para elaborar un diagnóstico (entrevista, observación, cuaderno, plantilla).",Conocimiento,Piloto,,
91,20,1,RS,2. Gestión escolar,2.2 Planeación del trabajo de la supervisión,2.2.1 Fuentes de información,24880,SUPER-ADULTOS.30,"A partir de la descripción de las condiciones de los centros educativos a su cargo, identificar las fuentes de información que favorecen la construcción de un diagnóstico.",Comprensión,2017,,
92,91,1,RS,2. Gestión escolar,2.2 Planeación del trabajo de la supervisión,2.2.1 Fuentes de información,24880,SUPER-ADULTOS.30,"A partir de la descripción de las condiciones de los centros educativos a su cargo, identificar las fuentes de información que favorecen la construcción de un diagnóstico.",Comprensión,2017,,
93,207,1,RS,2. Gestión escolar,2.2 Planeación del trabajo de la supervisión,2.2.1 Fuentes de información,24880,SUPER-ADULTOS.30,"A partir de la descripción de las condiciones de los centros educativos a su cargo, identificar las fuentes de información que favorecen la construcción de un diagnóstico",Comprensión,Piloto,,
94,169,1,RS,2. Gestión escolar,2.2 Planeación del trabajo de la supervisión,2.2.2 Uso de los resultados educativos de las escuelas de la zona,24881,SUPER-ADULTOS.31,"A partir de un ejemplo de reporte de resultados educativos de los centros educativos a su cargo, identificar las estrategias que contribuyen a la calidad educativa.",Comprensión,2017,,
95,56,1,RS,2. Gestión escolar,2.2 Planeación del trabajo de la supervisión,2.2.2 Uso de los resultados educativos de las escuelas de la zona,24881,SUPER-ADULTOS.31,"A partir de un ejemplo de reporte de resultados educativos de los centros educativos a su cargo, identificar las estrategias que contribuyen a la calidad educativa.",Comprensión,2017,,
