#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Condición
21,156,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el Desarrollo profesional,1.2.2 Formas de participación en comunidades de aprendizaje,51820,COMUN-SUPER.08,"A partir de formas de participación en redes y comunidades de aprendizaje, identificar la que fortalece su desarrollo profesional",Comprensión,,,,,,,Piloto,Piloto
22,3,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el Desarrollo profesional,1.2.3 El Consejo Técnico como espacio de aprendizaje,51658,COMUN-SUPER.09.A,"A partir de acciones que se realizan en los consejos técnicos escolares, identificar la que favorece el aprendizaje o el desarrollo profesional",Comprensión,,,,,,,Piloto Focal,Piloto Focal
23,90,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el Desarrollo profesional,1.2.3 El Consejo Técnico como espacio de aprendizaje,51658,COMUN-SUPER.09.A,"A partir de acciones que se realizan en los consejos técnicos escolares, identificar la que favorece el aprendizaje o el desarrollo profesional",Comprensión,,,,,,,Piloto,Piloto
24,24,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el Desarrollo profesional,1.2.3 El Consejo Técnico como espacio de aprendizaje,51661,COMUN-SUPER.10.A,"A partir de los Lineamientos para la organización y funcionamiento de los consejos técnicos escolares, identificar el que favorece el desarrollo profesional de la función",Conocimiento,,,,,,,Piloto Focal,Piloto Focal
25,85,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el Desarrollo profesional,1.2.3 El Consejo Técnico como espacio de aprendizaje,51661,COMUN-SUPER.10.A,"A partir de los Lineamientos para la organización y funcionamiento de los consejos técnicos escolares, identificar el que favorece el desarrollo profesional de la función",Conocimiento,,,,,,,Piloto Focal,Piloto Focal
26,60,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el Desarrollo profesional,1.2.4 El sistema de asesoría para fortalecer el aprendizaje,51663,COMUN-SUPER.11.A,"A partir de atribuciones o funciones de asesoría, identificar la que corresponde a las establecidas en los Lineamientos generales para la prestación del Servicio de Asistencia Técnica a la Escuela en Educación Básica",Conocimiento,,,,,,,Piloto Focal,Piloto Focal
27,95,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.2 Medios para el Desarrollo profesional,1.2.4 El sistema de asesoría para fortalecer el aprendizaje,51663,COMUN-SUPER.11.A,"A partir de atribuciones o funciones de asesoría, identificar la que corresponde a las establecidas en los Lineamientos generales para la prestación del Servicio de Asistencia Técnica a la Escuela en Educación Básica",Conocimiento,,,,,,,Piloto Focal,Piloto Focal
28,211,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.3 Contribución de las TIC,1.3.1 Las TIC en el desarrollo profesional,51825,COMUN-SUPER.12,"A partir de una situación escolar en las que se utilizan las TIC, identificar la que fomenta el desarrollo profesional del asesor.",Comprensión,81.94,0.207,-0.163,0.207,-0.018,-0.237,2017,Ancla
29,240,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.3 Contribución de las TIC,1.3.1 Las TIC en el desarrollo profesional,51825,COMUN-SUPER.12,"A partir de una situación escolar en las que se utilizan las TIC, identificar la que fomenta el desarrollo profesional del asesor.",Comprensión,70.9,0.254,0.254,-0.119,-0.258,-0.153,2017,Ancla
30,212,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.3 Contribución de las TIC,1.3.1 Las TIC en el desarrollo profesional,51829,COMUN-SUPER.13,"A partir de una problemática de aprendizaje, identificar la estrategia que la solucione con el uso de las TIC.",Aplicación,77.63,0.193,-0.131,-0.125,0.193,-0.199,2017,Ancla
31,216,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.3 Contribución de las TIC,1.3.1 Las TIC en el desarrollo profesional,51829,COMUN-SUPER.13,"A partir de una problemática de aprendizaje, identificar la estrategia que la solucione con el uso de las TIC.",Aplicación,79.12,0.269,-0.23,-0.166,-0.187,0.269,2017,Ancla
32,340,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.3 Contribución de las TIC,1.3.1 Las TIC en el desarrollo profesional,51829,COMUN-SUPER.13,"A partir de una problemática de aprendizaje, identificar la estrategia que la solucione con el uso de las TIC.",Aplicación,67.18,0.277,-0.194,-0.197,0.277,-0.212,2017,Ancla
33,4,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.3 Contribución de las TIC,1.3.2 Las TIC en la comunicación con la comunidad educativa,51665,COMUN-SUPER.14.A,"A partir de situaciones escolares en las que se utilizan las TIC, identificar la que fortalece la organización de la función del supervisor",Comprensión,,,,,,,Piloto Focal,Piloto Focal
34,110,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.3 Contribución de las TIC,1.3.2 Las TIC en la comunicación con la comunidad educativa,51665,COMUN-SUPER.14.A,"A partir de situaciones escolares en las que se utilizan las TIC, identificar la que fortalece la organización de la función del supervisor",Comprensión,,,,,,,Piloto Focal,Piloto Focal
35,325,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.3 Contribución de las TIC,1.3.2 Las TIC en la comunicación con la comunidad educativa,51834,COMUN-SUPER.15,"A partir de una situación de la función supervisora, identificar el uso de la herramienta tecnológica que le permite optimizar su trabajo.",Aplicación,82.18,0.227,-0.135,0.227,-0.197,-0.165,2017,Ancla
36,328,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.3 Contribución de las TIC,1.3.2 Las TIC en la comunicación con la comunidad educativa,51834,COMUN-SUPER.15,"A partir de una situación de la función supervisora, identificar el uso de la herramienta tecnológica que le permite optimizar su trabajo.",Aplicación,23.12,0.263,-0.078,0.263,-0.249,-0.081,2017,Ancla
37,62,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.3 Contribución de las TIC,1.3.2 Las TIC en la comunicación con la comunidad educativa,51834,COMUN-SUPER.15,"A partir de una situación de la función supervisora, identificar el uso de la herramienta tecnológica que le permite optimizar su trabajo.",Aplicación,,,,,,,Piloto Focal,Piloto Focal
38,348,1,RS,1. Mejora profesional para asegurar la calidad educativa,1.3 Contribución de las TIC,1.3.2 Las TIC en la comunicación con la comunidad educativa,51834,COMUN-SUPER.15,"A partir de una situación de la función supervisora, identificar el uso de la herramienta tecnológica que le permite optimizar su trabajo.",Aplicación,,,,,,,Piloto,Piloto
39,224,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.1 Aplicación de los principios filosóficos,51842,COMUN-SUPER.16,"A partir de conceptos basados en el artículo tercero y en la Ley General de Educación, identificar el que se refiere al carácter laico, gratuito, obligatorio o a la calidad de la educación en la escuela.",Conocimiento,80.85,0.388,0.388,-0.054,-0.429,-0.126,2017,Ancla
40,303,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.1 Aplicación de los principios filosóficos,51842,COMUN-SUPER.16,"A partir de conceptos basados en el artículo tercero y en la Ley General de Educación, identificar el que se refiere al carácter laico, gratuito, obligatorio o a la calidad de la educación en la escuela.",Conocimiento,68.5,0.249,-0.192,-0.145,0.249,-0.28,2017,Ancla
41,78,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.1 Aplicación de los principios filosóficos,51842,COMUN-SUPER.16,"A partir de conceptos basados en el artículo tercero y en la Ley General de Educación, identificar el que se refiere al carácter laico, gratuito, obligatorio o a la calidad de la educación en la escuela.",Conocimiento,,,,,,,Piloto Focal,Piloto Focal
42,91,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.1 Aplicación de los principios filosóficos,51842,COMUN-SUPER.16,"A partir de conceptos basados en el artículo tercero y en la Ley General de Educación, identificar el que se refiere al carácter laico, gratuito, obligatorio o a la calidad de la educación en la escuela.",Conocimiento,,,,,,,Piloto,Piloto
43,101,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.1 Aplicación de los principios filosóficos,51666,COMUN-SUPER.17.A,"A partir de situaciones de aula o escuela relacionadas con los principios de laicidad, gratuidad, obligatoriedad o calidad de la educación, identificar la que es congruente con alguno de estos principios",Comprensión,,,,,,,Piloto Focal,Piloto Focal
44,173,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.1 Aplicación de los principios filosóficos,51666,COMUN-SUPER.17.A,"A partir de situaciones de aula o escuela relacionadas con los principios de laicidad, gratuidad, obligatoriedad o calidad de la educación, identificar la que es congruente con alguno de estos principios",Comprensión,,,,,,,Piloto Focal,Piloto Focal
45,228,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.2 Implicaciones de la disposiciones legales,51847,COMUN-SUPER.18,"A partir de situaciones escolares, identificar la función supervisora que asegura el derecho de los alumnos a recibir una educación de calidad.",Comprensión,84.75,0.223,-0.146,-0.207,-0.139,0.223,2017,Ancla
46,278,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.2 Implicaciones de la disposiciones legales,51847,COMUN-SUPER.18,"A partir de situaciones escolares, identificar la función supervisora que asegura el derecho de los alumnos a recibir una educación de calidad.",Comprensión,87.55,0.294,0.294,-0.249,-0.224,-0.112,2017,Ancla
47,204,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.2 Implicaciones de la disposiciones legales,51847,COMUN-SUPER.18,"A partir de situaciones escolares, identificar la función supervisora que asegura el derecho de los alumnos a recibir una educación de calidad.",Comprensión,,,,,,,Piloto Focal,Piloto Focal
48,352,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.2 Implicaciones de la disposiciones legales,51847,COMUN-SUPER.18,"A partir de situaciones escolares, identificar la función supervisora que asegura el derecho de los alumnos a recibir una educación de calidad.",Comprensión,,,,,,,Piloto,Piloto
49,145,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.2 Implicaciones de la disposiciones legales,51668,COMUN-SUPER.19.A,"A partir de enunciados en los que se alude a responsabilidades de la supervisión, identificar el que garantiza el derecho de los alumnos a recibir una educación de calidad",Conocimiento,,,,,,,Piloto Focal,Piloto Focal
50,165,1,RS,2. Principios para asegurar una educación de calidad,"2.1 Fundamentos filosóficos, legales y éticos",2.1.2 Implicaciones de la disposiciones legales,51668,COMUN-SUPER.19.A,"A partir de enunciados en los que se alude a responsabilidades de la supervisión, identificar el que garantiza el derecho de los alumnos a recibir una educación de calidad",Conocimiento,,,,,,,Piloto Focal,Piloto Focal
51,239,1,RS,2. Principios para asegurar una educación de calidad,2.2 Ambientes favorables para el aprendizaje,2.2.1 Atención a la diversidad,51855,COMUN-SUPER.21,"A partir de actividades que se realizan en la escuela, identificar la que alude a la inclusión o eliminación de estereotipos.",Comprensión,73.54,0.173,-0.201,0.173,-0.097,-0.186,2017,Ancla
52,326,1,RS,2. Principios para asegurar una educación de calidad,2.2 Ambientes favorables para el aprendizaje,2.2.1 Atención a la diversidad,51855,COMUN-SUPER.21,"A partir de actividades que se realizan en la escuela, identificar la que alude a la inclusión o eliminación de estereotipos.",Comprensión,71.91,0.18,-0.176,-0.159,0.18,-0.185,2017,Ancla
53,294,1,RS,2. Principios para asegurar una educación de calidad,2.2 Ambientes favorables para el aprendizaje,2.2.1 Atención a la diversidad,51860,COMUN-SUPER.22,"A partir de conceptos, identificar el que se refiere a la inclusión, equidad educativa o igualdad de género.",Conocimiento,48.652,0.159,0.159,-0.167,-0.167,-0.049,2016,Específico
54,214,1,RS,2. Principios para asegurar una educación de calidad,2.2 Ambientes favorables para el aprendizaje,2.2.1 Atención a la diversidad,51860,COMUN-SUPER.22,"A partir de conceptos, identificar el que se refiere a la inclusión, equidad educativa o igualdad de género.",Conocimiento,67.6,0.276,-0.255,-0.185,-0.148,0.276,2017,Ancla
55,331,1,RS,2. Principios para asegurar una educación de calidad,2.2 Ambientes favorables para el aprendizaje,2.2.1 Atención a la diversidad,51860,COMUN-SUPER.22,"A partir de conceptos, identificar el que se refiere a la inclusión, equidad educativa o igualdad de género.",Conocimiento,61.18,0.212,-0.17,-0.063,0.212,-0.238,2017,Ancla
56,219,1,RS,2. Principios para asegurar una educación de calidad,2.2 Ambientes favorables para el aprendizaje,2.2.2 Gestión de ambientes favorables,51876,COMUN-SUPER.23,"A partir de acciones de la función supervisora, identificar la que está orientada a la prevención de riesgos (integridad física, seguridad, desarrollo de los alumnos) en los planteles escolares.",Comprensión,63.38,0.186,-0.173,0.186,-0.148,-0.163,2017,Ancla
57,7,1,RS,2. Principios para asegurar una educación de calidad,2.2 Ambientes favorables para el aprendizaje,2.2.2 Gestión de ambientes favorables,51876,COMUN-SUPER.23,"A partir de acciones de la función supervisora, identificar la que está orientada a la prevención de riesgos (integridad física, seguridad, desarrollo de los alumnos) en los planteles escolares.",Comprensión,,,,,,,Piloto Focal,Piloto Focal
58,383,1,RS,2. Principios para asegurar una educación de calidad,2.2 Ambientes favorables para el aprendizaje,2.2.2 Gestión de ambientes favorables,51876,COMUN-SUPER.23,"A partir de acciones de la función supervisora, identificar la que está orientada a la prevención de riesgos (integridad física, seguridad, desarrollo de los alumnos) en los planteles escolares.",Comprensión,,,,,,,Piloto Focal,Piloto Focal
59,231,1,RS,2. Principios para asegurar una educación de calidad,2.2 Ambientes favorables para el aprendizaje,2.2.2 Gestión de ambientes favorables,51887,COMUN-SUPER.24,"A partir de tareas de los diferentes actores, identificar las que permiten la prevención, manejo o crisis de seguridad en las escuelas.",Conocimiento,88.91,0.226,-0.143,-0.225,0.226,-0.122,2017,Ancla
60,341,1,RS,2. Principios para asegurar una educación de calidad,2.2 Ambientes favorables para el aprendizaje,2.2.2 Gestión de ambientes favorables,51887,COMUN-SUPER.24,"A partir de tareas de los diferentes actores, identificar las que permiten la prevención, manejo o crisis de seguridad en las escuelas.",Conocimiento,60.96,0.181,-0.156,-0.154,0.181,-0.159,2017,Ancla
61,177,1,RS,2. Principios para asegurar una educación de calidad,2.2 Ambientes favorables para el aprendizaje,2.2.2 Gestión de ambientes favorables,51887,COMUN-SUPER.24,"A partir de tareas de los diferentes actores, identificar las que permiten la prevención, manejo o crisis de seguridad en las escuelas.",Conocimiento,,,,,,,Piloto,Piloto
62,223,1,RS,2. Principios para asegurar una educación de calidad,2.3 Aspectos para ejercer la función,2.3.1 Capacidades para el ejercicio de la función,51892,COMUN-SUPER.25,"A partir de características de la supervisión, identificar las que hacen alusión al liderazgo.",Conocimiento,78.2,0.256,-0.126,0.256,-0.175,-0.244,2017,Ancla
63,259,1,RS,2. Principios para asegurar una educación de calidad,2.3 Aspectos para ejercer la función,2.3.1 Capacidades para el ejercicio de la función,51892,COMUN-SUPER.25,"A partir de características de la supervisión, identificar las que hacen alusión al liderazgo.",Conocimiento,23,0.17,-0.162,0.17,-0.092,-0.08,2017,Ancla
64,139,1,RS,2. Principios para asegurar una educación de calidad,2.3 Aspectos para ejercer la función,2.3.1 Capacidades para el ejercicio de la función,51892,COMUN-SUPER.25,"A partir de características de la supervisión, identificar las que hacen alusión al liderazgo.",Conocimiento,,,,,,,Piloto Focal,Piloto Focal
65,142,1,RS,2. Principios para asegurar una educación de calidad,2.3 Aspectos para ejercer la función,2.3.1 Capacidades para el ejercicio de la función,51892,COMUN-SUPER.25,"A partir de características de la supervisión, identificar las que hacen alusión al liderazgo.",Conocimiento,,,,,,,Piloto,Piloto
66,17,1,RS,2. Principios para asegurar una educación de calidad,2.3 Aspectos para ejercer la función,2.3.1 Capacidades para el ejercicio de la función,51670,COMUN-SUPER.26.A,"A partir de situaciones que involucran la aplicación de habilidades para el ejercicio de la función supervisora, identificar la que implica alguno de los siguientes aspectos: resolución de un conflicto, negociación, comunicación o liderazgo",Comprensión,,,,,,,Piloto Focal,Piloto Focal
67,105,1,RS,2. Principios para asegurar una educación de calidad,2.3 Aspectos para ejercer la función,2.3.1 Capacidades para el ejercicio de la función,51670,COMUN-SUPER.26.A,"A partir de situaciones que involucran la aplicación de habilidades para el ejercicio de la función supervisora, identificar la que implica alguno de los siguientes aspectos: resolución de un conflicto, negociación, comunicación o liderazgo",Comprensión,,,,,,,Piloto Focal,Piloto Focal
68,115,1,RS,2. Principios para asegurar una educación de calidad,2.3 Aspectos para ejercer la función,2.3.1 Capacidades para el ejercicio de la función,51670,COMUN-SUPER.26.A,"A partir de situaciones que involucran la aplicación de habilidades para el ejercicio de la función supervisora, identificar la que implica alguno de los siguientes aspectos: resolución de un conflicto, negociación, comunicación o liderazgo",Comprensión,,,,,,,Piloto Focal,Piloto Focal
69,217,1,RS,2. Principios para asegurar una educación de calidad,2.3 Aspectos para ejercer la función,2.3.2 Responsabilidades de la supervisión en los resultados educativos,51895,COMUN-SUPER.27,"A partir de una problemática detectada en las escuelas sobre el logro de los aprendizajes, identificar la intervención de la supervisión con la que se asume la corresponsabilidad por los resultados educativos.",Aplicación,81.65,0.335,-0.303,0.335,-0.174,-0.174,2017,Ancla
70,338,1,RS,2. Principios para asegurar una educación de calidad,2.3 Aspectos para ejercer la función,2.3.2 Responsabilidades de la supervisión en los resultados educativos,51895,COMUN-SUPER.27,"A partir de una problemática detectada en las escuelas sobre el logro de los aprendizajes, identificar la intervención de la supervisión con la que se asume la corresponsabilidad por los resultados educativos.",Aplicación,75.69,0.291,-0.365,-0.07,0.291,-0.083,2017,Ancla
71,113,1,RS,2. Principios para asegurar una educación de calidad,2.3 Aspectos para ejercer la función,2.3.2 Responsabilidades de la supervisión en los resultados educativos,51895,COMUN-SUPER.27,"A partir de una problemática detectada en las escuelas sobre el logro de los aprendizajes, identificar la intervención de la supervisión con la que se asume la corresponsabilidad por los resultados educativos.",Aplicación,,,,,,,Piloto Focal,Piloto Focal
72,76,1,RS,2. Principios para asegurar una educación de calidad,2.3 Aspectos para ejercer la función,2.3.2 Responsabilidades de la supervisión en los resultados educativos,51895,COMUN-SUPER.27,"A partir de una problemática detectada en las escuelas sobre el logro de los aprendizajes, identificar la intervención de la supervisión con la que se asume la corresponsabilidad por los resultados educativos.",Aplicación,,,,,,,Piloto Focal,Piloto Focal
73,241,1,RS,2. Principios para asegurar una educación de calidad,2.4 Derecho a una educación de calidad,2.4.1 Implicaciones del derecho a la educación,51896,COMUN-SUPER.28,"A partir de tareas propias de la función supervisora, identificar la que incide en la conclusión oportuna de los estudios de los alumnos.",Comprensión,75.22,0.319,-0.212,-0.171,0.319,-0.26,2017,Ancla
74,129,1,RS,2. Principios para asegurar una educación de calidad,2.4 Derecho a una educación de calidad,2.4.1 Implicaciones del derecho a la educación,51896,COMUN-SUPER.28,"A partir de tareas propias de la función supervisora, identificar la que incide en la conclusión oportuna de los estudios de los alumnos.",Comprensión,,,,,,,Piloto Focal,Piloto Focal
75,181,1,RS,2. Principios para asegurar una educación de calidad,2.4 Derecho a una educación de calidad,2.4.1 Implicaciones del derecho a la educación,51896,COMUN-SUPER.28,"A partir de tareas propias de la función supervisora, identificar la que incide en la conclusión oportuna de los estudios de los alumnos.",Comprensión,,,,,,,Piloto,Piloto
76,220,1,RS,2. Principios para asegurar una educación de calidad,2.4 Derecho a una educación de calidad,2.4.1 Implicaciones del derecho a la educación,51897,COMUN-SUPER.29,"A partir de una situación problemática en torno a la permanencia o conclusión, identificar la decisión del supervisor que asegura la calidad del servicio educativo.",Aplicación,72.89,0.206,-0.074,0.206,-0.14,-0.241,2017,Ancla
77,34,1,RS,2. Principios para asegurar una educación de calidad,2.4 Derecho a una educación de calidad,2.4.1 Implicaciones del derecho a la educación,51897,COMUN-SUPER.29,"A partir de una situación problemática en torno a la permanencia o conclusión, identificar la decisión del supervisor que asegura la calidad del servicio educativo.",Aplicación,,,,,,,Piloto Focal,Piloto Focal
78,127,1,RS,2. Principios para asegurar una educación de calidad,2.4 Derecho a una educación de calidad,2.4.1 Implicaciones del derecho a la educación,51897,COMUN-SUPER.29,"A partir de una situación problemática en torno a la permanencia o conclusión, identificar la decisión del supervisor que asegura la calidad del servicio educativo.",Aplicación,,,,,,,Piloto Focal,Piloto Focal
