#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificaicón
11,454,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.2 Funcionamiento regular de las escuelas,24617,SECTOR-TELE.04,"A partir de la descripción de un caso, seleccionar las acciones que debe realizar el jefe de sector para garantizar el cumplimiento del calendario escolar.",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo
12,415,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24618,SECTOR-TELE.05,"A partir de un listado de acciones propias del jefe de sector, identificar las que aseguren que los alumnos de las escuelas cuenten con maestros, libros o materiales de apoyo gratuitos.",Comprensión,76.67,0.291,-0.133,-0.171,-0.277,0.291,2017,Ancla
13,4,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24618,SECTOR-TELE.05,"A partir de un listado de acciones propias del jefe de sector, identificar las que aseguren que los alumnos de las escuelas cuenten con maestros, libros o materiales de apoyo gratuitos.",Comprensión,89.6,0.15,0.15,-0.002,-0.135,-0.144,2015,Específico
14,451,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.3 Recursos humanos y materiales de las escuelas,24618,SECTOR-TELE.05,"A partir de un listado de acciones propias del jefe de sector, identificar las que aseguren que los alumnos de las escuelas cuenten con maestros, libros o materiales de apoyo gratuitos.",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo
15,418,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24619,SECTOR-TELE.06,"A partir de una situación problema relacionada con los resultados educativos, identificar la acción que permite evaluarlos periódicamente en las escuelas de su sector.",Aplicación,62.22,0.316,0.316,-0.292,-0.232,-2,2017,Ancla
16,163,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24619,SECTOR-TELE.06,"A partir de una situación problema relacionada con los resultados educativos, identificar la acción que permite evaluarlos periódicamente en las escuelas de su sector.",Aplicación,71.5,0.171,-0.068,-0.145,0.171,-0.202,2015,Específico
17,485,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24619,SECTOR-TELE.06,"A partir de una situación problema relacionada con los resultados educativos, identificar la acción que permite evaluarlos periódicamente en las escuelas de su sector.",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo
18,95,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24620,SECTOR-TELE.07,"A partir de un listado de acciones de seguimiento, identificar aquellas que permiten evaluar periódicamente los resultados educativos de las escuelas de su sector.",Comprensión,68.8,0.165,-0.085,-0.213,-0.083,0.165,2015,Específico
19,424,1,RS,1. Aspectos de la función,1.1 Sentido de la función,1.1.4 Evaluación de los resultados educativos de las escuelas del sector,24620,SECTOR-TELE.07,"A partir de un listado de acciones de seguimiento, identificar aquellas que permiten evaluar periódicamente los resultados educativos de las escuelas de su sector.",Comprensión,78.89,0.338,-0.29,-0.126,0.338,-0.265,2017,Ancla
20,436,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24621,SECTOR-TELE.08,"A partir de un listado de prácticas de organización o funcionamiento de la escuela, identificar los rasgos de aquellas que obtienen buenos resultados educativos (metas comunes, trabajo colaborativo, enseñanza centrada en el aprendizaje o altas expectativas sobre el aprendizaje de los alumnos).",Comprensión,,,,,,,Nuevo,Nuevo
21,32,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24621,SECTOR-TELE.08,"A partir de un listado de prácticas de organización o funcionamiento de la escuela, identificar los rasgos de aquellas que obtienen buenos resultados educativos (metas comunes, trabajo colaborativo, enseñanza centrada en el aprendizaje o altas expectativas sobre el aprendizaje de los alumnos).",Comprensión,80,0.377,-0.231,-0.327,-0.18,0.377,2017,Ancla
22,626,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24622,SECTOR-TELE.09,"A partir de una situación escolar en la que se observen prácticas de escuelas con buenos y malos resultados educativos, identificar los rasgos presentes en aquellas que obtienen buenos resultados educativos (metas comunes, enseñanza centrada en el aprendizaje, trabajo colaborativo, altas expectativas sobre el aprendizaje).",Aplicación,,,,,,,Nuevo,Nuevo
23,629,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24622,SECTOR-TELE.09,"A partir de una situación escolar en la que se observen prácticas de escuelas con buenos y malos resultados educativos, identificar los rasgos presentes en aquellas que obtienen buenos resultados educativos (metas comunes, enseñanza centrada en el aprendizaje, trabajo colaborativo, altas expectativas sobre el aprendizaje).",Aplicación,,,,,,,Nuevo,Nuevo
24,101,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.1 Rasgos de las escuelas con buenos resultados,24622,SECTOR-TELE.09,"A partir de una situación escolar en la que se observen prácticas de escuelas con buenos y malos resultados educativos, identificar los rasgos presentes en aquellas que obtienen buenos resultados educativos (metas comunes, enseñanza centrada en el aprendizaje, trabajo colaborativo, altas expectativas sobre el aprendizaje).",Aplicación,86.67,0.248,-2,0.248,-0.286,-0.115,2017,Ancla
25,461,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24623,SECTOR-TELE.10,"A partir de un listado de elementos del plan y programas de estudios 2011, identificar aquellos en los que se distingue el sentido formativo que orienta la tarea educativa de docentes, asesores o supervisores de telesecundaria.",Conocimiento,,,,,,,Nuevo,Nuevo
26,496,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24623,SECTOR-TELE.10,"A partir de un listado de elementos del plan y programas de estudios 2011, identificar aquellos en los que se distingue el sentido formativo que orienta la tarea educativa de docentes, asesores o supervisores de telesecundaria.",Conocimiento,,,,,,,Nuevo,Nuevo
27,21,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",24623,SECTOR-TELE.10,"A partir de un listado de elementos del plan y programas de estudios 2011, identificar aquellos en los que se distingue el sentido formativo que orienta la tarea educativa de docentes, asesores o supervisores de telesecundaria.",Conocimiento,80,0.338,-0.235,-0.214,0.338,-0.219,2017,Ancla
28,464,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",51720,SECTOR-TELE.11. A,"A partir de acciones que impliquen alguno de los propósitos educativos, enfoques o contenidos de la educación secundaria o el modelo educativo de Telesecundaria, identificar aquella que orienta o fortalece la tarea educativa de los docentes, asesores técnico pedagógicos o supervisores.",Comprensión,,,,,,,Nuevo,Nuevo
29,498,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",51720,SECTOR-TELE.11. A,"A partir de acciones que impliquen alguno de los propósitos educativos, enfoques o contenidos de la educación secundaria o el modelo educativo de Telesecundaria, identificar aquella que orienta o fortalece la tarea educativa de los docentes, asesores técnico pedagógicos o supervisores.",Comprensión,,,,,,,Nuevo,Nuevo
30,501,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",51720,SECTOR-TELE.11. A,"A partir de acciones que impliquen alguno de los propósitos educativos, enfoques o contenidos de la educación secundaria o el modelo educativo de Telesecundaria, identificar aquella que orienta o fortalece la tarea educativa de los docentes, asesores técnico pedagógicos o supervisores.",Comprensión,,,,,,,Nuevo,Nuevo
31,594,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.2 Sentido formativo de los propósitos, competencias y aprendizajes esperados",51720,SECTOR-TELE.11. A,"A partir de acciones que impliquen alguno de los propósitos educativos, enfoques o contenidos de la educación secundaria o el modelo educativo de Telesecundaria, identificar aquella que orienta o fortalece la tarea educativa de los docentes, asesores técnico pedagógicos o supervisores.",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo
32,104,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.3 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",24625,SECTOR-TELE.12,"A partir de casos de alumnos con discapacidad o aptitudes sobresalientes, identificar las acciones que aseguren el aprendizaje de los alumnos",Aplicación,58.89,0.313,-0.106,-0.155,0.313,-0.367,2017,Ancla
33,416,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.3 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",24625,SECTOR-TELE.12,"A partir de casos de alumnos con discapacidad o aptitudes sobresalientes, identificar las acciones que aseguren el aprendizaje de los alumnos",Aplicación,40,0.26,0.26,-0.31,-0.168,-0.023,2017,Ancla
34,462,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.3 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",24626,SECTOR-TELE.13,"A partir de un listado de acciones realizadas, identificar las que aseguran los aprendizajes de los niños con discapacidad o aptitudes sobresalientes",Comprensión,,,,,,,Nuevo,Nuevo
35,49,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.3 Atención a los alumnos con necesidades educativas especiales, con o sin discapacidad, o con aptitudes sobresalientes",24626,SECTOR-TELE.13,"A partir de un listado de acciones realizadas, identificar las que aseguran los aprendizajes de los niños con discapacidad o aptitudes sobresalientes",Comprensión,75.56,0.346,-0.231,-0.08,0.346,-0.32,2017,Ancla
36,686,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.4 Resultados educativos de las escuelas del sector,24627,SECTOR-TELE.14,"A partir de un listado de acciones, identificar aquellas que dan seguimiento a las estrategias de reforzamiento, a la formación y el aprendizaje o a los resultados educativos de las telesecundarias del sector.",Comprensión,,,,,,,Nuevo,Nuevo
37,107,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.4 Resultados educativos de las escuelas del sector,24627,SECTOR-TELE.14,"A partir de un listado de acciones, identificar aquellas que dan seguimiento a las estrategias de reforzamiento, a la formación y el aprendizaje o a los resultados educativos de las telesecundarias del sector.",Comprensión,42.22,0.417,-0.254,0.417,-0.392,-0.017,2017,Ancla
38,477,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.4 Resultados educativos de las escuelas del sector,24627,SECTOR-TELE.14,"A partir de un listado de acciones, identificar aquellas que dan seguimiento a las estrategias de reforzamiento, a la formación y el aprendizaje o a los resultados educativos de las telesecundarias del sector.",Comprensión,,,,,,,Piloto Fijo,Piloto Fijo
39,43,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.4 Resultados educativos de las escuelas del sector,24628,SECTOR-TELE.15,"A partir de un caso escolar, identificar las acciones para dar seguimiento a las estrategias para el reforzamiento a la formación y el aprendizaje o a los resultados educativos de las telesecundarias del sector.",Aplicación,55.56,0.19,-0.179,-0.105,0.19,-0.173,2017,Ancla
40,293,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.4 Resultados educativos de las escuelas del sector,24628,SECTOR-TELE.15,"A partir de un caso escolar, identificar las acciones para dar seguimiento a las estrategias para el reforzamiento a la formación y el aprendizaje o a los resultados educativos de las telesecundarias del sector.",Aplicación,55.56,0.219,-0.007,-0.311,0.219,-0.23,2017,Ancla
41,220,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.5 Prácticas educativas de docentes, directivos, asesores técnicos pedagógicos y supervisores",24629,SECTOR-TELE.16,"A partir de la función supervisora que realiza la jefatura de sector, identificar las acciones que fortalecen la práctica educativa de los docentes, directivos, asesores técnico pedagógicos o supervisores del sector",Comprensión,45.56,0.283,-0.057,-0.295,0.283,-0.245,2017,Ancla
42,280,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.5 Prácticas educativas de docentes, directivos, asesores técnicos pedagógicos y supervisores",24629,SECTOR-TELE.16,"A partir de la función supervisora que realiza la jefatura de sector, identificar las acciones que fortalecen la práctica educativa de los docentes, directivos, asesores técnico pedagógicos o supervisores del sector",Comprensión,55.56,0.521,0.521,-0.348,-0.174,-0.344,2017,Ancla
43,373,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.5 Prácticas educativas de docentes, directivos, asesores técnicos pedagógicos y supervisores",24629,SECTOR-TELE.16,"A partir de la función supervisora que realiza la jefatura de sector, identificar las acciones que fortalecen la práctica educativa de los docentes, directivos, asesores técnico pedagógicos o supervisores del sector",Comprensión,23.33,0.265,-0.025,-0.377,-0.078,0.265,2017,Ancla
44,471,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.5 Prácticas educativas de docentes, directivos, asesores técnicos pedagógicos y supervisores",24630,SECTOR-TELE.17,"A partir de necesidades sobre prácticas educativas (planificación, evaluación, acompañamiento, seguimiento), identificar las acciones de la jefatura de sector que fortalecen la práctica educativa de docentes, asesores técnicos pedagógicos, directores o supervisores",Aplicación,,,,,,,Nuevo,Nuevo
45,408,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,"1.2.5 Prácticas educativas de docentes, directivos, asesores técnicos pedagógicos y supervisores",24630,SECTOR-TELE.17,"A partir de necesidades sobre prácticas educativas (planificación, evaluación, acompañamiento, seguimiento), identificar las acciones de la jefatura de sector que fortalecen la práctica educativa de docentes, asesores técnicos pedagógicos, directores o supervisores",Aplicación,53.33,0.383,0.383,-0.348,-0.188,-0.201,2017,Ancla
46,76,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.6 Seguimiento y fortalecimiento del trabajo educativo,24631,SECTOR-TELE.18,A partir de un listado de estrategias para realizar visitas de seguimiento seleccionar las que fortalecen el trabajo educativo de las escuelas y zonas escolares.,Comprensión,46.67,0.341,-0.025,-0.291,-0.315,0.341,2017,Ancla
47,300,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.6 Seguimiento y fortalecimiento del trabajo educativo,24631,SECTOR-TELE.18,A partir de un listado de estrategias para realizar visitas de seguimiento seleccionar las que fortalecen el trabajo educativo de las escuelas y zonas escolares.,Comprensión,28.89,0.175,-0.035,-0.11,0.175,-0.197,2017,Ancla
48,480,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.6 Seguimiento y fortalecimiento del trabajo educativo,51729,SECTOR-TELE.19.A,"A partir de una situación escolar que implica acciones de mejora y fortalecimiento al trabajo educativo, identificar las estrategias del jefe de sector para realizar visitas de seguimiento en escuelas o zonas escolares.",Aplicación,,,,,,,Nuevo,Nuevo
49,643,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.6 Seguimiento y fortalecimiento del trabajo educativo,51729,SECTOR-TELE.19.A,"A partir de una situación escolar que implica acciones de mejora y fortalecimiento al trabajo educativo, identificar las estrategias del jefe de sector para realizar visitas de seguimiento en escuelas o zonas escolares.",Aplicación,,,,,,,Nuevo,Nuevo
50,576,1,RS,1. Aspectos de la función,1.2 Trabajo en las escuelas y zonas escolares,1.2.6 Seguimiento y fortalecimiento del trabajo educativo,51729,SECTOR-TELE.19.A,"A partir de una situación escolar que implica acciones de mejora y fortalecimiento al trabajo educativo, identificar las estrategias del jefe de sector para realizar visitas de seguimiento en escuelas o zonas escolares.",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo
51,478,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.1 Finalidades de la asesoría técnica pedagógica,24633,SECTOR-TELE.20,"A partir de enunciados expresados en textos oficiales, identificar aquellos que definan el objetivo de la asesoría técnico-pedagógica que se ofrece a los colectivos escolares",Conocimiento,,,,,,,Nuevo,Nuevo
52,431,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.1 Finalidades de la asesoría técnica pedagógica,24633,SECTOR-TELE.20,"A partir de enunciados expresados en textos oficiales, identificar aquellos que definan el objetivo de la asesoría técnico-pedagógica que se ofrece a los colectivos escolares",Conocimiento,67.78,0.309,-0.213,0.309,-0.231,-0.189,2017,Ancla
53,500,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.1 Finalidades de la asesoría técnica pedagógica,24633,SECTOR-TELE.20,"A partir de enunciados expresados en textos oficiales, identificar aquellos que definan el objetivo de la asesoría técnico-pedagógica que se ofrece a los colectivos escolares",Conocimiento,,,,,,,Piloto Fijo,Piloto Fijo
54,381,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.1 Finalidades de la asesoría técnica pedagógica,24634,SECTOR-TELE.21,"A partir de un listado de acciones de mejora o fortalecimiento educativo, reconocer aquellas que cumplan con la finalidad de la asesoría técnico-pedagógica que se ofrece a los colectivos escolares.",Comprensión,85.56,0.16,0,0,0,0,2017,Ancla
55,382,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.1 Finalidades de la asesoría técnica pedagógica,24634,SECTOR-TELE.21,"A partir de un listado de acciones de mejora o fortalecimiento educativo, reconocer aquellas que cumplan con la finalidad de la asesoría técnico-pedagógica que se ofrece a los colectivos escolares.",Comprensión,81.11,0.215,-0.24,-2,0.215,-0.155,2017,Ancla
56,414,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.2 Asesoría a las escuelas de acuerdo con sus necesidades,24635,SECTOR-TELE.22,"A partir de una situación relacionada con necesidades de formación académica o metodológica expresadas en la ruta de mejora escolar, plan de trabajo de la zona escolar o en evaluaciones internas o externas, identificar las acciones de asesoría para atenderlas.",Aplicación,37.78,0.209,-0.044,0.209,-0.287,-0.105,2017,Ancla
57,114,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.2 Asesoría a las escuelas de acuerdo con sus necesidades,24635,SECTOR-TELE.22,"A partir de una situación relacionada con necesidades de formación académica o metodológica expresadas en la ruta de mejora escolar, plan de trabajo de la zona escolar o en evaluaciones internas o externas, identificar las acciones de asesoría para atenderlas.",Aplicación,45.8,0.167,-0.097,-0.141,0.167,-0.157,2015,Específico
58,502,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.2 Asesoría a las escuelas de acuerdo con sus necesidades,24635,SECTOR-TELE.22,"A partir de una situación relacionada con necesidades de formación académica o metodológica expresadas en la ruta de mejora escolar, plan de trabajo de la zona escolar o en evaluaciones internas o externas, identificar las acciones de asesoría para atenderlas.",Aplicación,,,,,,,Piloto Fijo,Piloto Fijo
59,577,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,"1.3.3 Desarrollo profesional de docentes, directivos, asesores técnicos pedagógicos y supervisores",24636,SECTOR-TELE.23,"A partir de la descripción de una necesidad de desarrollo profesional de los actores educativos (docente, directivo, supervisor o asesor técnico-pedagógico), identificar las estrategias que lo fomenten.",Aplicación,,,,,,,Nuevo,Nuevo
60,284,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,"1.3.3 Desarrollo profesional de docentes, directivos, asesores técnicos pedagógicos y supervisores",24636,SECTOR-TELE.23,"A partir de la descripción de una necesidad de desarrollo profesional de los actores educativos (docente, directivo, supervisor o asesor técnico-pedagógico), identificar las estrategias que lo fomenten.",Aplicación,42.22,0.312,-0.123,-0.249,0.312,-0.219,2017,Ancla
61,115,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,"1.3.3 Desarrollo profesional de docentes, directivos, asesores técnicos pedagógicos y supervisores",24636,SECTOR-TELE.23,"A partir de la descripción de una necesidad de desarrollo profesional de los actores educativos (docente, directivo, supervisor o asesor técnico-pedagógico), identificar las estrategias que lo fomenten.",Aplicación,68.8,0.165,-0.181,0.165,-0.088,-0.171,2015,Específico
62,528,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.4 Finalidad de la tutoría,24637,SECTOR-TELE.24,"A partir de ejemplos de acompañamiento a docentes, seleccionar los que cumplen con las finalidades de la tutoría",Conocimiento,,,,,,,Nuevo,Nuevo
63,11,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.4 Finalidad de la tutoría,24637,SECTOR-TELE.24,"A partir de ejemplos de acompañamiento a docentes, seleccionar los que cumplen con las finalidades de la tutoría",Conocimiento,46.67,0.244,0.244,-0.171,-0.125,-0.205,2017,Ancla
64,116,1,RS,1. Aspectos de la función,1.3 Función de la asesoría,1.3.4 Finalidad de la tutoría,24637,SECTOR-TELE.24,"A partir de ejemplos de acompañamiento a docentes, seleccionar los que cumplen con las finalidades de la tutoría",Conocimiento,70,0.411,0.411,-0.205,-0.082,-0.403,2017,Ancla
65,535,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Toma de decisiones para la mejora escolar,24638,SECTOR-TELE.25,"A partir de un listado de acciones de gestión escolar, identificar las que permitan la autonomía de las escuelas.",Conocimiento,,,,,,,Nuevo,Nuevo
66,216,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Toma de decisiones para la mejora escolar,24638,SECTOR-TELE.25,"A partir de un listado de acciones de gestión escolar, identificar las que permitan la autonomía de las escuelas.",Conocimiento,52.22,0.504,-0.419,-0.118,-0.287,0.504,2017,Ancla
67,653,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Toma de decisiones para la mejora escolar,24638,SECTOR-TELE.25,"A partir de un listado de acciones de gestión escolar, identificar las que permitan la autonomía de las escuelas.",Conocimiento,,,,,,,Piloto Fijo,Piloto Fijo
68,121,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Toma de decisiones para la mejora escolar,24639,SECTOR-TELE.26,"A partir de una situación escolar (participación de padres de familia, planeación de la ruta de mejora o que presente resultados educativos), distinguir las acciones de gestión escolar que permiten a docentes y directivos tomar decisiones autónomas orientadas a la mejora de la calidad del servicio educativo.",Aplicación,61.11,0.199,0.199,-2,-0.231,-0.215,2017,Ancla
69,228,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.1 Toma de decisiones para la mejora escolar,24639,SECTOR-TELE.26,"A partir de una situación escolar (participación de padres de familia, planeación de la ruta de mejora o que presente resultados educativos), distinguir las acciones de gestión escolar que permiten a docentes y directivos tomar decisiones autónomas orientadas a la mejora de la calidad del servicio educativo.",Aplicación,71.11,0.151,-0.216,-0.074,0.151,-0.149,2017,Ancla
70,181,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.2 Promoción de la autonomía de la gestión escolar,24640,SECTOR-TELE.27,"A partir de planteamientos señalados en la normatividad vigente sobre gestión escolar (del aprendizaje, evaluación con equidad y autonomía de gestión), seleccionar las acciones que permiten orientar al asesor técnico pedagógico y al supervisor escolar para promover la autogestión de las escuelas.",Conocimiento,77.78,0.373,-0.128,-0.292,0.373,-0.282,2017,Ancla
71,182,1,RS,2. Gestión escolar,2.1 Autonomía de la gestión de la escuela,2.1.2 Promoción de la autonomía de la gestión escolar,24640,SECTOR-TELE.27,"A partir de planteamientos señalados en la normatividad vigente sobre gestión escolar (del aprendizaje, evaluación con equidad y autonomía de gestión), seleccionar las acciones que permiten orientar al asesor técnico pedagógico y al supervisor escolar para promover la autogestión de las escuelas.",Conocimiento,60,0.407,-0.158,0.407,-0.451,-0.186,2017,Ancla
