#,Clave reactivo,Sesión,Tipo de reactivo,Área,Subárea,Tema,ID especificación ,Clave de especificación,Definición operacional,Nivel taxonómico,(%) RES. COR.,CORRELACIÓN BIS. PUNT. (Pearson),RPBIS_OP1E,RPBIS_OP2E,RPBIS_OP3E,RPBIS_OP4E,Condición,Clasificación,,,,,,
34,559,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,51957,ATP-LENGUA-PRE.14.A,"A partir de un listado de características de la práctica docente, identificar aquella que promueve la oralidad o la escritura en educación preescolar",Conocimiento,,,,,,,Nuevo ,Nuevo ,,,,,,
35,574,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,51957,ATP-LENGUA-PRE.14.A,"A partir de un listado de características de la práctica docente, identificar aquella que promueve la oralidad o la escritura en educación preescolar",Conocimiento,,,,,,,"Piloto
Fijo","Piloto
Fijo",,,,,,
36,340,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,23394,ATP-LENGUA-PRE.15,"A partir de una de las variables didácticas, identificar la que está asociada al nivel de dificultad en una tarea comunicativa del lenguaje oral",Conocimiento,42.920,0.213,-0.245,0.213,-0.108,-0.099,2017,Ancla,,,,,,
37,377,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.2 Prácticas docentes,23394,ATP-LENGUA-PRE.15,"A partir de una de las variables didácticas, identificar la que está asociada al nivel de dificultad en una tarea comunicativa del lenguaje oral",Conocimiento,37.120,0.280,-0.198,-0.171,0.280,-0.203,2017,Ancla,,,,,,
38,568,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.3 Dispositivos didácticos,23395,ATP-LENGUA-PRE.16,"A partir de las actividades de un plan de clase, identificar las acciones que refieren el uso de la biblioteca escolar para favorecer el aprendizaje del lenguaje escrito",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
39,38,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.3 Dispositivos didácticos,23395,ATP-LENGUA-PRE.16,"A partir de las actividades de un plan de clase, identificar las acciones que refieren el uso de la biblioteca escolar para favorecer el aprendizaje del lenguaje escrito",Comprensión,74.460,0.310,-0.254,-0.123,0.310,-0.203,2017,Ancla,,,,,,
40,20,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.3 Dispositivos didácticos,23396,ATP-LENGUA-PRE.17,"A partir de competencias de los campos formativos, identificar las que se favorecen con el uso de la biblioteca de aula o escolar",Conocimiento,63.520,0.253,-0.176,-0.206,0.253,-0.180,2017,Ancla,,,,,,
41,621,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.3 Dispositivos didácticos,23396,ATP-LENGUA-PRE.17,"A partir de competencias de los campos formativos, identificar las que se favorecen con el uso de la biblioteca de aula o escolar",Conocimiento,,,,,,,"Piloto
Fijo","Piloto
Fijo",,,,,,
42,546,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.3 Dispositivos didácticos,23397,ATP-LENGUA-PRE.18,"A partir de actividades relacionadas con la formación lectora, identificar las que se vinculen con la literatura.",Conocimiento,,,,,,,Nuevo ,Nuevo ,,,,,,
43,111,1,RS,1. Dominio pedagógico,1.3 Aspectos didácticos,1.3.3 Dispositivos didácticos,23397,ATP-LENGUA-PRE.18,"A partir de actividades relacionadas con la formación lectora, identificar las que se vinculen con la literatura.",Conocimiento,67.810,0.167,-0.177,-0.127,-0.114,0.167,2017,Ancla,,,,,,
44,578,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.1 Sentido de la asesoría,23398,ATP-LENGUA-PRE.19,"A partir de una acción docente, identificar la asesoría dirigida a fortalecer el lenguaje escrito en todos los alumnos",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
45,49,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.1 Sentido de la asesoría,23398,ATP-LENGUA-PRE.19,"A partir de una acción docente, identificar la asesoría dirigida a fortalecer el lenguaje escrito en todos los alumnos",Comprensión,80.040,0.270,-0.061,-0.175,0.270,-0.270,2017,Ancla,,,,,,
46,735,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.1 Sentido de la asesoría,51963,ATP-LENGUA-PRE.20.A,"A partir de acciones de asesoría, identificar aquella que, como experiencia situada, enriquece la intervención pedagógica de los docentes",Conocimiento,,,,,,,Nuevo ,Nuevo ,,,,,,
47,736,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.1 Sentido de la asesoría,51963,ATP-LENGUA-PRE.20.A,"A partir de acciones de asesoría, identificar aquella que, como experiencia situada, enriquece la intervención pedagógica de los docentes",Conocimiento,,,,,,,Nuevo ,Nuevo ,,,,,,
48,500,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.1 Sentido de la asesoría,23400,ATP-LENGUA-PRE.21,"A partir de necesidades de gestión en la dimensión pedagógica, identificar la asesoría que fortalece el desarrollo del lenguaje oral y escrito",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
49,518,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.1 Sentido de la asesoría,23400,ATP-LENGUA-PRE.21,"A partir de necesidades de gestión en la dimensión pedagógica, identificar la asesoría que fortalece el desarrollo del lenguaje oral y escrito",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
50,586,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.2 Atención a los factores de riesgo,23401,ATP-LENGUA-PRE.22,"A partir de acciones didácticas, identificar la asesoría que permite disminuir los factores de riesgo para el aprendizaje del lenguaje oral y escrito.",Aplicación,,,,,,,Nuevo ,Nuevo ,,,,,,
51,314,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.2 Atención a los factores de riesgo,23401,ATP-LENGUA-PRE.22,"A partir de acciones didácticas, identificar la asesoría que permite disminuir los factores de riesgo para el aprendizaje del lenguaje oral y escrito.",Aplicación,61.800,0.219,-0.249,-0.118,-0.089,0.219,2017,Ancla,,,,,,
52,501,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.2 Atención a los factores de riesgo,23402,ATP-LENGUA-PRE.23,"A partir del diagnóstico grupal sobre lectura y escritura, identificar los factores de riesgo para su aprendizaje",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
53,25,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.2 Atención a los factores de riesgo,23402,ATP-LENGUA-PRE.23,"A partir del diagnóstico grupal sobre lectura y escritura, identificar los factores de riesgo para su aprendizaje",Comprensión,49.360,0.203,-0.227,0.203,-0.110,-0.116,2017,Ancla,,,,,,
54,502,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.2 Atención a los factores de riesgo,23403,ATP-LENGUA-PRE.24,"A partir de acciones desarrolladas con el colectivo docente, identificar las que previenen o atienden el rezago o la deserción escolar",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
55,286,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.2 Atención a los factores de riesgo,23403,ATP-LENGUA-PRE.24,"A partir de acciones desarrolladas con el colectivo docente, identificar las que previenen o atienden el rezago o la deserción escolar",Comprensión,58.637,0.179,-0.223,0.179,-0.101,-0.150,2016,Específico,,,,,,
56,504,1,RS,1. Dominio pedagógico,1.4 Apoyo a la enseñanza,1.4.2 Atención a los factores de riesgo,23403,ATP-LENGUA-PRE.24,"A partir de acciones desarrolladas con el colectivo docente, identificar las que previenen o atienden el rezago o la deserción escolar",Comprensión,,,,,,,"Piloto
Variable","Piloto
Variable",,,,,,
57,510,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.1 Diagnóstico,23404,ATP-LENGUA-PRE.25,"A partir de las características de un grupo escolar, identificar los instrumentos del diagnóstico que describen las capacidades de los alumnos, en materia de lenguaje oral y escrito",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
58,511,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.1 Diagnóstico,23404,ATP-LENGUA-PRE.25,"A partir de las características de un grupo escolar, identificar los instrumentos del diagnóstico que describen las capacidades de los alumnos, en materia de lenguaje oral y escrito",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
59,146,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.1 Diagnóstico,23404,ATP-LENGUA-PRE.25,"A partir de las características de un grupo escolar, identificar los instrumentos del diagnóstico que describen las capacidades de los alumnos, en materia de lenguaje oral y escrito",Comprensión,82.830,0.210,-0.184,-0.053,0.210,-0.163,2017,Ancla,,,,,,
60,515,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.2 Plan de acción,23405,ATP-LENGUA-PRE.26,"A partir de una sesión de Consejo Técnico Escolar en la que se analizan los resultados del diagnóstico escolar, identificar las acciones del proyecto que mejoran los resultados en materia de lenguaje oral y escrito",Aplicación,,,,,,,Nuevo ,Nuevo ,,,,,,
61,193,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.2 Plan de acción,23405,ATP-LENGUA-PRE.26,"A partir de una sesión de Consejo Técnico Escolar en la que se analizan los resultados del diagnóstico escolar, identificar las acciones del proyecto que mejoran los resultados en materia de lenguaje oral y escrito",Aplicación,74.030,0.383,-0.358,-0.218,0.383,-0.095,2017,Ancla,,,,,,
62,513,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.2 Plan de acción,23406,ATP-LENGUA-PRE.27,"A partir de información de un diagnóstico escolar, identificar la que permite definir un plan de asesoría para fortalecer el lenguaje oral y escrito.",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
63,66,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.2 Plan de acción,23406,ATP-LENGUA-PRE.27,"A partir de información de un diagnóstico escolar, identificar la que permite definir un plan de asesoría para fortalecer el lenguaje oral y escrito.",Comprensión,66.310,0.239,0.239,-0.167,-0.168,-0.178,2017,Ancla,,,,,,
64,690,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.2 Plan de acción,23406,ATP-LENGUA-PRE.27,"A partir de información de un diagnóstico escolar, identificar la que permite definir un plan de asesoría para fortalecer el lenguaje oral y escrito.",Comprensión,,,,,,,"Piloto
Fijo","Piloto
Fijo",,,,,,
65,600,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.3 Seguimiento,23407,ATP-LENGUA-PRE.28,"A partir de acciones de asesoría, identificar las que se refieren al seguimiento del colectivo docente para la mejora del aprendizaje del lenguaje oral y escrito.",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
66,634,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.3 Seguimiento,23407,ATP-LENGUA-PRE.28,"A partir de acciones de asesoría, identificar las que se refieren al seguimiento del colectivo docente para la mejora del aprendizaje del lenguaje oral y escrito.",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
67,481,1,RS,2. Estrategias para la asesoría,2.1 Organización de la asesoría,2.1.3 Seguimiento,23407,ATP-LENGUA-PRE.28,"A partir de acciones de asesoría, identificar las que se refieren al seguimiento del colectivo docente para la mejora del aprendizaje del lenguaje oral y escrito.",Comprensión,65.670,0.218,-0.218,-0.042,-0.203,0.218,2017,Ancla,,,,,,
68,272,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.1 Proceso de enseñanza y aprendizaje,23408,ATP-LENGUA-PRE.29,"A partir de actividades que se realizan en un Consejo Técnico, identificar las que propicien la reflexión individual o colectiva sobre los procesos de enseñanza y aprendizaje del lenguaje oral o escrito",Comprensión,50.640,0.235,-0.055,0.235,-0.190,-0.190,2017,Ancla,,,,,,
69,413,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.1 Proceso de enseñanza y aprendizaje,23408,ATP-LENGUA-PRE.29,"A partir de actividades que se realizan en un Consejo Técnico, identificar las que propicien la reflexión individual o colectiva sobre los procesos de enseñanza y aprendizaje del lenguaje oral o escrito",Comprensión,15.880,0.164,0.164,-0.133,-0.009,-0.111,2017,Ancla,,,,,,
70,15,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.2 Situaciones de aprendizaje,23409,ATP-LENGUA-PRE.30,"A partir de las características del diseño de situaciones para la enseñanza del lenguaje oral y escrito, identificar las que mejoran las competencias comunicativas",Conocimiento,66.520,0.249,-0.256,-0.055,0.249,-0.179,2017,Ancla,,,,,,
71,234,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.2 Situaciones de aprendizaje,23409,ATP-LENGUA-PRE.30,"A partir de las características del diseño de situaciones para la enseñanza del lenguaje oral y escrito, identificar las que mejoran las competencias comunicativas",Conocimiento,74.890,0.309,-0.292,0.309,-0.164,-0.121,2017,Ancla,,,,,,
72,404,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.2 Situaciones de aprendizaje,23410,ATP-LENGUA-PRE.31,"A partir de propuestas de asesoría, identificar la que considera características para el diseño de situaciones de aprendizaje que incluyan prácticas sociales",Comprensión,49.570,0.181,-0.104,-0.182,-0.118,0.181,2017,Ancla,,,,,,
73,603,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.2 Situaciones de aprendizaje,23410,ATP-LENGUA-PRE.31,"A partir de propuestas de asesoría, identificar la que considera características para el diseño de situaciones de aprendizaje que incluyan prácticas sociales",Comprensión,,,,,,,"Piloto
Fijo","Piloto
Fijo",,,,,,
74,379,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.3 Promoción de nuevos aprendizajes,23411,ATP-LENGUA-PRE.32,"A partir de una situación didáctica, identificar la estrategia de asesoría que promueva la interacción entre los alumnos para desarrollar competencias comunicativas",Comprensión,74.030,0.247,-0.129,0.247,-0.220,-0.171,2017,Ancla,,,,,,
75,403,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.3 Promoción de nuevos aprendizajes,23411,ATP-LENGUA-PRE.32,"A partir de una situación didáctica, identificar la estrategia de asesoría que promueva la interacción entre los alumnos para desarrollar competencias comunicativas",Comprensión,68.880,0.246,0.246,-0.216,-0.130,-0.174,2017,Ancla,,,,,,
76,462,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.3 Promoción de nuevos aprendizajes,23412,ATP-LENGUA-PRE.33,"A partir de interacciones entre los alumnos, identificar las que favorezcan el lenguaje oral o escrito",Conocimiento,88.840,0.185,-0.173,0.185,-0.100,-0.116,2017,Ancla,,,,,,
77,516,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.3 Promoción de nuevos aprendizajes,23412,ATP-LENGUA-PRE.33,"A partir de interacciones entre los alumnos, identificar las que favorezcan el lenguaje oral o escrito",Conocimiento,,,,,,,"Piloto
Fijo","Piloto
Fijo",,,,,,
78,536,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.4 Atención diferenciada,51968,ATP-LENGUA-PRE.34.A,"A partir de una problemática relacionada con el aprendizaje de los alumnos, identificar la estrategia de asesoría para que los docentes enfrenten los desafíos y propicien que todos los alumnos aprendan",Aplicación,,,,,,,Nuevo ,Nuevo ,,,,,,
79,646,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.4 Atención diferenciada,51968,ATP-LENGUA-PRE.34.A,"A partir de una problemática relacionada con el aprendizaje de los alumnos, identificar la estrategia de asesoría para que los docentes enfrenten los desafíos y propicien que todos los alumnos aprendan",Aplicación,,,,,,,"Piloto
Fijo","Piloto
Fijo",,,,,,
80,589,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.4 Atención diferenciada,51973,ATP-LENGUA-PRE.35.A,"A partir de estrategias de asesoría relacionadas con un desafío de lectura, identificar la que permite que el docente propicie que todos los alumnos aprendan",Comprensión,,,,,,,Nuevo ,Nuevo ,,,,,,
81,590,1,RS,2. Estrategias para la asesoría,2.2 Acompañamiento en la enseñanza,2.2.4 Atención diferenciada,51973,ATP-LENGUA-PRE.35.A,"A partir de estrategias de asesoría relacionadas con un desafío de lectura, identificar la que permite que el docente propicie que todos los alumnos aprendan",Comprensión,,,,,,,"Piloto
Fijo","Piloto
Fijo",,,,,,
