id_exam,id_reactiv,num_reac_a,num_reac_b,num_reac_c,num_reac_d,rc,i_ancla,i_elim,id_area,area,id_subarea,subarea,id_especf,especf,id_estimul,nr_especf,id_taxo,nvl_taxo,p_rc,rpbis_rc,rpbis_op1,rpbis_op2,rpbis_op3,rpbis_op4,p_rce,rpbis_rce,rpbis_op1e,rpbis_op2e,rpbis_op3e,rpbis_op4e
O_441018a,O_4410245,11,13,0,0,4,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_002,CONOCIMIENTO DEL PLAN Y PROGRAMAS DE ESTUDIO,24233,"A PARTIR DE UN LISTADO DE PROP”SITOS DE EDUCACI”N B¡SICA, ASOCIAR LOS QUE CORRESPONDEN A LA EDUCACI”N FÕSICA DEL NIVEL PRIMARIA",,3,2,COMPRENSI”N,14.23,0.202,-0.116,-0.066,-0.202,0.202,14.23,0.184,-0.111,-0.077,-0.205,0.184
O_441018a,O_4410196,12,14,0,0,2,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_002,CONOCIMIENTO DEL PLAN Y PROGRAMAS DE ESTUDIO,24233,"A PARTIR DE UN LISTADO DE PROP”SITOS DE EDUCACI”N B¡SICA, ASOCIAR LOS QUE CORRESPONDEN A LA EDUCACI”N FÕSICA DEL NIVEL PRIMARIA",,3,2,COMPRENSI”N,65.85,0.138,-0.094,0.138,-0.193,-0.02,65.85,0.172,-0.154,0.172,-0.208,-0.021
O_441018a,O_4410479,13,15,0,0,2,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_002,CONOCIMIENTO DEL PLAN Y PROGRAMAS DE ESTUDIO,24233,"A PARTIR DE UN LISTADO DE PROP”SITOS DE EDUCACI”N B¡SICA, ASOCIAR LOS QUE CORRESPONDEN A LA EDUCACI”N FÕSICA DEL NIVEL PRIMARIA",,3,2,COMPRENSI”N,33.33,0.122,-0.024,0.122,-0.145,-0.109,33.33,0.16,-0.049,0.16,-0.159,-0.141
O_441018a,O_4410467,14,16,0,0,4,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_002,CONOCIMIENTO DEL PLAN Y PROGRAMAS DE ESTUDIO,51841,"A PARTIR DE LOS PROP”SITOS DE ESTUDIO DE LA EDUCACI”N B¡SICA, IDENTIFICAR LOS QUE CORRESPONDEN A EDUCACI”N FÕSICA DEL NIVEL PREESCOLAR O DE SECUNDARIA",,2,1,CONOCIMIENTO,66.26,0.179,-0.037,-0.308,0.033,0.179,0,0,0,0,0,0
O_441018a,O_4410469,15,17,0,0,4,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_002,CONOCIMIENTO DEL PLAN Y PROGRAMAS DE ESTUDIO,51841,"A PARTIR DE LOS PROP”SITOS DE ESTUDIO DE LA EDUCACI”N B¡SICA, IDENTIFICAR LOS QUE CORRESPONDEN A EDUCACI”N FÕSICA DEL NIVEL PREESCOLAR O DE SECUNDARIA",,2,1,CONOCIMIENTO,46.75,0.208,-0.067,-0.246,-0.076,0.208,46.75,0.187,-0.046,-0.254,-0.081,0.187
O_441018a,O_4410729,16,18,0,0,2,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_002,CONOCIMIENTO DEL PLAN Y PROGRAMAS DE ESTUDIO,51841,"A PARTIR DE LOS PROP”SITOS DE ESTUDIO DE LA EDUCACI”N B¡SICA, IDENTIFICAR LOS QUE CORRESPONDEN A EDUCACI”N FÕSICA DEL NIVEL PREESCOLAR O DE SECUNDARIA",,2,1,CONOCIMIENTO,72.76,0.015,-0.006,0.015,0.001,-0.109,0,0,0,0,0,0
O_441018a,O_4410338,17,19,0,0,3,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_002,CONOCIMIENTO DEL PLAN Y PROGRAMAS DE ESTUDIO,24235,"A PARTIR DE UN LISTADO DE CONTENIDOS DEL PROGRAMA, IDENTIFICAR AQUELLOS QUE PRESENTAN UNA RELACI”N CON EDUCACI”N FÕSICA.",,3,1,CONOCIMIENTO,51.63,0.172,-0.035,-0.178,0.172,-0.22,51.63,0.175,-0.047,-0.186,0.175,-0.235
O_441018a,O_4410155,18,20,0,0,1,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_002,CONOCIMIENTO DEL PLAN Y PROGRAMAS DE ESTUDIO,24235,"A PARTIR DE UN LISTADO DE CONTENIDOS DEL PROGRAMA, IDENTIFICAR AQUELLOS QUE PRESENTAN UNA RELACI”N CON EDUCACI”N FÕSICA.",,3,1,CONOCIMIENTO,85.77,0.246,0.246,-0.183,-0.161,-0.184,85.77,0.228,0.228,-0.182,-0.134,-0.2
O_441018a,O_4410530,19,21,0,0,4,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_002,CONOCIMIENTO DEL PLAN Y PROGRAMAS DE ESTUDIO,24235,"A PARTIR DE UN LISTADO DE CONTENIDOS DEL PROGRAMA, IDENTIFICAR AQUELLOS QUE PRESENTAN UNA RELACI”N CON EDUCACI”N FÕSICA.",,3,1,CONOCIMIENTO,64.63,0.124,-0.081,-0.203,-0.004,0.124,64.63,0.146,-0.088,-0.246,0.003,0.146
O_441018a,O_4410390,20,22,0,0,2,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_002,CONOCIMIENTO DEL PLAN Y PROGRAMAS DE ESTUDIO,24236,"A PARTIR DE UN LISTADO DE CONTENIDOS DEL PROGRAMA DE SEXTO GRADO, IDENTIFICAR AQUELLOS QUE PRESENTAN UNA RELACI”N CON EDUCACI”N FÕSICA",,2,2,COMPRENSI”N,25.61,0.088,-0.087,0.088,-0.009,-0.161,0,0,0,0,0,0
O_441018a,O_441018,21,23,0,0,2,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_002,CONOCIMIENTO DEL PLAN Y PROGRAMAS DE ESTUDIO,24236,"A PARTIR DE UN LISTADO DE CONTENIDOS DEL PROGRAMA DE SEXTO GRADO, IDENTIFICAR AQUELLOS QUE PRESENTAN UNA RELACI”N CON EDUCACI”N FÕSICA",,2,2,COMPRENSI”N,84.96,0.024,-0.089,0.024,-0.059,0.035,0,0,0,0,0,0
O_441018a,O_441010,22,25,0,0,2,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,24237,"A PARTIR DE ACTIVIDADES L⁄DICAS, IDENTIFICAR LAS QUE FAVORECEN EL ENFOQUE DID¡CTICO DE EDUCACI”N FÕSICA",,1,2,COMPRENSI”N,80.49,0.205,-0.144,0.205,-0.165,-0.159,80.49,0.184,-0.134,0.184,-0.161,-0.162
O_441018a,O_4410471,23,26,0,0,4,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,24237,"A PARTIR DE ACTIVIDADES L⁄DICAS, IDENTIFICAR LAS QUE FAVORECEN EL ENFOQUE DID¡CTICO DE EDUCACI”N FÕSICA",,1,2,COMPRENSI”N,50.41,-0.034,-0.082,0.042,-0.069,-0.034,0,0,0,0,0,0
O_441018a,O_441086,24,27,0,0,2,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,24238,"A PARTIR DE UN PRINCIPIO DEL ENFOQUE DID¡CTICO DEL PROGRAMA DE EDUCACI”N FÕSICA, IDENTIFICAR LA ESTRATEGIA QUE LO FAVORECE",,2,3,APLICACI”N,60.57,0.285,-0.077,0.285,-0.292,-0.15,60.57,0.287,-0.057,0.287,-0.323,-0.137
O_441018a,O_4410279,25,28,0,0,4,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,24238,"A PARTIR DE UN PRINCIPIO DEL ENFOQUE DID¡CTICO DEL PROGRAMA DE EDUCACI”N FÕSICA, IDENTIFICAR LA ESTRATEGIA QUE LO FAVORECE",,2,3,APLICACI”N,74.39,0.406,-0.334,-0.105,-0.288,0.406,74.39,0.401,-0.337,-0.134,-0.273,0.401
O_441018a,O_441072,26,29,0,0,1,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,24239,"A PARTIR DE ACTIVIDADES RECREATIVAS, IDENTIFICAR AQUELLA QUE CUMPLE CON EL PROGRAMA DE EDUCACI”N FÕSICA CON SENTIDO FORMATIVO",,2,2,COMPRENSI”N,83.74,0.403,0.403,-0.223,-0.134,-0.373,83.74,0.389,0.389,-0.219,-0.142,-0.366
O_441018a,O_441021,27,30,0,0,3,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,24239,"A PARTIR DE ACTIVIDADES RECREATIVAS, IDENTIFICAR AQUELLA QUE CUMPLE CON EL PROGRAMA DE EDUCACI”N FÕSICA CON SENTIDO FORMATIVO",,2,2,COMPRENSI”N,91.46,0.11,-0.076,-0.106,0.11,-0.132,0,0,0,0,0,0
O_441018a,O_4410211,28,31,0,0,2,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,24240,"A PARTIR DE LA DESCRIPCI”N DE UNA ACTIVIDAD, IDENTIFICAR AQUELLA QUE CORRESPONDE A LA VARIABILIDAD DE LA PR¡CTICA SEG⁄N EL ESPACIO O ¡REA DE TRABAJO.",,1,2,COMPRENSI”N,69.92,0.186,-0.015,0.186,-0.26,-0.077,69.92,0.221,-0.039,0.221,-0.297,-0.095
O_441018a,O_4410526,29,0,0,0,2,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,24240,"A PARTIR DE LA DESCRIPCI”N DE UNA ACTIVIDAD, IDENTIFICAR AQUELLA QUE CORRESPONDE A LA VARIABILIDAD DE LA PR¡CTICA SEG⁄N EL ESPACIO O ¡REA DE TRABAJO.",,1,2,COMPRENSI”N,40.16,0.044,0.079,0.044,-0.285,-0.17,0,0,0,0,0,0
O_441018a,O_4410476,30,33,0,0,3,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,51852,"A PARTIR DE CARACTERÕSTICAS DE DIVERSAS PR¡CTICAS DOCENTES EN UNA SESI”N DE EDUCACI”N FÕSICA, IDENTIFICAR AQUELLAS QUE CORRESPONDEN AL NIVEL DE SECUNDARIA",,1,2,COMPRENSI”N,53.25,-0.014,0.03,-0.244,-0.014,-0.091,0,0,0,0,0,0
O_441018a,O_4410533,31,34,0,0,1,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,51852,"A PARTIR DE CARACTERÕSTICAS DE DIVERSAS PR¡CTICAS DOCENTES EN UNA SESI”N DE EDUCACI”N FÕSICA, IDENTIFICAR AQUELLAS QUE CORRESPONDEN AL NIVEL DE SECUNDARIA",,1,2,COMPRENSI”N,36.18,0.056,0.056,-0.17,-0.083,0.026,0,0,0,0,0,0
O_441018a,O_441073,32,35,0,0,2,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,24242,"A PARTIR DEL ENFOQUE Y AL MENOS DE UN PROP”SITO DE EDUCACI”N FÕSICA, IDENTIFICAR LA ACCI”N DID¡CTICA QUE LO FAVORECE",,2,2,COMPRENSI”N,69.92,0.367,-0.288,0.367,-0.284,-0.119,69.92,0.359,-0.283,0.359,-0.298,-0.118
O_441018a,O_4410297,33,36,0,0,4,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,24242,"A PARTIR DEL ENFOQUE Y AL MENOS DE UN PROP”SITO DE EDUCACI”N FÕSICA, IDENTIFICAR LA ACCI”N DID¡CTICA QUE LO FAVORECE",,2,2,COMPRENSI”N,60.16,0.212,-0.178,-0.034,-0.224,0.212,60.16,0.23,-0.202,-0.054,-0.234,0.23
O_441018a,O_441014,34,37,0,0,1,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,24243,"A PARTIR DE LOS JUEGOS QUE REALIZAN LOS ALUMNOS DE EDUCACI”N FÕSICA, DISTINGUIR AQUEL QUE FAVORECE UN APRENDIZAJE ESPERADO",,1,3,APLICACI”N,47.15,0.342,0.342,-0.226,-0.201,-0.169,47.15,0.345,0.345,-0.218,-0.232,-0.177
O_441018a,O_4410483,35,0,0,0,4,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_003,ASPECTOS DID¡CTICOS,24243,"A PARTIR DE LOS JUEGOS QUE REALIZAN LOS ALUMNOS DE EDUCACI”N FÕSICA, DISTINGUIR AQUEL QUE FAVORECE UN APRENDIZAJE ESPERADO",,1,3,APLICACI”N,59.06,0.082,0.017,-0.157,-0.136,0.082,0,0,0,0,0,0
O_441018a,O_4410253,36,38,0,0,3,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,24244,"A PARTIR DE UNA SITUACI”N EN LA QUE SE DIFICULTA LOGRAR UN APRENDIZAJE ESPERADO, IDENTIFICAR AQUELLA ESTRATEGIA DE ASESORÕA QUE PERMITA AL DOCENTE MEJORAR SU PR¡CTICA",,2,3,APLICACI”N,50.81,0.162,-0.139,-0.157,0.162,-0.112,50.81,0.164,-0.156,-0.169,0.164,-0.09
O_441018a,O_4410383,37,39,0,0,3,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,24244,"A PARTIR DE UNA SITUACI”N EN LA QUE SE DIFICULTA LOGRAR UN APRENDIZAJE ESPERADO, IDENTIFICAR AQUELLA ESTRATEGIA DE ASESORÕA QUE PERMITA AL DOCENTE MEJORAR SU PR¡CTICA",,2,3,APLICACI”N,77.64,0.267,-0.126,-0.278,0.267,-0.117,77.64,0.244,-0.089,-0.299,0.244,-0.115
O_441018a,O_441025,38,40,0,0,1,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,24245,"A PARTIR DE DESCRIPCIONES DE ASESORÕA, IDENTIFICAR AQUELLA EN LA QUE SE ENRIQUEZCA LA INTERVENCI”N PEDAG”GICA DE LOS DOCENTES",,2,2,COMPRENSI”N,80.49,0.392,0.392,-0.28,-0.271,-0.201,80.49,0.362,0.362,-0.284,-0.269,-0.164
O_441018a,O_4410485,39,41,0,0,2,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,24245,"A PARTIR DE DESCRIPCIONES DE ASESORÕA, IDENTIFICAR AQUELLA EN LA QUE SE ENRIQUEZCA LA INTERVENCI”N PEDAG”GICA DE LOS DOCENTES",,2,2,COMPRENSI”N,57.72,0.269,-0.123,0.269,-0.222,-0.177,57.72,0.26,-0.131,0.26,-0.214,-0.2
O_441018a,O_4410641,40,0,0,0,2,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,24245,"A PARTIR DE DESCRIPCIONES DE ASESORÕA, IDENTIFICAR AQUELLA EN LA QUE SE ENRIQUEZCA LA INTERVENCI”N PEDAG”GICA DE LOS DOCENTES",,2,2,COMPRENSI”N,73.23,0.208,-0.286,0.208,-0.013,-0.254,0,0,0,0,0,0
O_441018a,O_4410484,41,42,0,0,4,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,51859,"A PARTIR DE UNA PROBLEM¡TICA DE PR¡CTICA DOCENTE, IDENTIFICAR AQUELLA ACCI”N DE ASESORÕA QUE ENRIQUECE LA INTERVENCI”N DE LOS DOCENTES",,2,3,APLICACI”N,6.1,-0.207,0.204,-0.147,-0.116,-0.207,0,0,0,0,0,0
O_441018a,O_4410694,42,43,0,0,3,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,51859,"A PARTIR DE UNA PROBLEM¡TICA DE PR¡CTICA DOCENTE, IDENTIFICAR AQUELLA ACCI”N DE ASESORÕA QUE ENRIQUECE LA INTERVENCI”N DE LOS DOCENTES",,2,3,APLICACI”N,85.37,0.198,-0.015,-0.059,0.198,-0.313,85.37,0.179,0.001,-0.062,0.179,-0.316
O_441018a,O_4410708,43,44,0,0,2,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,51859,"A PARTIR DE UNA PROBLEM¡TICA DE PR¡CTICA DOCENTE, IDENTIFICAR AQUELLA ACCI”N DE ASESORÕA QUE ENRIQUECE LA INTERVENCI”N DE LOS DOCENTES",,2,3,APLICACI”N,70.73,0.109,-0.07,0.109,-0.219,-0.039,0,0,0,0,0,0
O_441018a,O_441022,44,45,0,0,2,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,24247,"A PARTIR DE LAS ACTIVIDADES QUE EL COLECTIVO DOCENTE REALIZA PARA PREVENIR LA DESERCI”N ESCOLAR, IDENTIFICAR LAS ACCIONES QUE APOYAN AL DOCENTE EN ESTA ACTIVIDAD",,2,2,COMPRENSI”N,75.61,0.211,-0.263,0.211,-0.083,-0.075,75.61,0.214,-0.266,0.214,-0.108,-0.076
O_441018a,O_441029,45,46,0,0,2,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,24247,"A PARTIR DE LAS ACTIVIDADES QUE EL COLECTIVO DOCENTE REALIZA PARA PREVENIR LA DESERCI”N ESCOLAR, IDENTIFICAR LAS ACCIONES QUE APOYAN AL DOCENTE EN ESTA ACTIVIDAD",,2,2,COMPRENSI”N,91.87,0.213,-0.126,0.213,-0.032,-0.222,0,0,0,0,0,0
O_441018a,O_441024,46,47,0,0,3,0,0,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,24248,"A PARTIR DE UNA PROBLEM¡TICA DE REZAGO EDUCATIVO EN LA ESCUELA, INFERIR LA ESTRATEGIA QUE APOYA AL COLECTIVO DOCENTE PARA SU ATENCI”N",,2,3,APLICACI”N,63.41,0.3,-0.144,-0.311,0.3,-0.115,63.41,0.33,-0.144,-0.361,0.33,-0.126
O_441018a,O_4410740,47,48,0,0,1,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,24248,"A PARTIR DE UNA PROBLEM¡TICA DE REZAGO EDUCATIVO EN LA ESCUELA, INFERIR LA ESTRATEGIA QUE APOYA AL COLECTIVO DOCENTE PARA SU ATENCI”N",,2,3,APLICACI”N,50,0.036,0.036,-0.098,-0.082,-0.009,0,0,0,0,0,0
O_441018a,O_4410741,48,0,0,0,3,0,1,O_4410_01,DOMINIO PEDAG”GICO,O_4410_01_004,APOYO A LA ENSE—ANZA,24248,"A PARTIR DE UNA PROBLEM¡TICA DE REZAGO EDUCATIVO EN LA ESCUELA, INFERIR LA ESTRATEGIA QUE APOYA AL COLECTIVO DOCENTE PARA SU ATENCI”N",,2,3,APLICACI”N,66.14,0.176,-0.102,-0.183,0.176,-0.131,0,0,0,0,0,0
O_441018a,O_4410388,49,49,0,0,2,0,0,O_4410_02,ESTRATEGIAS PARA LA ASESORÕA,O_4410_02_001,ORGANIZACI”N DE LA ASESORÕA,24249,"A PARTIR DE UN LISTADO DE INSTRUMENTOS, DIFERENCIAR LOS QUE PERMITEN RECONOCER LAS CAPACIDADES DE LOS ALUMNOS",,2,2,COMPRENSI”N,67.07,0.136,-0.273,0.136,-0.146,-0.05,67.07,0.171,-0.291,0.171,-0.156,-0.093
O_441018a,O_441096,50,50,0,0,1,0,0,O_4410_02,ESTRATEGIAS PARA LA ASESORÕA,O_4410_02_001,ORGANIZACI”N DE LA ASESORÕA,24249,"A PARTIR DE UN LISTADO DE INSTRUMENTOS, DIFERENCIAR LOS QUE PERMITEN RECONOCER LAS CAPACIDADES DE LOS ALUMNOS",,2,2,COMPRENSI”N,55.69,0.19,0.19,-0.309,-0.1,-0.055,55.69,0.204,0.204,-0.345,-0.078,-0.079
O_441018a,O_441031,51,52,0,0,3,0,0,O_4410_02,ESTRATEGIAS PARA LA ASESORÕA,O_4410_02_001,ORGANIZACI”N DE LA ASESORÕA,24250,"A PARTIR DE CARACTERÕSTICAS DE LOS INSTRUMENTOS DE EVALUACI”N, IDENTIFICAR LAS QUE PERTENECEN A LA EVALUACI”N DIAGN”STICA",,2,1,CONOCIMIENTO,85.37,0.377,-0.243,-0.146,0.377,-0.307,85.37,0.366,-0.218,-0.131,0.366,-0.329
O_441018a,O_4410455,52,53,0,0,2,0,0,O_4410_02,ESTRATEGIAS PARA LA ASESORÕA,O_4410_02_001,ORGANIZACI”N DE LA ASESORÕA,24250,"A PARTIR DE CARACTERÕSTICAS DE LOS INSTRUMENTOS DE EVALUACI”N, IDENTIFICAR LAS QUE PERTENECEN A LA EVALUACI”N DIAGN”STICA",,2,1,CONOCIMIENTO,88.62,0.269,-0.165,0.269,-0.229,-0.184,88.62,0.251,-0.169,0.251,-0.212,-0.178
O_441018a,O_441033,53,54,0,0,1,0,0,O_4410_02,ESTRATEGIAS PARA LA ASESORÕA,O_4410_02_001,ORGANIZACI”N DE LA ASESORÕA,24251,"A PARTIR DE LOS RESULTADOS DEL DIAGN”STICO DE UN GRUPO DE EDUCACI”N FÕSICA, INFERIR LAS ACCIONES QUE ATIENDEN LAS NECESIDADES DETECTADAS",,3,3,APLICACI”N,60.98,0.209,0.209,-0.127,-0.124,-0.192,60.98,0.216,0.216,-0.128,-0.149,-0.202
O_441018a,O_441035,54,55,0,0,1,0,0,O_4410_02,ESTRATEGIAS PARA LA ASESORÕA,O_4410_02_001,ORGANIZACI”N DE LA ASESORÕA,24251,"A PARTIR DE LOS RESULTADOS DEL DIAGN”STICO DE UN GRUPO DE EDUCACI”N FÕSICA, INFERIR LAS ACCIONES QUE ATIENDEN LAS NECESIDADES DETECTADAS",,3,3,APLICACI”N,57.72,0.379,0.379,-0.119,-0.341,-0.17,57.72,0.353,0.353,-0.139,-0.336,-0.148
O_441018a,O_4410456,55,56,0,0,2,0,1,O_4410_02,ESTRATEGIAS PARA LA ASESORÕA,O_4410_02_001,ORGANIZACI”N DE LA ASESORÕA,24251,"A PARTIR DE LOS RESULTADOS DEL DIAGN”STICO DE UN GRUPO DE EDUCACI”N FÕSICA, INFERIR LAS ACCIONES QUE ATIENDEN LAS NECESIDADES DETECTADAS",,3,3,APLICACI”N,92.68,0.282,-0.223,0.282,-0.228,-2,0,0,0,0,0,0
