2169458xxx,1,1,1,2,2,4,2,2,1,4,2,3,1,3,3,3,4,3,2,3,1,3,1,3,2,1,1,3,3,3,1,1,1,1,2,5,3,2,2,3,2,4,3,3,2,3,3,2,,1,3,1
101101xxxx,1,2,1,2,2,4,2,3,1,4,3,2,3,1,1,2,2,3,2,1,1,3,2,3,2,2,2,4,3,4,2,4,1,2,2,1,3,1,5,4,4,3,2,3,3,3,1,1,,1,k,k
713419xxxx,1,1,1,4,1,4,2,3,1,1,2,2,2,3,3,2,4,1,1,3,1,3,3,3,2,2,1,1,2,4,2,4,1,2,5,4,3,4,2,1,4,3,4,1,3,3,2,2,,2,2,1
1368236xxx,1,1,1,1,1,4,2,4,1,4,4,2,2,3,3,3,1,4,1,4,4,1,3,3,2,1,4,2,3,4,2,4,4,3,1,4,3,4,5,1,4,4,3,4,1,k,k,k,,k,k,k
6362722xxx,1,1,1,4,2,4,2,3,2,2,3,2,2,1,1,3,4,4,1,1,1,3,4,2,2,2,3,2,3,4,2,4,2,2,5,5,3,2,2,3,4,3,3,2,3,1,3,2,,2,1,1
4738314xxx,1,1,1,4,1,3,2,3,1,4,3,3,4,3,4,3,4,2,3,4,3,4,1,2,2,1,2,2,3,3,1,4,1,3,1,5,3,1,2,2,4,1,2,2,4,2,3,2,,1,1,1
2727272xxx,2,1,1,2,2,4,2,3,1,2,4,3,4,3,4,2,4,1,2,1,1,3,1,3,2,4,3,4,3,3,1,4,3,4,5,1,3,4,2,3,4,4,3,1,3,3,k,k,,k,k,k
3389180xxx,1,1,1,4,2,4,2,2,2,1,4,3,2,1,4,3,4,4,2,3,1,3,1,3,2,2,1,1,3,4,1,4,3,2,2,1,2,4,2,1,4,3,3,1,3,2,2,1,,2,2,1
8675309xxx,1,2,1,2,2,4,2,3,2,4,1,3,1,3,2,3,4,4,3,1,1,2,1,3,2,2,1,2,4,4,1,4,1,2,2,1,3,4,2,1,4,4,2,1,3,2,2,1,,1,1,1
1567058xxx,1,1,1,4,2,1,1,1,1,2,4,3,1,4,2,2,4,2,1,3,1,4,1,2,2,2,1,3,3,2,1,4,3,2,2,2,3,4,4,4,4,3,1,3,4,3,2,2,,k,2,2
8246006428,1,1,1,2,2,4,2,2,1,1,2,3,1,3,3,1,1,4,1,2,1,4,1,2,2,2,1,1,2,3,2,4,3,4,5,5,3,4,2,1,4,4,3,1,1,2,1,1,,2,1,1
7577175xxx,1,2,1,2,2,4,2,3,1,1,4,4,3,3,3,3,1,1,4,1,1,3,1,3,2,3,1,4,3,3,2,4,2,3,5,5,2,4,2,3,4,4,3,2,2,3,4,1,,2,2,1
2818222315,1,3,1,4,2,4,4,3,1,1,4,2,2,1,3,3,4,2,2,4,3,3,2,3,2,2,2,3,1,2,2,4,3,2,2,1,3,4,4,1,4,2,2,2,4,1,1,2,,1,3,1
1198124xxx,1,1,1,4,1,4,1,3,2,3,1,3,1,3,1,2,4,1,3,2,1,2,1,3,2,2,3,2,3,2,2,4,3,1,5,5,4,5,2,1,4,3,2,1,3,3,3,3,,2,2,k
3256918xxx,1,1,1,4,2,4,1,3,2,3,3,4,3,3,3,2,4,3,1,1,3,3,1,3,2,2,3,4,1,1,2,4,4,4,2,1,3,4,2,3,4,4,2,1,4,4,2,1,,1,2,1
1542813xxx,1,2,1,4,1,4,2,3,1,4,4,3,2,1,3,3,4,1,3,2,1,3,2,2,2,2,1,4,3,4,2,4,3,2,2,1,3,4,4,1,4,3,3,2,3,2,1,2,,1,1,1
3149211xxx,2,2,1,4,1,4,2,2,1,1,4,3,1,1,1,1,4,4,1,1,1,2,1,3,2,2,2,3,3,4,1,4,3,2,2,4,3,2,2,2,4,3,1,4,3,2,2,1,,2,2,2
5714892xxx,1,2,1,4,2,4,1,3,1,4,4,2,4,3,3,2,1,1,3,4,1,1,3,4,2,1,2,4,3,4,2,4,3,5,2,2,3,2,2,2,3,3,3,4,3,2,1,2,,1,k,k
43642195xx,1,4,1,4,2,4,2,2,1,2,3,4,3,1,4,2,4,4,3,1,1,1,2,3,2,1,1,3,1,3,2,4,3,2,5,4,3,4,4,1,4,3,1,3,3,4,3,2,,2,1,2
118200xxxx,1,2,1,2,2,4,2,2,1,4,4,3,1,1,3,3,4,1,3,4,1,3,2,3,2,2,1,1,3,3,1,4,3,4,2,4,2,4,4,2,3,3,3,3,4,1,3,2,,2,3,1
3796037xxx,2,1,1,4,2,5,2,3,1,1,2,2,4,1,2,2,4,2,2,4,1,3,2,3,2,2,3,4,3,2,3,4,3,3,2,4,3,4,4,1,4,1,2,2,3,2,3,1,,2,1,1
5924806xxx,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,,k,k,k
9521996xxx,1,2,1,4,1,4,2,4,2,1,1,2,4,3,4,3,1,4,2,4,2,3,1,3,3,4,1,3,1,4,1,3,3,3,1,1,4,2,4,3,2,2,2,4,2,1,4,3,,1,2,1
1605155xxx,2,2,1,1,2,1,3,3,2,4,4,3,3,1,2,3,4,4,2,4,1,2,1,3,2,2,1,4,3,3,1,4,3,2,5,1,3,4,2,1,4,4,1,1,3,3,2,1,,2,2,1
011xxxxxxx,2,1,1,4,2,4,1,3,1,1,4,1,2,2,4,2,1,4,2,2,1,4,1,3,2,2,1,1,3,4,1,4,3,2,1,5,3,2,4,3,4,1,4,2,1,1,2,2,,k,k,k
9092000xxx,1,2,1,4,2,4,2,4,1,1,4,3,1,3,4,3,4,1,2,4,1,2,1,3,2,2,2,4,1,4,1,4,1,2,2,1,1,4,4,1,4,4,3,4,1,2,2,2,,1,2,1
1516673xxx,2,1,1,4,2,3,2,3,2,3,3,4,4,1,2,1,4,3,2,3,1,3,3,3,2,2,1,3,2,3,2,4,4,3,5,1,3,2,2,3,4,4,3,2,3,3,4,2,,2,1,1
4770191xxx,1,4,1,4,1,4,2,3,1,2,3,3,1,1,3,3,4,3,1,2,1,3,1,3,2,1,1,2,3,2,1,4,2,2,2,1,4,4,2,1,3,4,1,1,3,2,2,1,,1,2,1
2411125xxx,1,1,1,2,1,4,1,1,1,1,3,4,4,1,1,2,4,4,1,3,3,4,1,3,1,1,3,3,1,3,1,5,3,2,2,1,3,3,1,3,1,3,1,3,3,k,k,k,,k,k,1
3122312xxx,1,1,1,4,2,3,2,2,1,2,3,2,3,2,2,1,1,2,2,2,1,3,1,3,2,3,3,3,3,2,2,4,3,2,5,5,k,k,k,k,k,k,k,k,k,k,k,k,,k,k,k
019xxxxxxx,1,1,1,2,2,4,2,3,2,4,4,3,1,3,3,3,4,3,1,3,1,3,2,3,2,2,1,1,3,2,1,4,3,4,5,1,3,2,2,1,3,3,1,1,3,2,4,2,,1,1,1
020xxxxxxx,1,2,1,1,2,4,1,4,1,1,4,3,4,1,2,1,4,2,3,4,1,3,2,3,2,2,1,4,2,4,1,4,3,4,2,4,3,4,2,2,2,3,3,1,2,1,1,1,,2,2,2
023xxxxxxx,1,1,1,4,2,4,1,2,1,1,4,2,4,1,3,3,4,2,3,2,1,2,1,2,2,2,2,4,3,1,2,4,2,2,3,3,3,1,2,1,4,3,3,2,3,3,3,1,,2,3,2
2922781xxx,1,k,k,k,2,k,k,3,k,k,3,k,k,k,1,k,k,k,k,3,k,k,k,3,k,k,k,k,k,k,k,k,2,k,k,k,k,4,k,k,k,k,2,k,k,k,k,1,,k,k,k
5763257xxx,1,3,1,1,2,4,1,3,1,4,4,3,3,2,3,3,1,3,1,4,3,2,1,3,2,2,3,3,3,4,1,4,3,4,1,4,2,4,4,1,3,2,3,1,3,2,3,1,,1,1,1
026xxxxxxx,1,1,1,4,2,4,1,2,1,4,3,1,4,3,4,3,4,4,2,4,1,2,1,3,2,2,1,4,1,4,1,4,3,3,1,5,3,4,2,3,2,4,2,4,3,2,4,1,,1,1,1
230153xxxx,1,2,1,3,1,3,1,3,2,4,4,1,3,1,3,4,1,2,3,4,3,3,4,3,2,1,2,3,3,1,1,1,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,,k,k,k
4877914112,1,1,1,1,2,3,3,3,1,4,1,4,3,3,1,1,4,3,2,1,1,4,3,3,1,4,1,4,3,4,1,4,3,2,2,1,3,4,2,4,3,2,4,4,3,2,2,1,,1,1,1
4812663xxx,2,1,1,2,1,2,2,1,1,4,3,3,1,3,1,1,4,1,1,3,1,3,1,3,2,2,1,4,3,1,2,4,3,4,2,1,3,4,4,1,4,4,3,2,3,2,2,1,,1,1,1
5213456xxx,1,2,1,4,2,4,2,3,1,1,4,1,3,3,3,1,4,1,2,4,1,2,2,3,2,2,2,4,1,3,2,4,3,4,2,1,k,k,k,k,k,k,k,k,k,k,k,k,,k,k,k
7413941xxx,1,1,1,4,2,3,1,2,1,2,2,3,4,3,2,1,4,1,1,3,1,2,4,3,2,3,3,3,3,3,1,4,1,1,5,1,3,2,2,1,2,3,1,2,3,3,1,1,,1,1,1
2633175xxx,1,2,1,4,2,4,2,3,1,1,4,3,3,3,4,3,4,3,2,4,1,2,4,3,2,2,1,3,2,4,1,4,3,4,2,4,2,4,4,1,4,4,4,1,3,2,4,1,,1,2,1
7409638xxx,1,1,1,4,2,4,2,4,1,1,4,3,4,3,1,1,4,2,3,4,1,4,3,3,2,2,1,2,3,4,1,4,3,3,5,1,3,4,5,1,4,3,2,1,3,3,2,2,,k,k,k
3452101xxx,1,1,1,4,2,4,2,3,1,1,3,2,2,3,3,2,4,3,1,3,1,3,2,3,2,1,2,4,2,3,2,3,4,1,1,4,3,4,2,1,2,4,2,1,4,3,3,1,,2,2,1
039xxxxxxx,1,1,1,4,2,4,1,2,2,2,4,3,3,4,3,3,4,2,2,2,1,2,3,2,2,2,3,4,1,4,1,3,1,1,1,4,4,1,4,1,4,2,2,4,3,3,1,1,,2,2,1
70071xxxxx,1,1,1,4,1,4,4,3,1,1,3,4,4,2,4,2,4,4,2,3,1,3,1,3,2,2,3,4,1,2,1,4,3,3,2,1,2,4,2,1,2,3,3,4,1,2,2,1,,1,2,1
3069631827,2,1,1,4,2,2,1,3,2,4,4,4,2,3,3,1,4,1,2,4,1,4,1,3,2,2,1,3,3,4,1,4,4,4,5,1,3,3,2,1,4,4,3,3,3,3,4,2,,1,1,1
040xxxxxxx,1,1,1,4,2,1,2,2,1,4,3,1,4,1,3,2,4,4,2,3,1,2,1,3,2,2,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,,k,k,k
041xxxxxxx,1,1,1,1,2,3,4,3,1,3,4,3,4,3,3,1,4,3,3,3,2,4,2,3,2,4,1,4,2,3,2,4,2,4,4,5,2,4,4,1,3,3,2,3,3,4,4,2,,1,2,1
2194xxxxxx,1,3,1,4,2,4,3,3,1,2,3,3,4,3,1,2,4,2,2,3,1,4,3,3,2,2,2,4,3,1,1,4,2,4,2,5,2,4,4,1,4,4,3,4,1,3,2,2,,1,3,1
6283761xxx,1,1,1,4,2,3,3,2,2,1,2,2,4,1,3,3,4,1,2,3,1,2,1,4,2,2,1,2,3,2,2,4,3,1,1,3,1,1,2,2,2,3,3,1,2,2,2,1,,2,1,1
9070371xxx,1,1,1,2,1,3,1,3,2,2,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,,2,1,1
3900278x4x,1,2,1,2,1,4,2,2,2,4,4,3,4,2,3,3,2,3,4,1,2,1,2,3,1,2,1,3,4,3,1,2,4,1,3,2,3,1,1,2,2,4,2,2,4,k,k,k,,k,k,k
3141412xxx,1,1,1,4,2,4,2,3,1,2,4,2,1,4,3,1,4,4,1,1,3,2,1,3,2,2,1,2,1,4,2,4,1,2,5,4,3,5,2,1,3,3,3,1,3,1,4,2,,1,1,1
