Entidad,SAP,Equipos por sede,Número de Salas,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Nombre Sede,Dirección,Observaciones,cumple_ancho_banda,ancho_banda,navegador,circuito_TV,ALÁMBRICA_WIFI,SÍstema_operativo,hardware,velocidad_carga,velocidad_descarga,latencia_carga,latencia_descarga
CDMX,09056,100,4,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLBACH No. 03 IZTACALCO,"PROL. FCO. DEL PASO Y TRONCOSO ENTRE TEZONTLE Y APATLACO S/N, UNIDAD INFONAVIT IZTACALCO, C.P. 08900, IZTACALCO, CDMX.",,,,,,,,,,,,
CDMX,09057,125,5,25,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLBACH No. 04 CULHUACÁN LÁZARO CÁRDENAS,"ROSA MA. SEQUEIRA ESQ. MANUELA SÁENZ S/N, 6a. SECCIÓN UNIDAD INFONAVIT CULHUACÁN, C.P. 04480, COYOACÁN, CDMX.",,,,,,,,,,,,
CDMX,09058,94,4,25,25,25,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLBACH No. 06 VICENTE GUERRERO,"AV. DÍAZ SOTO Y GAMA ENTRE ANILLO PERIFÉRICO Y CAMPAÑA DEL ÉBANO S/N, UNIDAD VICENTE GUERRERO, C.P. 09200, IZTAPALAPA, CDMX.",,,,,,,,,,,,
CDMX,09059,73,3,25,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLBACH No. 07 IZTAPALAPA,"GUERRA DE REFORMA CASI ESQ. CON LEYES DE REFORMA S/N, COL. LEYES DE REFORMA, C.P. 09310, IZTAPALAPA, CDMX.",,,,,,,,,,,,
CDMX,09060,78,3,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLBACH No. 09 ARAGÓN,"AV. 1527 ENTRE CALLE 414-A Y FRANCISCO MORAZÁN S/N, 6a. SECCIÓN UNIDAD SAN JUAN DE ARAGÓN, C.P. 07920, GAM, CDMX.",,,,,,,,,,,,
CDMX,09061,76,3,25,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLBACH No. 13 XOCHIMILCO-TEPEPAN QUIRINO MENDOZA Y CORTÉS,"ANTIGUO CAMINO A XOCHIMILCO CASI ESQ. AV. ACUEDUCTO S/N, AMPL. TEPEPAN, C.P. 16020, XOCHIMILCO, CDMX.",,,,,,,,,,,,
CDMX,09062,70,3,23,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLBACH No. 17 HUAYAMILPAS PEDREGAL,"HUITZILOPOCHTLI ESQ. TARASCOS S/N, AMPL. AJUSCO HUAYAMILPAS PEDREGAL, C.P. 04300, COYOACÁN, CDMX.",,,,,,,,,,,,
CDMX,09063,67,3,22,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLBACH No. 20 DEL VALLE MATÍAS ROMERO,"MATÍAS ROMERO ENTRE GABRIEL MANCERA Y NICOLÁS SAN JUAN No. 422, COL. DEL VALLE, C.P. 03100, BENITO JUÁREZ, CDMX.",,,,,,,,,,,,
CDMX,09064,60,2,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLANTEL CONALEP TLALPAN I,"CALLE DEL RÍO (ATRAS DE MÉDICA SUR) No. 1, COL. TORIELLO GUERRA, C.P. 14050, TLALPAN, CDMX.",,,,,,,,,,,,
CDMX,09065,80,4,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDAD DE CAPACITACIÓN EN INFORMÁTICA (UCI),"AV. AZCAPOTZALCO No. 58, COL. TACUBA, C.P. 11410, MIGUEL HIDALGO, CDMX.",,,,,,,,,,,,
CDMX,09066,100,2,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 3,"CALLE XOCONGO No. 26, COL. TRÁNSITO, C.P. 06820, CUAUHTÉMOC, CDMX.",,SÍ,100 MBPS,"CHROME, EXPLORER",NO,CABLEADA,WINDOWS 8,CPU 3.2 RAM 8GB DISCO 250 GB,88.05,71.06,2.170 MS,0.655 MS
CDMX,09068,38,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 8,"CALLE LAGO ALBERTO No. 431-B, COL. ANÁHUAC, C.P. 11320, MIGUEL HIDALGO, CDMX.",,,,,,,,,,,,
CDMX,09069,45,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 10,"CALLE TIZIANO No. 223, COL. ALFONSO XIII, C.P. 01460, ÁLVARO OBREGÓN, CDMX.",,,,,,,,,,,,
CDMX,09070,60,2,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 32,"ANTIGUO LECHO DEL RÍO CHURUBUSCO ESQ. JAVIER BARROS SIERRA S/N, COL. ADOLFO LÓPEZ MATEOS, C.P. 15670, VENUSTIANO CARRANZA, CDMX.",,,,,,,,,,,,
CDMX,09071,30,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 39,"AV. ACUEDUCTO No. 5511, COL. AMPLIACIÓN TEPEPAN, C.P. 16030, XOCHIMILCO, CDMX.",,,,,,,,,,,,
CDMX,09072,90,3,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 50,"AV. DE LAS TORRES No. 300, COL. SAN LORENZO TEZONCO, C.P. 09900, IZTAPALAPA, CDMX.",,SÍ,100 MBPS,"MOZILLA, CHROME",NO,CABLEADA,WINDOWS 7,AMD 20GHZ RAM 4 DISCO 500,62.58,40.47,,
CDMX,09073,57,2,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 51,"CALLE XOCOYOTE S/N, COL. EL ARENAL 4a. SECCIÓN, C.P. 15600, VENUSTIANO CARRANZA, CDMX.",,SÍ,50 MBPS,"MOZILLA, CHROME",NO,CABLEADA,WINDOWS 7,AMD 3.40GHZ RAM 4 DISCO 320,48.7,48.68,,
CDMX,09074,72,3,25,27,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 55,"PERIFÉRICO S/N, COL. ATZACOALCO CTM, C.P. 07090, GAM, CDMX.",,,,,,,,,,,,
CDMX,09075,97,2,46,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 57,"AV. CENTRAL ESQ. CONSTITUCIÓN DE APATZINGÁN S/N, UNIDAD HAB. EJÉRCITO CONSTITUCIONALISTA, C.P. 09220, IZTAPALAPA, CDMX.",,,,,,,,,,,,
CDMX,09076,50,2,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 154,"CALLE CEDRAL ESQ. XOCHITEPETL S/N, COL. EJIDOS DE SAN PEDRO MÁRTIR, C.P. 14650, TLALPAN, CDMX.",,,,,,,,,,,,
CDMX,09078,89,2,45,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS No. 42,"AV. MÉXICO ESQ. LIMA S/N, COL. IXTLAHUACAN, C.P. 09690, IZTAPALAPA, CDMX.",,,,,,,,,,,,
CDMX,09079,70,3,30,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLOGICO DE IZTAPALAPA II,"CALLE VALLE DE MÉXICO No. 47, COL. MIRAVALLES, C.P. 09696, IZTAPALAPA, CDMX.",,SÍ,200 MBPS,"MOZILLA, CHROME",NO,CABLEADA,LINUX MONDAY 18.4,2.86 RAM 4 DISCO DURO 500 GB,97.41,9,83,4.5
CDMX,09080,65,2,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLOGICO DE IZTAPALAPA III,"CALLE ORQUIDEA No. 71, ESQ. JILGUERO, COL. SAN MIGUEL TEOTONGO, C.P. 09630, DELG. IZTAPALAPA, CD. DE MÉXICO",,SÍ,10000 KBPS,EXPLORER,NO,CABLEADA,WINDOWS 10,CORE 5; RAM 8GB DISCO DURO 1TB,1.26,5.93,3.5,3
CDMX,09081,40,2,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESCUELA SECUNDARIA TÉCNICA No. 1 MIGUEL LERDO DE TEJADA,"CALLE SABINOS No. 47, COL. SANTA ANITA, C.P. 08300, IZTACALCO, CDMX.",,SÍ,20 MBPS,"FIREFOX, CHROME",NO,SÍ,WINDOWS 7,"INTEL 6.1 , 2 GB Y DISCO DURO 32",20.51,7.17,,
CDMX,09082,80,3,25,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTRO DE INNOVACIÓN TECNOLOGICA EDUCATIVA,"CERRADA PLAN DE SAN LUIS No. 11, COL. LA PURISIMA TICOMAN, C.P. 07330, GAM, CDMX.",,SÍ,19 MBPS,CHROME,NO,CABLEADA,WINDOWS 7,1.6 HGZ RAM 2 DISCO DURO 80,16,8.04,,
CDMX,09083,50,2,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLEGIO NACIONAL DE EDUCACIÓN PROFESIONAL TÉCNICA MAGDALENA CONTRERAS,"CALLE DURANGO  No. 17, COL. SAN FRANCISCO, C.P. 10710, MAGDALENA CONTRERAS, CDMX.",,,,,,,,,,,,
CDMX,09084,50,2,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLOGICO DE ALVARO OBREGON,"AV. DEL ROSAL No. 89 (PREDIO ""TEXOCOTLA"") ENTRE CAMINO PUNTA CEHUAYO Y UKURUTAL ACALT, UNIDAD POPULAR TEPEACA, C.P. 01550, ÁLVARO OBREGÓN, CDMX.",,SÍ,200 MBPS,"FIRE FOX, MOZILLA, CHROME",NO,CABLEADA,WINDOWS 8,2.7 HGZ RAM 8 DISCO 1 TB,187,19.25,15,13
Durango,10002,100,3,33,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBTIS No. 110,"CALLE MÁRTIRES DE SONORA No. 221, COL. LAS FUENTES, C.P. 34220, DURANGO, DGO.",,SÍ,40 Mb,SÍ,SÍ,ALÁMBRICA,SÍ,SÍ,40 Mbps,40 Mbps,48 ms,49 ms
Durango,10003,55,2,20,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBTIS No. 130,"CALLE XICOTÉNCATL No. 204, COL. LOS FUENTES, C.P. 34170, DURANGO, DGO.",,,,,,,,,,,,
Durango,10008,80,2,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COBAED JUANA VILLALOBOS,"CARR. ESTATAL LIBRE TRAMO DURANGO FERRERÍA KM 5 S/N, C.P. 34210, DURANGO, DGO.","En la red del subsistema tenemos bloqueadas muchas páginas entre ellas https://fast.com/es por lo que tuve que utilizar un software para poder ejecutar la aplicación de dicha página, motivo por el cual no confirmo el resultado de la misma ya que variaron los valores al ejecutarla varias veces.
Sin embargo nuestro plantel ha sido sede por varios años y nuestra infraestructura ha cubierto satisfactoriamente los requisitos necesarios para las aplicaciones.",SÍ,40 Mb,SÍ,NO,ALÁMBRICA,SÍ ,SÍ,1.8 Mbps,2.2 Mbps,303ms,121 ms
Durango,10009,100,3,34,34,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COBAED LA FORESTAL,"CALLE SAN MIGUEL DE CRUCES S/N, FRACC. LA FORESTAL, C.P. 34217, DURANGO, DGO.",,SÍ,100  Mb,SÍ,NO,ALÁMBRICA,SÍ,SÍ,92.35 Mbps,59.08  Mbps,174 ms,174 ms
Durango,10010,75,2,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COBAED LOMAS,"CALLE VISTA HERMOSA S/N, FRACC. VISTA HERMOSA DEL GUADIANA, C.P. 34100, DURANGO, DGO.",,SÍ,50  Mb,SÍ,NO,ALÁMBRICA,SÍ,SÍ,45 Mbps,30 Mbps,38 ms,38 ms
Durango,10011,50,2,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COBAED VILLAS,"CALLE DENEB S/N, COL. VILLAS DEL GUADIANA VI, C.P. 34224, DURANGO, DGO.",,SÍ,60  Mb,SÍ,SÍ,ALÁMBRICA,SÍ,SÍ,22 Mbps,60 Mbps,37 ms,37 ms
Durango,10014,200,7,30,30,30,40,40,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLÓGICO SUPERIOR DE LERDO,"AV. TECNOLÓGICO PERIFÉRICO LERDO KM 14.5 No. 1555, COL. PLÁCIDO DOMINGO, C.P. 35150, LERDO, DGO.",,SÍ,100  Mb,SÍ,NO,AMBAS,SÍ,SÍ,94 Mbps,90 Mbps,16 ms ,16 ms
Durango,10014,200,6,30,30,30,40,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLÓGICO SUPERIOR DE LERDO,"AV. TECNOLÓGICO PERIFÉRICO LERDO KM 14.5 No. 1555, COL. PLÁCIDO DOMINGO, C.P. 35150, LERDO, DGO.",,SÍ,100  Mb,SÍ,NO,ALÁMBRICA,SÍ,SÍ,96 Mbps,98 Mbps,9 ms,6 ms
Durango,10015,140,5,35,28,36,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSIDAD POLITÉCNICA DE GÓMEZ PALACIO,"CARR. EL VERGEL LA TORREÑA KM 820 S/N, COL. EL VERGEL, C.P. 35120, GÓMEZ PALACIO, DGO.",LAS PRUEBAS DE INTERNET SE REALIZAN A LAS 13:50 HRS. EN ETAPA DE ENTREGA Y SUBIDA DE CALIFICACIONES Y EN EXAMEN DE INGLES EN LINEA. EL CIRCUITO CERRADO DE LA UNIVERSIDAD ES INDEPENDIENTE A LA RED DE VOZ Y DATOS.,SÍ,120  Mb,SÍ,NO,AMBAS,SÍ,SÍ,56 Mbps,45 Mbps,20 ms,8ms
Durango,10016,120,4,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSIDAD TECNOLÓGICA DE DURANGO,"CARR. DURANGO MEZQUITAL KM 4.5 S/N, COL. GABINO SANTILLAN, C.P. 34308, DURANGO, DGO.",,SÍ,100  Mb,SÍ,NO,AMBAS,SÍ,SÍ,94 Mbps,90 Mbps,16 ms ,16 ms
Durango,10017,180,7,30,30,30,30,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSIDAD TECNOLÓGICA DE LA LAGUNA DURANGO,"CARR. FEDERAL TORREÓN-CD.JUÁREZ KM 7.5 S/N, EJIDO LAS CUEVAS, C.P. 35185, CD. LERDO, DURANGO",LOS REQUERIMIENTOS DEL NÚMERO DE LABORATORIOS Y EQUIPOS EN CADA UNO DE ELLOS SE CUMPLEN A LA PERFECCIÓN,SÍ,30  Mb,SÍ,SÍ,AMBAS,SÍ,SÍ,2.5 Mbps,12 Mbps,198 ms,53 ms
Durango,10018,172,7,22,22,20,22,20,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSIDAD POLITÉCNICA DE DURANGO,"CARR. DURANGO-MÉXICO KM 9.5 S/N, RANCHO VALLE HERMOSO, C.P. 34300, DURANGO, DGO.",,SÍ,100  Mb,SÍ,NO,AMBAS,SÍ ,SÍ,94 Mbps,90 Mbps,16 ms ,16 ms
Guanajuato,11003,30,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECYTEG PLANTEL COMONFORT,"CARR. SUR SALIDA A CELAYA ESQ. CALLEJÓN DE GUANÍ S/N, C.P. 38200, COMONFORT, GTO.",OK,SÍ,10 Mbps,SÍ,No,NO,SÍ,SÍ,88 Kbps,9.8 Mbps,1.3 s,334 ms
Guanajuato,11004,60,2,32,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECYTEG PLANTEL CORTAZAR,"PROL. MANUEL DOBLADO No. 803, COL. VILLAS DEL SOL, C.P. 38310, CORTAZAR, GTO.",Cambio el personal de apoyo técnico,,,,,,,,,,,
Guanajuato,11005,28,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECYTEG PLANTEL LEÓN,"BLVD. TELLEZ CRUCES ESQ. CON PASCUAL HURTAZA S/N, COL. LEÓN I, C.P. 37235, LEÓN, GTO.",,SÍ,50 mbps,SÍ,NO,AMBAS,SÍ,SÍ,30.50 mbps,40.43 mbps,10 ms,10 ms
Guanajuato,11006,58,2,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECYTEG PLANTEL LEÓN SAN JUAN BOSCO,"VICENTE GONZALEZ DEL CASTILLO No. 438, COL. HILAMAS, C.P. 37400, LEÓN, GTO.",,SÍ,10 Mb,SÍ,NO,NO,SÍ,SÍ,8.595 Mb/s,9.352 Mb/s,76.25 ms,74.00 ms
Guanajuato,11008,45,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECYTEG PLANTEL PURÍSIMA DEL RINCÓN,"CALLE GRAN CANARIA No. 240, COL. LOS MIRASOLES, C.P. 36400, PURÍSIMA DEL RINCÓN, GTO.",,SÍ,30MB,SÍ,NO,AMBAS,SÍ,SÍ,51 MBPS,39 MBPS,,
Guanajuato,11009,41,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECYTEG PLANTEL SAN JUAN DE LA VEGA,"PROL. ALDAMA ESQ. MADERO No. 420, COL. SAN ANTONIO GALLARDO, C.P. 38100, CELAYA, GTO.",,SÍ,6Mb Contratado,SÍ,No,AMBAS,SÍ,SÍ,230 Kbps,7.5 Mb,141 Ms,46 Ms
Guanajuato,11010,58,2,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECYTEG PLANTEL TARANDACUAO,"CALLE MIRADOR No. 200, COL. EL CARMEN, C.P. 38790, TARANDACUAO, GTO.",,SÍ,40 Mgps,SÍ,No,AMBAS,SÍ,SÍ,10 mb,1.3 mb,39 ms,46 ms
Guanajuato,11011,28,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECYTEG PLANTEL VALLE DE SANTIAGO,"CARR. VALLE DE SANTIAGO-GUARAPO KM 1.8 S/N, C.P. 38400, VALLE DE SANTIAGO, GTO.",,SÍ,10  Mbps,SÍ,NO,WIFI,SÍ,SÍ,8.96 Mbps,9.36 Mbps,1.04 Mbps, 0.64 Mbps
Guanajuato,11012,37,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECYTEG PLANTEL VILLAGRÁN,"AV. CECYTEG S/N, COL. LAS FLORES, C.P. 38260, VILLAGRAN, GTO.","Cambio la directora, Inf. Con Leticia Chimal",SÍ,200 Mb,SÍ,No,ALÁMBRICA,SÍ,SÍ,90 Mb,94 Mb,32 Ms,5 Ms
Guanajuato,11013,57,2,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECYTEG PLANTEL SALAMANCA,"CALLE JUNIO No. 819, COL. CONSTELACIÓN, C.P. 36793, SALAMANCA, GTO.",,SÍ,,SÍ,NO,AMBAS,SÍ,SÍ,,,,
Guanajuato,11014,40,2,29,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECYTEG PLANTEL SAN MIGUEL DE ALLENDE,"CALLE EDUCACIÓN TECONOLÓGICA No. 3, COL. LOMAS DE SAN MIGUEL, C.P. 37713, SAN MIGUEL DE ALLENDE, GTO.","Durante el semestre agosto-diciembre los talleres de cómputo estuvieron inhabilitados debido a fallas en el sistema de electricidad que provocaron apagones en dichas áreas, en el mes de noviembre y la primera semana de diciembre se le dio mantenimiento al sistema de energía, sin embargo aun no esta estable el suministro de energía a dichas áreas ya que el dia lunes se hizo una prueba al encender el equipo de cómputo y nuevamente se presentó un apagón, lo anterior se ha reportado a nuestras autoridades educativas en espera de una respuesta favorable, por lo anterior reitero el apoyo de este plantel para llevar a cabo ""Los Procesos de Maestras y Maestros del 2020"" esperando que para esas fechas ya este solucionado la problemática de energía en los talleres de Cómputo. ",SÍ,48 Mbps,SÍ,NO,AMBAS,SÍ,SÍ,42.72 MBPS,5.81 MBPS,1.11 MS,3.46 MS
Guanajuato,11015,77,2,40,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CECYTEG PLANTEL SAN LUIS DE LA PAZ,"LIBRAMIENTO SUR S/N, COL. LAS LADRILLERAS, C.P. 37900, SAN LUIS DE LA PAZ, GTO.",,SÍ,10 MB,SÍ,NO,AMBAS,SÍ,SÍ,8.6 Mbps,5.5 Mbps,46 Ms,6 Ms
Guanajuato,11016,120,3,47,39,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBTIS 65,"CARR. IRAPUATO-LEÓN KM 4.5 S/N, COL. SANTA FE, C.P. 36620, IRAPUATO, GTO.",,SÍ,89mbps,SÍ,SÍ,AMBAS,SÍ,SÍ,12.6 Mb,85.3 Mb,8.9mbps,3ms
Guanajuato,11017,150,3,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBTIS 198,"AV. ING. SEIZO FURUYA S/N, CIUDAD INDUSTRAL, C.P. 38010, CELAYA, GTO.",OK,SÍ,200 Mb,SÍ,No,ALÁMBRICA,SÍ,SÍ,90 Mb,94 Mb,32 Ms,5 Ms
Guanajuato,11018,140,3,50,50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS 21,"CALLE DIEGO DE HINOJOSA S/N, FRACC. LAS TROJES, C.P. 37000, LEÓN, GTO.",,SÍ,100 Mb,SÍ,SÍ,AMBAS,SÍ,SÍ,30 Mb,25 Mb,13Ms,14Ms
Guanajuato,11019,135,3,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS 62,"AV. LEONA VICARIO S/N, COL. EL DURAZNO, C.P. 36749, SALAMANCA, GTO.",,SÍ,100 mbps,SÍ,SÍ,ALÁMBRICA,SÍ,SÍ,12 Mbps,91 Mbps,47 ms,23 ms
Guanajuato,11020,145,3,50,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CETIS 77,"CALLE ETA ESQ. OMEGA S/N, FRACC. INDUSTRIAL DELTA, C.P. 37260, LEÓN, GTO.",,SÍ,100 Mb,SÍ,SÍ,AMBAS,SÍ,SÍ,30 Mbps,80 Mbps,5 ms,5 ms
Guanajuato,11021,80,2,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONALEP PLANTEL 028 CELAYA,"AV. MÉXICO JAPON EJE OTE-PTE S/N, COL. INDUSTRIAL CELAYA, C.P. 38010, CELAYA, GTO.",El personal de apoyo técnico no puede estar las jornadas de aplicación completas y no permite que alguien mas lo cubra.,SÍ,500 Mb,SÍ,No,ALÁMBRICA,SÍ,SÍ,15 Mb,380 Mb,12 Ms,4 Ms
Guanajuato,11022,120,3,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONALEP PLANTEL 029 IRAPUATO,"CALLE FIESTA CHARRA S/N, FRACC. LAS CARMELITAS, C.P. 36550, IRAPUATO, GTO.",,SÍ,100 Mb,SÍ,No,AMBAS,SÍ,SÍ,10 Mbps,100 Mbps,21 ms,28 ms
Guanajuato,11023,63,2,33,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONALEP PLANTEL 163 ACÁMBARO,"CARR. ACÁMBARO-SALVATIERRA KM 2.5 S/N, C.P. 38600, ACÁMBARO, GTO.",,SÍ,40 Mgps,SÍ,No,AMBAS,SÍ,SÍ,50 mb,15 mb,26 ms,25 ms
Guanajuato,11024,30,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONALEP PLANTEL 203 LEÓN II,"CALLE OBELISCO S/N, COL. JARDINES DE SAN PEDRO, C.P. 37290, LEÓN, GTO.",,SÍ,50 Mb,SÍ,SÍ,AMBAS,SÍ,SÍ,16 Mbps,71 Mbps,31 ms,0
Guanajuato,11025,58,2,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONALEP PLANTEL 270 SAN JOSÉ ITURBIDE,"AV. CONALEP No. 104, COL. CENTRO, C.P. 37980, SAN JOSÉ ITURBIDE, GTO.",SOLO DOMINGOS,SÍ,5MB,SÍ,NO,ALÁMBRICA,SÍ,SÍ,6.5 Mbps,6.5 Mbps,40 Ms,43 Ms
Guanajuato,11026,38,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONALEP PLANTEL SALVATIERRA,"CARR. SALVATIERRA-YURIRIA KM 7.5 S/N, SAN PEDRO DE LOS NARANJOS, C.P. 38931, SALVATIERRA, GTO.",,SÍ,40 Mgps,SÍ,SÍ,AMBAS,SÍ,SÍ,50 mb,15 mb,18 ms,23 ms
Guanajuato,11027,50,2,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONALEP PLANTEL VALLE DE SANTIAGO,"CALLE PIPILA S/N, COL. CAMEMBARO, C.P. 38400, VALLE DE SANTIAGO, GTO.",PENDIENTE DE CONFIRMAR USO,SÍ,,SÍ,NO,ALÁMBRICA,SÍ,SÍ,,,,
Guanajuato,11029,60,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLÓGICO DE LEÓN,"AV. TECNOLÓGICO S/N, FRACC. INDUSTRIAL JULIÁN DE OBREGON, C.P. 37290, LEÓN, GTO.",,SÍ,400,SÍ,NO,AMBAS,SÍ,SÍ,358.58,342.27,9 ms,9 ms
Guanajuato,11030,35,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTITUTO TECNOLÓGICO DE ROQUE,"CARR. CELAYA-JUVENTINO ROSAS KM 8 S/N, C.P. 38110, CELAYA, GTO.",Solo cuenta con una sala de 24 máquinas,La escuela no permitio la revisión porque tenian examen de admisión  en el día de la visita y utilizan las salas de computo,,,,,,,,,,
Guanajuato,11032,100,3,40,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PREPARATORIA REGIONAL DEL RINCÓN,"BLVD. OJO DE AGUA S/N, BARRIO DE GUADALUPE, C.P. 36442, SAN FRANCISCO DEL RINCÓN, GTO.",,SÍ,50MB,SÍ,SÍ,AMBAS,SÍ,SÍ,50 MB,50 MB,67 MS,67 MS
Guanajuato,11034,69,3,25,25,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDEG CELAYA,"CALLE MANUEL OROZCO Y BERRA No. 101, COL. FOVISSSTE, C.P. 38010, CELAYA, GTO.",Solo pueden apoyar los domingos,SÍ,100 Mb,SÍ,No,AMBAS,SÍ,SÍ,8.6 Mb,61 Mb,168 Ms,4 Ms
Guanajuato,11035,99,3,33,32,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIDEG IRAPUATO,"CALLE HERMOSILLO ESQ. MEXICALI No. 335, FRACC. JARDINES DE LA HACIENDA, C.P. 36515, IRAPUATO, GTO.",SOLO DOMINGOS,SÍ,20 Mb,SÍ,SÍ,AMBAS,SÍ,SÍ,18mb,18mb,5ms,864ms
